,h0,h1,h2,h3,h4,h5
aphanizomenon,0.1486284892163653,0.022171340971528605,0.13133419180096995,0.021234701782308085,0.04726217331296773,0.006705065051547508
askenasia,0.018323570542414968,0.05797033406003888,0.016237688478775072,0.015310808395687374,0.03143819066302888,0.011969637293848652
asplanchna,0.019508951756441836,0.05039753954569422,0.009538969396253528,0.013413740439492958,0.04453532460039044,0.029525286732998274
asterionella,0.7956915728096416,0.5239210654691805,0.3991570634337617,0.2252787710475569,0.9178345475398995,0.3195420787790167
aulacoseira,0.5041418022250156,0.04238062411183692,0.680395501990935,0.05695881300872237,0.6603413829989799,0.5257394864654844
bosmina,0.005489805569149091,0.022403399727806035,0.025017757321130648,0.00767521622972415,0.013246393377319352,0.0365425546605667
centric_diatom,0.5209447963672645,0.4049502606191681,0.11999403782313198,0.19368370438256818,0.5659408812003303,0.9339827087757456
ceratium,0.20313575537893377,0.1998623351000278,0.16256558166407697,0.09063409483172088,0.3322254511896325,0.06625322144720829
chaoborus,0.0006439788385993993,0.0012838873184557386,0.0004213062950454951,0.0008879113555255717,0.001102143594412565,0.0004960191416173155
chlorophyte,0.5981792582097079,0.9287820835693781,0.7164637640717895,0.4823256789644876,0.7494820025446389,0.5414332320824644
chlorophyte_colonial_dividing,0.7522140039480623,0.9388265900020581,0.6622373100451235,0.6228418365946503,0.7634959311207057,0.37761491042736955
chlorophyte_elongated,0.14496227048916452,0.19211772300798702,0.07352910447148951,0.04380410520403962,0.043324209507118475,0.0468454192166836
chlorophyte_frame,0.10537784699621179,0.2348985790541113,0.015213815545578569,0.011070142386477562,0.0465415069885727,0.01104692216684415
chlorophyte_square,0.3031589434302924,0.7617784675765427,0.3193569102008043,0.287731977172004,0.4496543054009266,0.1760963392279523
chroococcales,0.2147821579798093,0.8882299401512193,0.15711640824068782,0.33330345178456966,0.6390626215453017,0.14920586706918706
chydorus,0.0009324788431481,0.006179335762110563,0.024888339905079625,0.0011238680727512034,0.0030502563926609015,0.0026087931530359293
ciliate,0.004050994328900825,0.007559965954550393,0.004089972672311265,0.00419761082242539,0.002879511795732817,0.009407714103740574
ciliate_big,0.0002732722934076921,0.00031252133192536053,0.0005040657357859403,0.00038381709190042846,0.0010517749740800119,0.0008541208133692096
ciliate_blue,0.19672307677360495,0.2685983810663123,0.19714963587362885,0.102771447296966,0.19613096485568954,0.131612375615222
ciliate_green,0.02009463584086734,0.07325642817322829,0.00574974484451327,0.01532359440851,0.021952028571230523,0.009803942270348363
ciliate_round,0.015098082270010433,0.02531529212688859,0.011000723065648317,0.005012637022688721,0.011380932237345882,0.03868798357852091
closterium,0.2716800155924764,0.18287939588988233,0.3833618312307295,0.316228926179346,0.228870541748453,0.1634170247283329
coelastrum_reticulatum,0.22988780484903384,0.10417987878472033,0.21754189359911544,0.1409015118312589,0.044067214542860056,0.01869864621758662
coelosphaerium,0.10642611319672657,0.5817584881143842,0.06698040739189347,0.10329041990112041,0.153064131193857,0.0045525148983103884
coleps,0.0023687131856414225,0.004479024587358797,0.007071488263067345,0.0031202374287054354,0.0020797226503415423,0.001088429518123582
collotheca,0.06407308468555037,0.07977823269496273,0.015204574680790601,0.008490161048475024,0.029290001943651625,0.0028702889499580024
conochilus,0.0027352987304621905,0.013441406993895367,0.0025677151636934324,0.011745963370940912,0.009549162048560326,0.023835017779923792
cosmarium,0.15567532129454215,0.20213544495936633,0.07699214699245399,0.06666692203321771,0.1205357214087183,0.03050354388551144
cryptophyte,0.6810153762594008,0.8697313279321258,0.7771341951163646,0.5393262596470917,0.7118045609500914,0.6878521831966006
cyanobacteria_colonial_blue,0.3664418860432262,0.5820098572999011,0.753745253884803,0.3685820919851464,0.506648344219649,0.05784093559256131
cyanobacteria_colonial_clathrate,0.0697979604496566,0.012980368865687632,0.01749504545799707,0.01194428441001375,0.03441095038525871,0.0013345267170059326
cyanobacteria_colonial_probably,0.613760674265972,0.9330961571010344,0.8681977258437673,0.7959727770677939,0.8589179127201755,0.36587625752893277
cyanobacteria_filamentous,0.475959969721227,0.03723442861526792,0.4372416262275003,0.11390998418074205,0.14938295683379868,0.019377039548435535
cyclops,0.23316157434742704,0.3549971802174151,0.266025587385431,0.2038354182166721,0.2293808554525176,0.13621864631854289
daphnia,0.21787925083398277,0.23818527918454788,0.40514614659823966,0.18827188745845616,0.4163642825984848,0.19277967245729768
daphnia_cucullata,0.003153842166504687,0.028414220445532785,0.08306826492932735,0.009331791192390375,0.028435204754965866,0.004782671782590199
diaphanosoma,0.008041526756812674,0.14535593395416652,0.030422665404948708,0.018077405768023764,0.016722288375278203,0.0013794199940135846
didinium,0.006501673558203084,0.014027065546966718,0.005096468252703152,0.003441331401788029,0.007924494766660913,0.005167332893181785
dinobryon,0.1951461146383429,0.5284580850503078,0.12603283142644223,0.40831208240146716,0.8466347418285646,0.01795320771702987
dinoflagellate_diamond,0.003822106345056649,0.036827234115010446,0.021412401595186793,0.0031617558150168154,0.0028394756423986986,0.5212958883463773
dolichospermum,0.14506825236346274,0.022145217096953718,0.08842721491352187,0.04363716893129707,0.08672729051633103,0.003237674027312374
