,h0,h1,h2,h3,h4,h5
aphanizomenon,0.011415153481135263,0.0012711795397072978,0.010647194797659382,0.002283426240345118,0.002902966445317924,0.0007272498852895692
askenasia,0.0014073100733708107,0.0033236917271602406,0.0013163809814220123,0.0016464135927134655,0.001931015994375341,0.0012982599396108938
asplanchna,0.0014983512227703245,0.0028895104362133216,0.0007733193004662213,0.0014424166260830554,0.0027354762568822114,0.003202394193738494
asterionella,0.06111171199517153,0.03003867649238325,0.03235945606366884,0.02422484961061593,0.056375801345784085,0.03465841693565616
aulacoseira,0.038719737238781214,0.0024298657586915707,0.05515931038070487,0.006124938771280009,0.04055989690966879,0.05702315761067475
bosmina,0.0004216350006908892,0.001284484478879385,0.0020281766076751377,0.0008253372389659195,0.0008136281681589267,0.003963506465750305
centric_diatom,0.04001026207750957,0.023217562102322127,0.009727854397556496,0.0208273446666851,0.03476157089262413,0.10130234570398924
ceratium,0.015601489575671163,0.011458978122411817,0.013179107372094467,0.009746135007231751,0.020406157175583993,0.007186007492414447
chaoborus,4.945967842352228e-05,7.36108516217583e-05,3.4155082780175266e-05,9.547956496364408e-05,6.769654563523622e-05,5.3799606874711526e-05
chlorophyte,0.045942121040840125,0.05325112193241901,0.0580833456766304,0.05186581488313585,0.04603514718523954,0.05872534463078103
chlorophyte_colonial_dividing,0.05777249268292336,0.05382701723257599,0.05368723517950113,0.06697590612974384,0.04689591937516847,0.04095715674355075
chlorophyte_elongated,0.011133575906828593,0.011014945781426479,0.005960966355142367,0.004710376641176933,0.0026610863964349365,0.005080983628012985
chlorophyte_frame,0.008093362876226397,0.013467758580022263,0.001233376133877707,0.0011904030425659237,0.0028587012325411902,0.0011981797069643666
chlorophyte_square,0.023283597153422105,0.04367607728447274,0.0258900990386379,0.030940615676945137,0.02761894489971482,0.019099895604127528
chroococcales,0.01649597133951761,0.050926090935392875,0.012737345709503382,0.035841042441038036,0.03925289966075041,0.016183280680558534
chydorus,7.161742118599814e-05,0.00035428823181528037,0.0020176848048931695,0.00012085264367330594,0.00018735473501980336,0.00028295691491489933
ciliate,0.00031112959742390846,0.00043344577374228364,0.0003315719628076314,0.0004513807067763285,0.0001768671547657323,0.0010203866704027486
ciliate_big,2.0988204804056875e-05,1.791820906889429e-05,4.0864347708262025e-05,4.127291393696844e-05,6.460277307945236e-05,9.264030382566231e-05
ciliate_blue,0.015108974911147743,0.015399915000561188,0.015982818705849302,0.01105129810260185,0.01204687744877096,0.01427504197692566
ciliate_green,0.0015433336736478454,0.004200110077483723,0.00046612883177553783,0.001647788508051947,0.0013483510782915588,0.0010633626723503366
ciliate_round,0.0011595820376810995,0.001451435952148245,0.0008918229121367106,0.0005390227293170275,0.0006990466600567244,0.004196205615196889
closterium,0.020865912666519,0.010485272252489358,0.031078944782990257,0.03400497145647183,0.014057827993178553,0.017724662113548582
coelastrum_reticulatum,0.017656134363128847,0.00597308618050595,0.0176360084608551,0.015151529450150048,0.002706723711358587,0.0020281068434483862
coelosphaerium,0.008173873144688744,0.03335474782926809,0.005430066880137509,0.0111071046627549,0.009401599750716288,0.0004937783469842935
coleps,0.00018192491028771373,0.0002568019868806283,0.0005732818850428557,0.0003355277645928185,0.00012774201113287853,0.00011805407346770878
collotheca,0.004921022204771229,0.004574033534826492,0.0012326269817631882,0.0009129705103273965,0.0017990686179974631,0.00031131947170640886
conochilus,0.00021007987761704518,0.0007706544036943896,0.00020816333627863323,0.0012630759430624688,0.0005865345383994005,0.0025852118977315194
cosmarium,0.011956373203896994,0.011589305410617284,0.006241713415810036,0.007168878597603975,0.0074036196430198944,0.0033084986679649897
cryptophyte,0.05230420549923861,0.04986548493072731,0.06300186604768873,0.057995245047962024,0.04372090006058632,0.07460634870506642
cyanobacteria_colonial_blue,0.028143933865940964,0.03336915991945029,0.06110573671542138,0.03963465223991957,0.031119668008199167,0.006273587720826534
cyanobacteria_colonial_clathrate,0.005360711364314328,0.0007442210798663353,0.001418314259454141,0.001284401953160182,0.002113610680964965,0.00014474645576099723
cyanobacteria_colonial_probably,0.04713882469216202,0.053498466556872556,0.0703843392431429,0.08559315522251798,0.0527569873564202,0.03968395000980371
cyanobacteria_filamentous,0.03655528044381185,0.0021348119578875084,0.03544695181240067,0.012249055794713958,0.009175492382021038,0.0021016872588877885
cyclops,0.017907570554689778,0.02035353444456318,0.021566556364444947,0.02191898654566739,0.014089172797186517,0.014774650827078378
daphnia,0.016733838187671136,0.01365619941291232,0.032844987928883455,0.020245397018013294,0.025574184526140523,0.020909416031448195
daphnia_cucullata,0.00024222538071767645,0.0016291110092744106,0.0067343011448721115,0.001003473328543705,0.0017465647363017393,0.0005187417987038954
