,h0,h1,h2,h3,h4,h5
aphanizomenon,0.005564988558962112,0.00025410053732106096,0.0035791189692076708,0.0010346560920479002,0.0007030268345083505,0.00024018213121071303
askenasia,0.0005950083589072691,0.0006896323214296809,0.0003907374885506792,0.0007415276795848896,0.00046000422981411665,0.0004310489772797913
asplanchna,0.0006342662865031819,0.0005947629231763372,0.00022798964297797273,0.0006484003668984687,0.0006605742023910881,0.0010824948015564124
asterionella,0.12414802181779816,0.012332845176790378,0.015726566472267296,0.01386766135721874,0.15830942512424373,0.0167087015393773
aulacoseira,0.03240981394686261,0.0004959647462770406,0.0503964107738871,0.0028804390212716783,0.02755227727422849,0.03944296450330604
bosmina,0.00017596611675113074,0.0002568210571779501,0.0006074390749844257,0.0003688630878195027,0.00019024819629546029,0.0013495292047648847
centric_diatom,0.03466470177530896,0.007626491625166304,0.0032279374400761614,0.011455553081894864,0.018477950723337275,0.5033812729967223
ceratium,0.008126122386936193,0.0027992560592718153,0.004595458537619921,0.004753148148581172,0.007050739342953025,0.0025246071206322346
chaoborus,2.054152531023745e-05,1.440659133019443e-05,9.977736117403596e-06,4.238223085558276e-05,1.5636830267478786e-05,1.765752491170458e-05
chlorophyte,0.04745481937673652,0.14615071678745198,0.059818665052196254,0.04443366925302179,0.04239883263730849,0.042010538581458486
chlorophyte_colonial_dividing,0.09677116787337478,0.17198836801854217,0.04641443052854062,0.07875582415658278,0.045750909541176825,0.021587675142356825
chlorophyte_elongated,0.0054044441058375544,0.0026649909224237584,0.0018787913495096663,0.0021847228688553887,0.0006417967089242715,0.0017487177156662588
chlorophyte_frame,0.003754836223445758,0.00344062836435556,0.00036571877408604343,0.000533846173189191,0.0006917836160051168,0.0003974491084035237
chlorophyte_square,0.013868132428956095,0.03583637420804053,0.011107285476887477,0.01926518123918055,0.01157910001321583,0.007604835330487613
chroococcales,0.008719455553169745,0.08905869127607388,0.004412706057276619,0.0238418538254597,0.025092456462334788,0.006239895747550094
chydorus,2.975263758892386e-05,6.96803230281759e-05,0.0006042165764767811,5.365770756103358e-05,4.336054201132662e-05,9.306578185338538e-05
ciliate,0.00012965995268138963,8.536737925314574e-05,9.721904647546817e-05,0.00020102840329536104,4.092633400775528e-05,0.00033791314674996896
ciliate_big,8.713559967071453e-06,3.503416719571506e-06,1.1938704452749545e-05,1.8311311407073364e-05,1.4921465384935572e-05,3.0416295780087588e-05
ciliate_blue,0.0078067692627794075,0.004115511860302233,0.005813162009672299,0.005462579908592775,0.0034577412189310862,0.005392610115593522
ciliate_green,0.0006536982631743976,0.0008858547973925104,0.00013690014794219367,0.0007421565640246251,0.0003180871500004388,0.00035228607076804273
ciliate_round,0.0004886637578103196,0.00029106847814060893,0.00026331543288023976,0.0002402575857462505,0.00016314752030767825,0.0014319493055522426
closterium,0.011890956563288722,0.0025081586346286703,0.014717346799699967,0.02205562073180346,0.004206241711867338,0.006950310331288536
coelastrum_reticulatum,0.009515755146160626,0.0013032850664853669,0.0065816209443559145,0.007821699275894826,0.0006533108418488284,0.000677990621065943
coelosphaerium,0.0037966368500449276,0.01558805670389602,0.001699448769362225,0.005493342148406413,0.0025612650709342325,0.0001627229996053436
coleps,7.568742722143536e-05,5.042076326889937e-05,0.00016859469282981562,0.00014927025638584163,2.9535287090822653e-05,3.876940956770012e-05
collotheca,0.0021823028603799263,0.0009715570184810072,0.0003654932070141204,0.0004083638752170764,0.00042762345693101215,0.000102421205099853
conochilus,8.743305283958532e-05,0.00015268565337742538,6.094168816399017e-05,0.0005668243014435502,0.0001366356294746641,0.0008687767208942715
cosmarium,0.00587748613410679,0.00283915881810421,0.00197465891598822,0.003406451131053486,0.0019423576012341222,0.0011194894156622026
cryptophyte,0.06805632514889261,0.07482065604744532,0.08254744524976623,0.05583242943483387,0.035003001397980016,0.07840625986487426
cyanobacteria_colonial_blue,0.01843741276046508,0.015604170402872396,0.07245878327534869,0.027838494939455997,0.01455397618280348,0.0021843739957660016
cyanobacteria_colonial_clathrate,0.0023919206649633544,0.0001473796862708805,0.00042153280869102524,0.000576510361862044,0.0005050518401622719,4.754700400970211e-05
cyanobacteria_colonial_probably,0.05065518361542373,0.15629738827510026,0.15593614595954033,0.18605378633617933,0.08628025222623435,0.020529394172517618
cyanobacteria_filamentous,0.02895258138573306,0.0004334115957021242,0.018392916150814984,0.006130732465390908,0.002488849258985858,0.0007030744039787313
cyclops,0.009692469389864082,0.006167933381623381,0.008580123653767025,0.012209706133288799,0.0042184120253606905,0.005611108347103423
daphnia,0.008880213179599295,0.0035038212368758317,0.016123246340718683,0.01106122701357309,0.01011028102039502,0.008497380535944888
daphnia_cucullata,0.00010085400334507214,0.00032774115509608565,0.0021446142701870303,0.00044922632910244473,0.0004147784768539192,0.00017098915577929528
diaphanosoma,0.0002584201330589336,0.0019060042669378858,0.0007427896821135235,0.0008779853497699703,0.00024101891993454406,4.914868743061439e-05
didinium,0.00020861202861132243,0.00015943299962847265,0.00012126609892528753,0.00016468424093731143,0.00011320314131221447,0.00018481291732323627
dinobryon,0.007729015707557446,0.012559334518588278,0.0034138122380901223,0.03291000487366074,0.07823493357249996,0.0006504677865123767
dinoflagellate_diamond,0.00012230583936811767,0.0004284905936956045,0.0005179844573537161,0.0001512627705190974,4.035568213226714e-05,0.038746551985699
dolichospermum,0.0054090657467389235,0.0002537943573003753,0.0022963900262498167,0.0021760170512305967,0.0013458198225875261,0.00011557327654819104
eudiaptomus,0.0060480424820824824,0.0029001565731198173,0.004499657754358481,0.009415319608253309,0.0033994272110543892,0.00928549571001136
