,h0,h1,h2,h3,h4,h5,h6,h7
aphanizomenon,0.004273935865474899,0.011705513170722472,0.008011866214684618,0.0017949048039165522,0.02290759320909499,0.030890181912827913,0.01770314607451806,0.019198421125119804
askenasia,0.04168968060026514,0.054532752715899954,0.048222965274204055,0.018538364002220482,0.05223033263538742,0.08413242174489308,0.021766153785927337,0.04147361815355881
asplanchna,0.09556262831372513,0.04045983000891543,0.0444485309745697,0.012601116589693465,0.06575920343665272,0.20208592413346796,0.09518475472024676,0.026644861346038946
asterionella,0.005060288818757864,0.18834952762547344,0.03656080350998064,0.008872971620598191,0.01202821233145119,0.30778743300130734,0.1749479752863166,0.2775108874901836
aulacoseira,0.03291267176878993,0.06590660629080827,0.07686834429591266,0.6408228954966243,0.34320806384391467,0.5113751032862289,0.7174771046335535,0.39922480948086403
bosmina,0.018650862914595823,0.046177844434658534,0.010442622126253173,0.023749843968070547,0.027307096977545974,0.02042492747071706,0.04828148045434297,0.009745958515018041
centric_diatom,0.19329106382083733,0.2877731299325517,0.5133139302964209,0.5405615286767605,0.12160868691484723,0.5736163786188705,0.4709806604650096,0.09766427323433582
ceratium,0.11335616107581516,0.14348044939276308,0.05148660578491322,0.08881420003042063,0.10555663807748884,0.258718432395182,0.06474430889973473,0.21250763031080971
chaoborus,0.001080813838267632,0.0013685159488455256,0.001052852466992493,0.0006965480861598423,0.001976956485644657,0.0017407258999345007,0.0006872224567471347,0.0017573870485303041
chlorophyte,0.8124589283471856,0.9463543941856206,0.8925704751941927,0.7243376976371915,0.8844604143203683,0.9229404942841374,0.8162241617155775,0.8773006526048086
chlorophyte_colonial_dividing,0.6293651404834317,0.8779488427725894,0.8138275322539248,0.43458185784766834,0.8002663907849786,0.7803934511659428,0.4095059412414855,0.870496175260062
chlorophyte_elongated,0.10627405272213412,0.15543831933144217,0.29178944609763113,0.04423390944048924,0.18257948372394925,0.2517947647813548,0.16655708810674932,0.16844433050510185
chlorophyte_frame,0.014554020836050707,0.0860344676027849,0.11481892722664028,0.005731553413721841,0.0702220639827519,0.07354988194157552,0.0104843090082689,0.09648923475925117
chlorophyte_square,0.19754753134736106,0.5688807968773751,0.2842061299543309,0.10917253660504415,0.33929744290610475,0.279854231459253,0.10474803632535408,0.48409679697168295
chroococcales,0.10305990857860124,0.48259127777369887,0.08902106409589275,0.03623638032640242,0.05627146393724531,0.1034364473551318,0.024704556133441476,0.6191548146331295
chydorus,0.0038984539398304228,0.029546685499072044,0.010991934270650414,0.0051929656242937945,0.002710941550348312,0.009822457466374562,0.011608385778657793,0.004456206469914324
ciliate,0.010912148141841368,0.009694942957468757,0.008602951080169109,0.005115330605244536,0.008639081736422758,0.007333070135812523,0.016029120103105296,0.006233351817139295
ciliate_big,0.000207784100998915,0.0008192414286183725,0.00023159779937359482,0.0005167827488754012,0.00020337844444892473,0.0005713432257821546,0.00029258716305115404,0.0004670679590861672
ciliate_blue,0.21140883174493025,0.27575088447669743,0.28758751524526044,0.27052137065753806,0.3318917935845353,0.2629907973004745,0.2243331373779242,0.3400272591148884
ciliate_green,0.032198668098875616,0.03920795662067305,0.03118521372448963,0.0041014111413130525,0.038006991479950486,0.06599985655182308,0.01555559010889493,0.03212952137456519
ciliate_round,0.008290113873663622,0.020473129382124127,0.025971812289906603,0.011466151603387612,0.011057539392222756,0.02934141996123376,0.06169274086028165,0.011436211254588206
closterium,0.1247555301765987,0.1876749282721354,0.18689616090246544,0.2705700872072693,0.09047327231593381,0.17507463200446852,0.1421651194634541,0.2554982388009388
coelastrum_reticulatum,0.016292473819339796,0.019359922892518693,0.004520389413181345,0.0061751240554126065,0.004633516253797755,0.0023959107001246187,0.022978678597586587,0.21879294970390398
coelosphaerium,0.021582865324114128,0.12869619754805484,0.04287326537018403,0.0021499137140324506,0.03468606727703076,0.029573074927541774,0.005807361671078514,0.3537312350013446
coleps,0.0023008617550772186,0.006271037585603606,0.004291721800075344,0.002011161452294149,0.0017114788197418248,0.0016112241958768227,0.0019862693441536792,0.004062408627178561
collotheca,0.007460388355636057,0.029876529796253926,0.04193081568863176,0.007165724210732403,0.013996368361434164,0.025693208544651472,0.004475549461508957,0.0541028456419413
conochilus,0.025345663853036063,0.005620477105427745,0.004297896026837405,0.0017785225023191804,0.009833097212683507,0.011896427523336625,0.025512818438809478,0.009700154282072982
cosmarium,0.1379689353254375,0.21318083079982345,0.20032159444132405,0.07934402919188369,0.16772678384227913,0.22842657795678376,0.07438960186603238,0.20563988733809294
cryptophyte,0.9244537444085102,0.9231955774668351,0.9134770909947842,0.8783961837324002,0.9605408703610855,0.9399301906307828,0.9552348835940291,0.9314791755256084
cyanobacteria_colonial_blue,0.560773764316071,0.8271387849488931,0.5888871971185402,0.5691790741692327,0.8286678394839443,0.8496385352996608,0.1711121795360101,0.38430261601750365
cyanobacteria_colonial_clathrate,0.0049806950331629405,0.012308544730179168,0.006196478178340166,0.0029046012628588607,0.033472995387574665,0.02431509474804944,0.0023812574447641347,0.016983582213694007
cyanobacteria_colonial_probably,0.32518367741380394,0.7719446782496191,0.16728444275492557,0.23512327802690458,0.2766369975480737,0.18103132524461324,0.24323743360966518,0.860667754859495
cyanobacteria_filamentous,0.01908884001069997,0.011293880143790083,0.04401869501099242,0.07880493869283398,0.011452482151195646,0.023881506416088546,0.32488449410634695,0.588134857579686
cyclops,0.5276407181017375,0.4289712376449263,0.48842940333164125,0.35469144747680187,0.5884633984472561,0.5324735004524356,0.4767102907337172,0.5289313169532448
daphnia,0.15951758587594586,0.27058026291675397,0.11093168765076093,0.18360467476097403,0.2784832104907295,0.27796354814836893,0.21882571027782216,0.24906780544145235
daphnia_cucullata,0.012566920375654858,0.11308310967371964,0.015274926510488061,0.0779668060887598,0.017306988096677158,0.04265990777693986,0.0089846496289845,0.017854724502335526
diaphanosoma,0.09115833494988097,0.1710006085629245,0.06702086220465865,0.015254943648369724,0.043680544845564113,0.050700674139677306,0.008733450178189264,0.08282574209877445
