,h0,h1,h2,h3,h4,h5,h6,h7
aphanizomenon,0.00036151937320443825,0.0007797867053472312,0.0006003529449992218,0.00016620472715639034,0.0016953862987012561,0.0017211052086551365,0.001412420695781285,0.0011535609127214855
askenasia,0.0035264046242365404,0.0036328108775450034,0.0036134900962151474,0.0017166167944905402,0.003865556259812039,0.004687597816372005,0.0017365820710847218,0.002491993716529287
asplanchna,0.00808335515018493,0.002695314343028834,0.0033306605173414622,0.0011668391215433152,0.00486682522700577,0.011259601435935903,0.007594182238786154,0.0016009894966548877
asterionella,0.0004280346031321406,0.01254728908153543,0.002739609657800406,0.0008216200792654847,0.0008902055400789737,0.017148961944997758,0.013957978990813542,0.016674585403508174
aulacoseira,0.0027839838600419043,0.004390503400454888,0.005759973474180371,0.05933896564830643,0.025400758767347903,0.028492236022637053,0.05724290513494241,0.023987917162793918
bosmina,0.0015776203674636503,0.0030762315711030776,0.0007824967091336926,0.002199189799986476,0.0020209926748069288,0.0011380136625759453,0.0038520702438778285,0.0005855979888481474
centric_diatom,0.016349909413243765,0.019170595735933462,0.03846413825504854,0.05005495622326009,0.009000234102141541,0.03196012700076891,0.037576531840916166,0.005868278825547324
ceratium,0.00958845654003198,0.009558243648263505,0.003858044378516046,0.008224023832049097,0.00781222524339614,0.014414989294236732,0.005165533936121647,0.012768784181990274
chaoborus,9.142279006046359e-05,9.116648944828168e-05,7.889336420147908e-05,6.449901095528226e-05,0.00014631414606925235,9.698785269937232e-05,5.482908046002418e-05,0.0001055947775338158
chlorophyte,0.06872345579705778,0.06304333388634623,0.06688295823263221,0.06707227544446107,0.0654587347738933,0.05142338418316404,0.06512130067452977,0.052713696347966875
chlorophyte_colonial_dividing,0.053236103270120474,0.05848635814458676,0.06098251551112873,0.04024144286264164,0.05922755227333458,0.04348110468861597,0.03267185753426117,0.05230484089859202
chlorophyte_elongated,0.008989402306749938,0.01035484161594387,0.02186465033119631,0.004095974802437931,0.013512670331802248,0.014029223990983329,0.013288523818354357,0.01012118623577762
chlorophyte_frame,0.001231080824763089,0.005731362056477699,0.008603723434101087,0.0005307308049046842,0.005197120625296103,0.00409797149342936,0.000836475898798586,0.005797675183353646
chlorophyte_square,0.016709951192224206,0.03789715801968007,0.02129640991660401,0.010109166580767583,0.025111334509772695,0.015592610519029666,0.008357175257189847,0.029087555654747493
chroococcales,0.00871752752604833,0.03214880518572229,0.006670612884046702,0.0033554190128318954,0.004164639562797464,0.005763158300915374,0.0019710183837430223,0.03720268393058484
chydorus,0.00032975848706079386,0.0019683128969415487,0.000823658300550219,0.000480858613133664,0.00020063623092519755,0.0005472768905951432,0.0009261587883517346,0.0002677566852611521
ciliate,0.000923025773133384,0.000645848457651797,0.0006446446905463049,0.0004736697599250104,0.0006393766763535976,0.0004085759430552005,0.0012788608800656976,0.0003745386646449274
ciliate_big,1.7575831813898475e-05,5.4575443655397676e-05,1.7354311365613563e-05,4.785308702085276e-05,1.5051997170657968e-05,3.18334739691234e-05,2.334365669660405e-05,2.8064356838252148e-05
ciliate_blue,0.01788243687971611,0.018369709261486164,0.021549787165198828,0.0250497577932825,0.024563243914738457,0.014653032226859304,0.017898104927135224,0.0204309590261844
ciliate_green,0.00272358843827195,0.0026119182363659467,0.0023368007400838115,0.0003797827707690549,0.0028128896834251544,0.003677307475960909,0.0012410809532052047,0.0019305420878414352
ciliate_round,0.000701235784937843,0.0013638593948161624,0.0019461450774894387,0.0010617435501963511,0.0008183662339298413,0.0016348129922681347,0.0049220688573517095,0.0006871589182746491
closterium,0.01055269486787675,0.012502349265613085,0.014004684751374168,0.025054268851940554,0.006695908421413849,0.009754615945500167,0.01134244478937158,0.015351928141856708
coelastrum_reticulatum,0.0013781313310519156,0.0012897008672710603,0.00033872621234896054,0.0005718045918352953,0.00034292559239175685,0.0001334927193725791,0.0018333216636366324,0.013146445382804184
coelosphaerium,0.0018256296279407446,0.008573360468101553,0.0032126211842562996,0.0001990778683475839,0.0025671087608610103,0.0016477200891006718,0.0004633322109862091,0.021254379391248145
coleps,0.00019462297182439202,0.0004177579971647388,0.00032159146854825735,0.00018622967620155706,0.00012666619819124683,8.97724190702545e-05,0.00015847171555098574,0.00024409485411715044
collotheca,0.0006310518002804778,0.0019902861495470266,0.0031420006288610473,0.0006635322579358865,0.0010358683662205952,0.0014315459578079907,0.00035707544059228037,0.0032508364928971727
conochilus,0.00214391343202382,0.00037441957995341236,0.0003220541217080047,0.0001646877575871722,0.0007277455180914548,0.0006628320750128129,0.0020355044588686684,0.000582845784777914
cosmarium,0.011670377046005017,0.01420147713885488,0.015010692383924528,0.007347104255640957,0.012413425044518743,0.012727221038262173,0.005935070116025949,0.012356127338997188
cryptophyte,0.07819676025904171,0.06150056193559992,0.06844955308450924,0.08133779448018323,0.0710894337998898,0.052369997413160514,0.07621207627397171,0.05596908000389914
cyanobacteria_colonial_blue,0.04743416517377078,0.05510154220264741,0.044127067725427536,0.05270488580731566,0.06132953769572175,0.047339226188600196,0.013651945403352999,0.023091298685721462
cyanobacteria_colonial_clathrate,0.00042130200433212377,0.0008199588862769219,0.00046432052449547423,0.00026896048154652325,0.002477329557871367,0.0013547617277848492,0.00018998528751956227,0.0010204795733996584
cyanobacteria_colonial_probably,0.027506308689517485,0.05142467387659571,0.012535120428795959,0.021771962606209953,0.020473847735808737,0.010086504433269689,0.019406357704607604,0.05171428808521228
cyanobacteria_filamentous,0.0016146675320082868,0.0007523649291976338,0.003298451631211134,0.007297185513927385,0.0008475958669262953,0.0013306035296021415,0.02592045398499766,0.03533881138929906
cyclops,0.044631540502558374,0.028576796524266805,0.0365994666981476,0.032843744762369995,0.04355205603260628,0.029667773329588077,0.03803366236091713,0.03178149332046985
daphnia,0.013493112549209775,0.018025257728945893,0.00831244102064549,0.01700143918869594,0.02061048557894194,0.015487267504104637,0.01745870257548838,0.014965547588632043
daphnia_cucullata,0.001062997976646524,0.007533262680310741,0.0011445956372075016,0.007219576049360205,0.0012808866572347954,0.002376877859859691,0.0007168276772334558,0.0010728232368210598
diaphanosoma,0.007710809228481334,0.011391555348224376,0.005022072376496583,0.0014125783948713952,0.0032327882102242407,0.0028248844435547985,0.0006967860811477305,0.004976687303065939
didinium,0.00034719194950014,0.0006481500049583767,0.0010448726119720408,0.00038475601668297514,0.00033533899460679977,0.0008999830493085521,0.0002816054960536979,0.00029935024188686767
dinobryon,0.04875871911590732,0.019976727667646244,0.01514843172166706,0.008440147795528697,0.015199054789098323,0.04911865022633904,0.01151052553491626,0.04191478249682283
dinoflagellate_diamond,0.0019016803724437898,0.0008540970430116572,0.005558837296930993,0.007348536158635664,0.007268462573965225,0.002323335685366319,0.051031316531292926,0.0009144685378512157
dolichospermum,0.001301426745754071,0.001422950537312005,0.0035673139915229054,0.006237131342674471,0.0016761359562761646,0.004623108499529869,0.0018944201560213533,0.010794578780352919
eudiaptomus,0.011269783309891335,0.011242377362915121,0.008372841039289104,0.009385217621980092,0.009647744523744298,0.00739680713459003,0.015526523364624595,0.009748729948899535
fragilaria,0.003182787094911237,0.010840034002316644,0.008493801816041268,0.02776184855619069,0.029269968027144277,0.038038003014731335,0.0014351498690400334,0.021935109094190747
gonium,0.0001313267554739918,0.0007240681957315117,0.000955971114840026,4.866188148227916e-05,0.0007820750790932414,0.0008984453747309872,3.8997140876294374e-05,0.0009701608897517556
gymnodinium,0.022713635464719092,0.022498506993902545,0.03420199381597449,0.03173105304931027,0.03612144924070598,0.029547205891227352,0.03329197363195086,0.022247443405526396
kellicottia,0.010078690843498165,0.002736027219350245,0.009753914257687318,0.00812983312712823,0.011117717545549818,0.009792081332097288,0.015192833628518887,0.005724043593428906
keratella_cochlearis,0.007114608791166594,0.004993381597104501,0.00789344706680581,0.007108445282765779,0.005852708733274875,0.009048201858982021,0.004319915903637442,0.007305034188568064
keratella_quadrata,0.005104211083918462,0.0005691138471379708,0.003853523779674363,0.0019793946649784033,0.005601108282837029,0.008883546745762002,0.002688640638438278,0.0029115740857735754
leptodora,0.0006315772179800687,0.0025442218671684687,0.0006332208542594608,0.0012330177140934505,0.0014063326785330274,0.0008288200659084565,0.0004749528159168755,0.0010431076270389238
limnoraphis,0.0016105743378000375,0.007787352239081125,0.004302191946477322,0.007363937678499259,0.0034489406639733444,0.0025597997729187192,0.0012721343395450302,0.0016622576194469582
mallomonas_akrokomos,0.015784835444933695,0.009970524134134507,0.011287411454270025,0.004786944837983418,0.0047608623130372665,0.012731367604825548,0.010596289661045201,0.0019403413522804131
mallomonas_big,0.02432032057324172,0.028603894515451814,0.023440460238269005,0.025065118070775317,0.01592568949115021,0.030241696335587535,0.028979632406942922,0.017609196787843746
nauplius,0.05639557455093644,0.03195956753061245,0.04221067101773064,0.03781950674443136,0.05079723390553376,0.03682089656022598,0.05316456596864941,0.03412281328423544
oocystaceae,0.06446382242543945,0.0648383645729523,0.06241834325539318,0.07887012392295159,0.06495234910197163,0.0483511814289125,0.05084828966326021,0.05098371452769149
pandorina,0.001042846611176194,0.0008289307256478876,0.002793487193525927,0.0009437026082512334,0.0020727343944723993,0.0027811433452985864,0.0008447561839280335,0.001668853945924588
paradileptus,0.0016597466222028371,0.0036040374745361773,0.0026565217026712678,0.004284080407462339,0.004420777592273078,0.006514058612768699,0.0012729422364662387,0.005953563001259142
