,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.08077103356517674,0.040054133030724734,0.008401465474319617,0.07208983442993902,0.031519900696068276,0.13460205308509718,0.021801068119847812
askenasia,0.044513269769267526,0.025223395126269258,0.04715591980092889,0.04720239508614272,0.025146645309620734,0.05265127118484325,0.015102000094589134
asplanchna,0.10023557433800737,0.17072882397783534,0.13700822287772182,0.28770983019299695,0.24758984434536058,0.3336395558098091,0.08493895401441554
asterionella,0.6861316929575373,0.14955919258095068,0.029731171561038376,0.2369583608356295,0.38655435277795563,0.9015036844849315,0.10119549790585398
aulacoseira,0.20094777050599824,0.7114304896916774,0.04527243705656418,0.6197443261407124,0.014427485596685068,0.6776482506042117,0.7316023196169306
bosmina,0.003582437674116017,0.026136559309974026,0.0074809272976362065,0.0036884252008836022,0.010102431472331601,0.02041850118659203,0.004592837286373894
centric_diatom,0.5727912558144524,0.7246968948966515,0.5460729031682522,0.35390130531077146,0.6215043992727286,0.48577329183018764,0.9232246282226624
ceratium,0.08188425023343188,0.02452393468784494,0.07208602595208481,0.14969565976961607,0.06322861214809808,0.2717904831477697,0.045939086622405645
chaoborus,0.001384982399280529,0.0007323560691877937,0.001670515357764559,0.001418219424213886,0.0009624352134161342,0.001817727550747849,0.001026111959493776
chlorophyte,0.8705691134986501,0.8370395882887803,0.8819372556221536,0.7159491273152355,0.7005812886684261,0.8992216219958149,0.5768429386392996
chlorophyte_colonial_dividing,0.895515192676659,0.6058627533461424,0.8902967352110032,0.6987125431821481,0.7154931605556194,0.8556309119146722,0.6155900240268432
chlorophyte_elongated,0.3951298480943522,0.2271222282743344,0.1395624678960369,0.27641618407060614,0.22304565794712042,0.2497246597306645,0.08006490085929073
chlorophyte_frame,0.3961712370703007,0.05334387042844012,0.18597979054314176,0.09895351535664833,0.15408956918144698,0.22789971930429678,0.07728520642188694
chlorophyte_square,0.40688250223237027,0.14692648876077138,0.487151099504836,0.1466208755923515,0.1746254015645044,0.45672320145610396,0.1553458299659467
chroococcales,0.26998768562887526,0.02429220043547253,0.4336478470603577,0.06276293174568291,0.07535543294649143,0.4703790605460033,0.05863239290382088
chydorus,0.002071883137011252,0.007318557893695468,0.0017997819513251483,0.0007893104542826329,0.0002804030268396591,0.0020520106036203845,0.0006145182555598944
ciliate,0.005924326183059629,0.014113086630845331,0.008546555640474223,0.006611687251822107,0.009573278764082175,0.006037049066425747,0.004255344076865888
ciliate_big,0.0002340396398328371,0.00023812761988733073,0.00028646276430275896,0.00033996779282227733,0.00014095312214197682,0.0005160344651346788,0.000495403059097757
ciliate_blue,0.3308730225634754,0.24618727379052827,0.2757589739145304,0.2023265435393937,0.18584965087422917,0.26992483947448354,0.24734294748397104
ciliate_green,0.0940710740844897,0.04553318406726384,0.10468919651122376,0.18459050456241433,0.10360915953248248,0.1265581998784314,0.03645026108343907
ciliate_round,0.0275284080457193,0.0618941111148159,0.011566052520747562,0.016498523031789943,0.009068649467234562,0.01903463692778749,0.014828950892664452
closterium,0.14217013153794317,0.10568869882021047,0.19156969916995578,0.12895539546454418,0.0617039035855228,0.0728864168423489,0.20239504872734168
coelastrum_reticulatum,0.017195793439953585,0.0023695877022920186,0.003814212494100126,0.005452349313602672,0.009033704249055651,0.007190254681630886,0.0011164568738345245
coelosphaerium,0.15478159798032226,0.00829722286167542,0.058493843004104915,0.03450571937987865,0.07510305356962843,0.13733020137970456,0.0029621414666218255
coleps,0.002749602569156054,0.001365559214086432,0.00141496060144168,0.000976132975442327,0.0009186566011397457,0.0013035837148234585,0.0007196172350747314
collotheca,0.11465421149521723,0.015136509903376722,0.061213451054633876,0.03944126878926415,0.018436420495722403,0.03607676808489127,0.023859571203354
conochilus,0.00252165659292096,0.019392096159471035,0.009770089574668638,0.03768558584517864,0.01841354360858432,0.024738339139599583,0.002168877099867021
cosmarium,0.15672654026076527,0.05712055401170783,0.1133044749837564,0.10472511469218687,0.06188743549418985,0.1136570870209267,0.031562130781859286
cryptophyte,0.9048064423712255,0.939817662032728,0.8890435347422673,0.8882925279699853,0.869965253194694,0.943153707907603,0.7462218304933987
cyanobacteria_colonial_blue,0.35629197897095455,0.13094616997998118,0.18366302287885852,0.17696311961109631,0.04972408462823205,0.31851982401155116,0.026520006272459574
cyanobacteria_colonial_clathrate,0.023470907336262548,0.000958340316013434,0.0027096230459399593,0.014465118809992343,0.0026932323436262896,0.009167949381307305,0.0026463012696656876
cyanobacteria_colonial_probably,0.3225918869795108,0.06652614641620956,0.2625887208827956,0.09304203460043042,0.16930433278388576,0.46087827377660273,0.035050966638863736
cyanobacteria_filamentous,0.11999621870445747,0.0331710024779144,0.0056941575896510555,0.06082892256960924,0.001669571384198095,0.0049485885406026055,0.010705659255855805
cyclops,0.4783674724118358,0.4453176142472527,0.44638053824323215,0.48541805266130184,0.4049263505967466,0.472156717046033,0.2554589888701463
daphnia,0.14686314914775803,0.17898726667318704,0.14053598104921078,0.22304613309362295,0.10747617276669288,0.36478217150160475,0.14584657483687724
daphnia_cucullata,0.001962707710762475,0.0033906456117164517,0.007569892261685382,0.0008523158311334768,0.000361920349708895,0.005416251646972055,0.0017906478635633
diaphanosoma,0.007455242578538027,0.005257505540253055,0.03126063542904278,0.002656795412373703,0.005378955220601494,0.01257675982440233,0.0007080616663948886
didinium,0.010089575817983512,0.006582071196503093,0.013609285502595946,0.0042632585120250715,0.0029753628161624857,0.007429037427151719,0.00901415728228759
dinobryon,0.47992363215075906,0.18256501094940625,0.8266947411725802,0.9271139375965247,0.28329419989781596,0.838016798170428,0.22886004340364624
dinoflagellate_diamond,0.03608981426838917,0.6370836052161019,0.00691305700653177,0.03754869004060063,0.06324867853958273,0.08813359524006431,0.05119384390333915
dolichospermum,0.08694040759786205,0.011468423191328288,0.03611976011585733,0.12963321445866352,0.004380066356999482,0.019406904483686923,0.061712469280214496
eudiaptomus,0.15693050242806916,0.14978382467667925,0.13424711626516866,0.15699902649388534,0.1967644879527067,0.2241277207064002,0.14193325155690584
fragilaria,0.6598251986358836,0.015195196630921646,0.10613292700034867,0.6516858482266609,0.3009667502239173,0.7195141111439697,0.6728873323080262
gonium,0.10543845906563998,0.00208435144227074,0.017422887501273757,0.016587831305620145,0.009257244403508847,0.03850667237064789,0.005447208430436998
gymnodinium,0.37422919418029066,0.4243888082833682,0.3829883564630116,0.2562948901724175,0.1776127072581786,0.41381334986882545,0.2752349970684409
kellicottia,0.11943159172041695,0.2016906019103928,0.10373632354131332,0.1717401305940741,0.11902132202050719,0.13080607726633237,0.09536555347292
keratella_cochlearis,0.1454752061671057,0.06730056574522796,0.1446129905151807,0.18266622784691522,0.07472877383756237,0.10952036794121545,0.1315869803559378
keratella_quadrata,0.13078850941305864,0.08056859650486108,0.13205452312922966,0.39948194788019115,0.13164623277645812,0.2268782706510036,0.16555640216471587
leptodora,0.006915558906482944,0.007327667921305431,0.013022786711907037,0.004416030286099131,0.0030712694581333517,0.013170947369443643,0.005952183342413582
limnoraphis,0.006186216747893888,0.007842268425425064,0.006741272880996361,0.0025358577989053267,0.0002808428753326979,0.0031735378349980214,0.0016104154206504219
mallomonas_akrokomos,0.07945590406057365,0.18888562454269556,0.1426647833000409,0.13569071335413782,0.18605872408819268,0.12363251075855361,0.06503729890555579
mallomonas_big,0.367316196103026,0.35274619284046593,0.3636741974855343,0.2910543283720833,0.19799058525909766,0.3772776545476219,0.26397829767412156
nauplius,0.5532576549245104,0.6633140387571034,0.5984271123077498,0.6544187122733891,0.6270002801989786,0.704946579545267,0.400492593097164
oocystaceae,0.5142101216998025,0.5042361944549643,0.6731441748824386,0.15696872223545644,0.15668054087478883,0.6473818633655476,0.12012868405220924
pandorina,0.173075524480343,0.048286090157910654,0.0777575084717879,0.1881690799313421,0.07785501046818616,0.09415566078541998,0.18912163734040277
paradileptus,0.08811983878221034,0.014794465391884634,0.026577097553087962,0.07778444526667967,0.013634419064926165,0.08557611956563421,0.03988394021593776
pediastrum,0.032846759215743725,0.008635183220680133,0.012708532922395223,0.012101348098692372,0.006729070828422341,0.011464922077434304,0.004973256343382675
pennate_diatom,0.8195834144859483,0.29316324387876325,0.06705839795182139,0.3496746506990853,0.14275989392419283,0.3250696680051649,0.2918755400311873
peridinium,0.17005862807297592,0.08348564105126446,0.23887711913768733,0.07069943699757515,0.0503409638964571,0.10385898631701741,0.12946942222618923
phacotus,0.32004629929191486,0.09486984977280497,0.22057080795696918,0.33753662439180326,0.10821808056796839,0.30826095634173223,0.20975846260746817
plankton_x,0.0006747777917420513,0.00030019666975749054,0.0009775095185611017,0.00034476747639917326,0.00040286937088831776,0.0005335195719456371,0.0004065845889297083
plankton_y,0.05440714777225208,0.08297522836339696,0.06167694718908452,0.03332705831552696,0.042579503757245216,0.06343399760033257,0.08299908168819163
plankton_z,0.11447938075427566,0.043140516760529185,0.09014597402081444,0.10838997441282447,0.008642349538224217,0.09171965117476849,0.003711363147398696
planktosphaeria,0.020156863291611846,0.03062990323860612,0.015558293486226225,0.04753987589159094,0.017484010969960093,0.11597153392392136,0.055888603705460525
polyarthra,0.058419330638221315,0.14978667400917683,0.04954168191055009,0.12897328364865177,0.17305380121768527,0.10865708821167276,0.01641705363434676
protist_like_ciliate,0.26941487357836336,0.21187377981763397,0.3369131865980815,0.18442883848381017,0.05657457234983703,0.14279078752705432,0.08456109953824724
rhodomonas,0.5925600857787683,0.8698344742897105,0.6293020017655901,0.6165917332140175,0.7197937369491328,0.8499290167726512,0.4960002560279272
rotifer,0.6405473413874441,0.6652853679974791,0.6589344757275074,0.8533146874119144,0.7295823372717712,0.825542171363704,0.44443107478616484
rotifer_long,0.004609707419890841,0.0017064409013670832,0.004039216099682611,0.0026215464522739086,0.002806315780979539,0.002901440491435735,0.001278524619086493
rotifer_z,0.0029871880625245684,0.0009683400745829107,0.00510572438803074,0.002756012792333063,0.0009816539474670283,0.0017742594009945488,0.001109257542402307
scenedesmus,0.0796626569545445,0.010690318461537214,0.033490133122033916,0.024580466673021845,0.008217564586405001,0.06410423509145234,0.007842554112826234
snowella,0.000943534569508608,0.0014848181807690158,0.0027126605616480436,0.00020956301841746733,7.082332334255756e-05,0.001804665347832843,0.00021176737659233974
staurastrum,0.09230732678670599,0.0427817515211571,0.0462528455134052,0.08079205261850926,0.03362759448215198,0.054928105065967625,0.02715882786162101
strombidium,0.10630791453154603,0.09516016331343306,0.13063916457367206,0.08593674757680193,0.0858528941851091,0.10551336731472596,0.0678676022068067
synchaeta,0.03906452008455568,0.23887137015187182,0.07954359449249673,0.20707498342828448,0.09729591196600426,0.18567001307584602,0.10626963703427002
synedra,0.06760895399011727,0.04143297961401291,0.09629384462319152,0.1797621781848948,0.10150139707925389,0.29732312896131874,0.07380857323514475
synedra_angustissima,0.08997699289825488,0.20005286679730303,0.013939394220347356,0.0694828401702523,0.02823193468216527,0.3066849368591123,0.12252906450036855
synura,0.005390181125069307,0.0019821096532508793,0.003001782130561709,0.008715279659522521,0.0011773665861983188,0.0034462911686826553,0.0026250470139117955
tetraedron,0.062447595772974,0.033715267012008616,0.08087565147571779,0.0195333491310977,0.0216490750289956,0.063526065635889,0.01536871173243846
tintinnid,0.04917384529725753,0.08124597357942587,0.03601795913297789,0.04399924531036996,0.027320420253851257,0.03419006259629702,0.04863942975643237
trichocerca,0.037403596660854,0.029066237598811783,0.0679891416602,0.02646883019061643,0.02691005330665363,0.04323124128551011,0.01971305706254173
uroglena,0.08955877842449492,0.014685682154061422,0.588232809831473,0.30997424448647626,0.7652038196577126,0.8153548706735563,0.4858585248803675
vorticella_epistylis_like,0.06512905383355239,0.05760190233276264,0.04877570223465932,0.028037153560608874,0.03340479658750832,0.04529409177609565,0.08242551845633601
