,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.004925281657975987,0.003055638456858804,0.0005937077262454914,0.00488472873029763,0.002734529753293309,0.006978981324607527,0.001964927717706708
askenasia,0.0027143442575140284,0.001924235286811767,0.0033323750492816884,0.0031983829237424988,0.0021816137829155356,0.0027299155539890567,0.001361141500752976
asplanchna,0.006112196587967432,0.01302451259750839,0.009681982355376543,0.01949490499799409,0.02147982008268511,0.017298876025872524,0.007655537982746581
asterionella,0.04183915561205281,0.011409529700132322,0.0021010175331998503,0.01605604066385995,0.03353577757521969,0.04674206101527735,0.009120738380763872
aulacoseira,0.012253456772788735,0.05427340948851008,0.003199274668044932,0.04199320111187892,0.0012516660191847367,0.035135381498451836,0.06593923142899036
bosmina,0.00021845101874210695,0.0019938984997195084,0.0005286559052897981,0.00024992367773877795,0.0008764430988560643,0.0010586787882619578,0.0004139518870039622
centric_diatom,0.03492784655077455,0.05528547328471046,0.03858942260672124,0.023979967320100014,0.053919023667036985,0.025186857510506703,0.08321012767317766
ceratium,0.0049931637364328115,0.0018708750452341705,0.005094114912797604,0.010143215001945195,0.005485439908127128,0.014092063699022085,0.0041404844998541475
chaoborus,8.445389524812178e-05,5.586977422298932e-05,0.00011805058031222697,9.609700482883453e-05,8.34967010867487e-05,9.424734867805943e-05,9.248335079711396e-05
chlorophyte,0.053085839037275095,0.06385584114194917,0.06232400339287495,0.048511933746040715,0.06077939131018099,0.046623738366193664,0.051990786536914954
chlorophyte_colonial_dividing,0.054607008951669214,0.04621988765261101,0.06291474409572756,0.04734400156263543,0.062073080581160026,0.04436360380947672,0.05548305680733436
chlorophyte_elongated,0.024094352980732373,0.01732663679401484,0.009862483603252054,0.01872965982688095,0.01935047301958549,0.012947972906865253,0.007216240142409966
chlorophyte_frame,0.024157855127426076,0.004069482212829348,0.013142664087413094,0.00670498251589585,0.013368142103676563,0.0118163716559542,0.0069657066081453166
chlorophyte_square,0.024811010045815075,0.011208686730137488,0.03442558593010583,0.009934870972181254,0.01514974177309175,0.02368063948818043,0.014001301470745221
chroococcales,0.016463394576154037,0.001853196567640425,0.03064466289320884,0.004252747954273611,0.0065375102368321674,0.024388682072788166,0.005284530709176646
chydorus,0.0001263399459158442,0.0005583160901665086,0.00012718548369032752,5.3482817426993946e-05,2.4326549350524936e-05,0.00010639468977125776,5.538645844086468e-05
ciliate,0.0003612554377151188,0.0010766551911412215,0.0006039608366000522,0.00044800073311453365,0.0008305361069941171,0.0003130149334623292,0.0003835336635364458
ciliate_big,1.4271343257949264e-05,1.8166213020010474e-05,2.0243510726557202e-05,2.303584767681447e-05,1.222848098518599e-05,2.6755868966960766e-05,4.465061972682246e-05
ciliate_blue,0.02017607992890111,0.018781065634513233,0.01948710423140129,0.013709426411419859,0.016123508917594613,0.013995331947493713,0.022292990903875126
ciliate_green,0.005736295739741454,0.0034736227642834217,0.007398088466010107,0.012507651711316653,0.008988680903129478,0.006561915611117156,0.0032852577647464157
ciliate_round,0.0016786359816907857,0.004721760574132227,0.0008173401134264702,0.0011179219663652329,0.0007867566598467659,0.0009869268157130485,0.0013365316081454183
closterium,0.008669295293972293,0.008062749787211148,0.013537687068926278,0.008737877262913344,0.00535316281215318,0.003779087542139664,0.018241842050339394
coelastrum_reticulatum,0.0010485705368101397,0.0001807704414540457,0.0002695395742815596,0.0003694452560528105,0.000783724964418313,0.00037280748690028475,0.00010062612735127549
coelosphaerium,0.009438321287662307,0.0006329762085179936,0.004133593911143258,0.0023380699948518874,0.0065156148977001,0.007120433074877544,0.0002669774636516412
coleps,0.00016766613602461867,0.00010417539799150379,9.999125080936254e-05,6.614170815398387e-05,7.969865873306168e-05,6.758950693763746e-05,6.485901716212214e-05
collotheca,0.0069914208096819135,0.0011547298184660067,0.004325780895294287,0.0026724974517946436,0.001599463807830719,0.0018705442075053267,0.0021504603596639894
conochilus,0.00015376637411487168,0.0014793787881647593,0.0006904245080006176,0.0025535342860988942,0.0015974791084135147,0.0012826580494126813,0.00019548063913199675
cosmarium,0.009556920593835082,0.004357596789858587,0.00800690575015342,0.007096059806016014,0.005369085243818434,0.005893005860964556,0.002844691152847621
cryptophyte,0.05517357371728406,0.071696545980398,0.06282618397450855,0.06018973502430013,0.07547440875944708,0.04890157291702021,0.06725688623299213
cyanobacteria_colonial_blue,0.021726085100713402,0.009989584656901026,0.012978944690314449,0.01199082840740198,0.004313845725032245,0.016514933110927495,0.002390245061023888
cyanobacteria_colonial_clathrate,0.0014312164187680716,7.310959700769444e-05,0.00019148137220877844,0.0009801407091177034,0.0002336531465372484,0.00047534897165825516,0.00023851082367082026
cyanobacteria_colonial_probably,0.019671110221338797,0.005075127982923947,0.0185563998197186,0.006304427012934299,0.014688108944986527,0.02389607581669484,0.003159139520251967
cyanobacteria_filamentous,0.007317167416641144,0.0025305401254428293,0.00040238995991458446,0.004121701597159176,0.00014484476551368942,0.0002565793479108244,0.0009648998155738657
cyclops,0.02917004319055965,0.03397226514843626,0.03154444605059694,0.03289139899945522,0.03512965235126523,0.02448085177771407,0.023024488763983726
daphnia,0.008955467607658581,0.013654530355584046,0.009931279015481936,0.0151133632518336,0.009324166184231469,0.018913589385222723,0.013145134717902358
daphnia_cucullata,0.00011968261220757977,0.0002586646206221199,0.0005349428068646006,5.7751993197756036e-05,3.139863840766299e-05,0.0002808272104861219,0.000161390882337759
diaphanosoma,0.00045460814238813807,0.00040108310679505375,0.0022091004049587287,0.00018002156592490518,0.0004666548043472078,0.0006520923710063091,6.381751510965091e-05
didinium,0.000615245348729784,0.0005021311997538343,0.0009617295906612428,0.0002888737573480429,0.00025812956157738725,0.00038518813254002725,0.0008124449406957909
dinobryon,0.029264935191821648,0.013927468306602384,0.05842017164516477,0.06282023149378094,0.024577374974174063,0.04345032969475816,0.02062712892264124
dinoflagellate_diamond,0.002200696120997672,0.04860165523591037,0.0004885261231268495,0.0025442583753554826,0.005487180781142089,0.004569638435322114,0.004614095158486384
dolichospermum,0.005301479701051156,0.0008748998490635917,0.002552480959002561,0.008783805540328572,0.00037999554281933874,0.0010062285147646739,0.005562137632441087
eudiaptomus,0.009569357863450213,0.011426666370393702,0.009486862785597785,0.010638083183402994,0.017070432800104462,0.011620797315386577,0.012792427348754591
fragilaria,0.04023502987230307,0.0011592068950627191,0.007500112803148629,0.044157523888543125,0.026110568722126623,0.03730608433803537,0.06064725649575168
gonium,0.0064294597401950695,0.00015901041771959048,0.0012312260229635638,0.0011239733978115852,0.0008031183378081059,0.0019965323053254846,0.0004909562582095186
gymnodinium,0.02281986628892145,0.03237565427408964,0.027064700436987364,0.017366262849034298,0.015408907446876806,0.02145580676085219,0.02480689806800527
kellicottia,0.007282737413639523,0.015386516020997122,0.007330751636965751,0.011636924355447578,0.010325773214824219,0.006782163789208771,0.008595286171450658
keratella_cochlearis,0.008870833181142207,0.005134206667305112,0.010219389706089562,0.012377264815139547,0.0064831440129324664,0.005678521129560047,0.011859919136499409
keratella_quadrata,0.007975263136460372,0.0061463944733630115,0.009331918450076934,0.027068462058157078,0.011421055665987744,0.01176341056871973,0.014921579147816538
