,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.08786824231447203,0.04172540807658557,0.00847264813510274,0.0776905320200374,0.03254573916255206,0.15553775412218881,0.022286947377815024
askenasia,0.04658700990909459,0.02587607765733833,0.049489649755788935,0.049540841457520565,0.02579531084201633,0.05557749705400869,0.015333567634455064
asplanchna,0.11140201977229768,0.205878160141517,0.15875959251267466,0.40392222494233315,0.32906233719020356,0.5006893171986999,0.09282326505651912
asterionella,2.1860496187807583,0.1758607903997913,0.03064220006827595,0.3105444692312331,0.6301362712873523,9.152664033884736,0.11258899757408444
aulacoseira,0.2514826479280935,2.465369570511965,0.047419220742919314,1.6298095432759974,0.01463868501387719,2.102201250262753,2.7258146142423967
bosmina,0.0035953176756075285,0.02683801261854034,0.007537313391134786,0.003702080046221775,0.010205532161633177,0.020844106601977965,0.0046140287697479946
centric_diatom,1.3407760576306806,2.6323600477539144,1.2029969283165727,0.5477511535308037,1.64203863421007,0.9446675641549356,12.025010193375271
ceratium,0.0891872841243068,0.025140478131564625,0.07768610880771419,0.17604950684957943,0.06749631016494512,0.3732311606179159,0.04815110437736177
chaoborus,0.001386903235851689,0.000732892807683565,0.0016733106489018607,0.0014202336271308047,0.0009633623873009533,0.0018210377011481762,0.0010271659467561273
chlorophyte,6.726131119325754,5.1364597051466,7.470072462483286,2.5204961370063645,2.339804635297518,8.922763392346639,1.3631887337160538
chlorophyte_colonial_dividing,8.57076943163017,1.537187257712357,8.115498995616937,2.3190893858039563,2.5148539906911234,5.926690562795279,1.6013893043967975
chlorophyte_elongated,0.6532473901208263,0.2938656493732774,0.16219941911968358,0.38200990401584434,0.2870769180049706,0.33284401915837697,0.0870332058577584
chlorophyte_frame,0.6560986514589483,0.056349786117777134,0.228470728837597,0.10982065525267067,0.18215825643897168,0.29516854870062614,0.08375849933237718
chlorophyte_square,0.6860065733413546,0.1722319200221522,0.9498920618421595,0.1718121189033358,0.21157108771642388,0.8406823237808514,0.18391648970333468
chroococcales,0.3698399058671475,0.024897003433112342,0.7656858807890375,0.06696590848949685,0.08149664815164664,0.8881428688052484,0.062284268612857026
chydorus,0.0020761847491824023,0.00737251406470006,0.0018030270067897205,0.000789933957413412,0.0002804816747502321,0.0020562300094031623,0.0006148961204511846
ciliate,0.00595963299284054,0.014315117118874707,0.00862022890645688,0.006655692609802385,0.009665812279515263,0.0060737163902894785,0.004273529414949104
ciliate_big,0.00023409442720826777,0.00023818433815687043,0.0002865448487322235,0.0003400834102286282,0.00014097299272543918,0.0005163008941904609,0.0004956486049328782
ciliate_blue,0.49448465496201427,0.32658943691289843,0.38075580363765166,0.2536458269993665,0.22827436120833614,0.36972198763780506,0.3286263599831259
ciliate_green,0.10383935361090683,0.04770536105308944,0.11693056322260288,0.22637767354346874,0.11558480392151771,0.1448959734475916,0.03782914323076321
ciliate_round,0.028307673225084304,0.06597774499461775,0.011701391428576301,0.016775290549282246,0.009151642505163331,0.01940398473211564,0.015052158613573735
closterium,0.16573231682038542,0.1181788697971101,0.23696501599861405,0.14804683341482666,0.06576165436615661,0.0786164911898987,0.2537535009084386
coelastrum_reticulatum,0.01749666243304075,0.0023752159848800776,0.0038288164135021215,0.005482240403302623,0.009116056002903711,0.007242328870699343,0.0011177047429777394
coelosphaerium,0.1831261572280803,0.008366642761269699,0.062127945281572866,0.0357389164001222,0.08120153694904902,0.15919208206818253,0.0029709418165716132
coleps,0.0027571837286199025,0.001367426515964894,0.0014169655518711777,0.000977086742031091,0.0009195013070852561,0.0013052852634360729,0.0007201354569611489
collotheca,0.12950218206702166,0.01536914512070267,0.06520486592335727,0.04106075714865495,0.01878270636837749,0.03742701378118511,0.024442765097607216
conochilus,0.002528031420018361,0.019775586229238334,0.009866486026939049,0.03916140638740928,0.01875896258417992,0.025365848092269716,0.0021735913523756576
cosmarium,0.1858549423685524,0.06058097273701426,0.12778284291181094,0.11697537416810293,0.06597015948378394,0.12823150651581974,0.032590764761543954
cryptophyte,9.50491256876534,15.616170686885122,8.012543772705563,7.951952647637658,6.690252217718747,16.59129686725418,2.940449259068313
cyanobacteria_colonial_blue,0.5534993620265575,0.1506767077673023,0.2249843239081936,0.21501238137406092,0.05232594431142553,0.46739411538942566,0.027242476931561933
