,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0016727690006658347,0.0008602524503752549,0.00017762764909115184,0.0015812496381827266,0.0010617980274343266,0.0018614395494041614,0.0006937867033803251
askenasia,0.0008868881857309035,0.000533486914495079,0.001037542218240447,0.0010083138265775838,0.0008415666957911092,0.000665138516735638,0.00047732985409914777
asplanchna,0.0021207872193429534,0.004244588606908646,0.0033283682668067828,0.00822110307957856,0.010735590879850506,0.005992132921410538,0.0028895633829451864
asterionella,0.041616355806078816,0.003625720702088082,0.0006424085922509029,0.00632056850228399,0.020558065881557532,0.10953694754842537,0.0035048653429125436
aulacoseira,0.004787536049189749,0.05082850742216295,0.0009941360207562783,0.033171812363792914,0.000477584079265644,0.025158654052390764,0.08485387896251895
bosmina,6.844493296882166e-05,0.0005533191209520366,0.00015801851284058952,7.534911373887714e-05,0.00033295338182418987,0.0002494574042160675,0.0001436334799557136
centric_diatom,0.025524678393050747,0.05427134893908828,0.025220629115404486,0.011148479625694518,0.05357117176128966,0.011305560986664864,0.37433534699692683
ceratium,0.0016978799189220244,0.0005183210641484455,0.0016286762597142084,0.00358316788120781,0.0022020531976332117,0.004466743443514168,0.0014989309843009505
chaoborus,2.6402812651616453e-05,1.5110045958447566e-05,3.5080677495882234e-05,2.8906275329100845e-05,3.14294991867183e-05,2.179375430103162e-05,3.197540084533235e-05
chlorophyte,0.12804698642491014,0.10589835429520153,0.15660881803341495,0.05130011986086481,0.07633564362855864,0.10678555031366645,0.04243570021579069
chlorophyte_colonial_dividing,0.16316381253849177,0.03169217908439649,0.17014007719979038,0.04720085133758802,0.08204659274334918,0.07092924976916394,0.049850820190471906
chlorophyte_elongated,0.012436028708178733,0.006058626065213648,0.0034004836554953253,0.007775117595429502,0.009365825238663946,0.003983399558137585,0.0027093203906777114
chlorophyte_frame,0.012490308860524763,0.0011617631515302381,0.004789850564126168,0.0022351999255004183,0.005942875545144318,0.0035325083185908726,0.002607379653515841
chlorophyte_square,0.013059673209707662,0.0035509043065544937,0.01991432798162859,0.003496923547662643,0.006902463099007343,0.010061089892948556,0.0057252710712447355
chroococcales,0.007040731821283297,0.000513301347970631,0.01605247624805269,0.0013629694097381663,0.0026588113367999574,0.010629086621738188,0.001938892602061017
chydorus,3.952483168672067e-05,0.00015199907159549694,3.780015921315381e-05,1.6077670623056777e-05,9.150656787784561e-06,2.460848096834326e-05,1.9141551559180038e-05
ciliate,0.0001134549760320753,0.00029513467085373184,0.00018072165524468092,0.0001354645316161706,0.00031534513199039043,7.268882056678892e-05,0.0001330338262272625
ciliate_big,4.4565122818909546e-06,4.9106448561119305e-06,6.007364761037297e-06,6.921779982627377e-06,4.599214811185364e-06,6.1789686321679575e-06,1.542940833582888e-05
ciliate_blue,0.009413624084627497,0.006733292167096906,0.007982481651487605,0.005162500007927139,0.007447403951535757,0.004424746480090436,0.010230050579449132
ciliate_green,0.0019768149128083145,0.0009835410996252303,0.002451429673573171,0.0046075062826308735,0.0037709303879158627,0.0017340812013582046,0.0011776110980500911
ciliate_round,0.0005389000280946818,0.0013602627132532086,0.00024531771146520754,0.00034143056331009913,0.00029857044915260097,0.00023222236170402456,0.0004685696666410355
closterium,0.0031550862368850316,0.002436492943075403,0.00496793187177135,0.003013224336150972,0.002145460409980368,0.0009408638228201382,0.007899278527562158
