,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.008343904108625816,0.05449265084597929,0.051903980963987614,0.16525654002593493,0.038257019253434194,0.16946034395419277,0.17226269845369743
askenasia,0.012785310407500113,0.046687894358213446,0.053430038183786915,0.015757096588938802,0.018155377068305185,0.06863728608289359,0.009513036985650876
asplanchna,0.029568557661526232,0.031463342005704054,0.1195129837202541,0.02877705265093699,0.1984511019588688,0.1038485088658151,0.06588131302105299
asterionella,0.05634128059003979,0.43480176696921524,0.5651707169504213,0.08801446414333933,0.07286396949712552,0.5397573491285166,0.22043152382664558
aulacoseira,0.5144486124562965,0.22946341569286086,0.23090519755301578,0.46972282203977533,0.5030318127028804,0.3926469414721507,0.9931326718394436
bosmina,0.01459721248771138,0.03297332166676027,0.007322500472383671,0.0038824970630695747,0.03615384009192853,0.00275710313710636,0.02885559639533165
centric_diatom,0.756823374094415,0.16566230299273224,0.2138529718504681,0.3120844167899176,0.545059443200743,0.1553461799530757,0.3652947639435404
ceratium,0.023872782196081736,0.2183536038887689,0.2619687859096318,0.06649385834042373,0.025524225512878203,0.20865621526479847,0.13903584738290348
chaoborus,0.000523994685294981,0.0014274351195405104,0.0018598400979600283,0.0011683731083171449,0.0005461015241538152,0.0024833236215708746,0.0010033289719071608
chlorophyte,0.3258426131363878,0.9242062190955631,0.8235159832205148,0.6717758717564035,0.7490683131391979,0.8777955889788922,0.5192700795819568
chlorophyte_colonial_dividing,0.14565821085156416,0.8998346688731091,0.8385115796661717,0.5607759224240376,0.42994693558184716,0.9285233905121495,0.34196760447799246
chlorophyte_elongated,0.07241370790072295,0.15413172582960052,0.1676236871894139,0.2210371056807176,0.20619160479345208,0.338016570531422,0.07005387274294587
chlorophyte_frame,0.005105620841362758,0.09435677614047869,0.09783766593894085,0.02429785492107815,0.022237959241890776,0.35353368376224525,0.008863989627141697
chlorophyte_square,0.026276760554220093,0.6385320007231591,0.3521654392055183,0.1515566290733956,0.09477159984205055,0.6341922344122417,0.06632416844447897
chroococcales,0.0074955053266048685,0.8092177027463874,0.3683213172569337,0.06881535967979148,0.024933434680625203,0.6867089513360494,0.02714193152736911
chydorus,0.0015294657734135097,0.019646235614974483,0.0015045694008534506,0.006040941606082145,0.0019916782286811797,0.0020757388243465963,0.004233321680233304
ciliate,0.009324122909001479,0.007985220966239744,0.007207245289087256,0.007557210567594648,0.01849168032672531,0.00622644113647243,0.003953067422076492
ciliate_big,0.00024910573805080033,0.00039424895961990994,0.0003161749612013738,0.00040886747835258675,0.0002314410994179622,0.00033562196699193713,0.0012027587005743535
ciliate_blue,0.11839913352495002,0.2588842189189521,0.22287515795522364,0.20110820227086706,0.18430448074047195,0.3300002594175262,0.1748707903550594
ciliate_green,0.021121722519523618,0.057608506820121405,0.11043929482615827,0.012140937709823095,0.03339042255965775,0.11741163224109703,0.024982400339013684
ciliate_round,0.014335453720401422,0.015352404553091977,0.007716228669671071,0.0316609272122679,0.030087640467181685,0.006672590215250262,0.01939537775336296
closterium,0.15124582023232083,0.22090190357990175,0.1976339159420482,0.2792339590522628,0.07140547296479381,0.0897837051937671,0.2106529224297623
coelastrum_reticulatum,0.011288202953954567,0.18476366802774707,0.04410738949268667,0.1224936867259101,0.0026078892090151662,0.013539612423342572,0.04927358322883814
coelosphaerium,0.0013339707678231727,0.45305718953922386,0.1548629053257042,0.0671313055821132,0.0013024960452914036,0.33512054367335026,0.00967194500664714
coleps,0.0014613384529914527,0.008046413083640987,0.002180298400737039,0.0045289845444603394,0.0009946311480824618,0.0032001216515154087,0.0019873036821816312
collotheca,0.002508111744810016,0.05400664026218139,0.05285754729560374,0.037439830348424095,0.0030006799249342447,0.1587274012753828,0.011769444038794293
conochilus,0.048742946182652944,0.007439421447419933,0.031215405951999477,0.004443260635913202,0.03061694414288163,0.004340516135040477,0.02093943790529008
cosmarium,0.022355715015649893,0.19005638384748355,0.17690956267372687,0.0857828848513113,0.058984621128411865,0.22846631627868805,0.04256873586516362
cryptophyte,0.6885805786642216,0.8999213801911885,0.8588508576779247,0.8359687886534068,0.9366993677340818,0.8806355994724431,0.8357015763321543
cyanobacteria_colonial_blue,0.03136752920189918,0.750143341779678,0.4159030784732811,0.1486668692482756,0.08877807383114643,0.6567118892568622,0.14280286325236968
cyanobacteria_colonial_clathrate,0.001401081572836598,0.019744921075204702,0.025051793116991607,0.01329464933270141,0.001274451161367387,0.09075488426678538,0.013395094840716834
cyanobacteria_colonial_probably,0.010210381259535585,0.914009330417358,0.4772730123803506,0.4469120650662063,0.035510549341322264,0.8160277129139784,0.2425588252948141
cyanobacteria_filamentous,0.03061594995868071,0.14701695321561048,0.10028224461231273,0.8126658266489774,0.027514672017030534,0.16165180895052492,0.3226910296487149
cyclops,0.18908401272866965,0.4285542372502643,0.47310604991322797,0.4013151811090942,0.4493720161383545,0.42612037560900196,0.2956478973561365
daphnia,0.10901615659323685,0.3420714790774345,0.2720182617110828,0.17993172595249665,0.1863550951236976,0.23061575153756755,0.532581557039287
daphnia_cucullata,0.0023347789742957465,0.07755728761836747,0.009507623864689405,0.00251177904449395,0.0007189493316627983,0.010922888079320044,0.012640997854719784
diaphanosoma,0.0014791112254659545,0.1418389687378545,0.037982453720410564,0.01276742026894131,0.0011256216077721781,0.046801335519227556,0.002296511872248297
didinium,0.0038994777927926867,0.009232320174427475,0.007991645553525356,0.0026564118908935144,0.0026244275318802923,0.01460103423933193,0.001979405313006334
dinobryon,0.024746603478319213,0.4290628396543983,0.9607411770729785,0.19694982026828006,0.09755880223206097,0.7336581421696355,0.32783865896904824
dinoflagellate_diamond,0.20753142215945414,0.004998511149423145,0.006468073915451752,0.05323955822901908,0.5143582076889305,0.0056922159727580985,0.12890228884700417
dolichospermum,0.008927148235381693,0.0579978595562097,0.120435640629808,0.12005549009814173,0.015142057233379089,0.08387553212543009,0.13938305886765243
eudiaptomus,0.1595520253867174,0.174169420150369,0.15816870192136792,0.18617493769225574,0.1712181920513248,0.1549292431626909,0.20126732130463668
fragilaria,0.043782375308044526,0.19032126730450724,0.46917897075442855,0.07034957741781567,0.0120371488634355,0.9037891030825916,0.7137836941695713
gonium,0.0008836298632602284,0.020404523898863783,0.018513103651015515,0.002482744014969724,0.0006009535082928953,0.09477420263492145,0.0013332282218977717
gymnodinium,0.08630548709118788,0.23777841486947035,0.2243115131827198,0.1477925678832788,0.2838143557065047,0.29624657297880447,0.14100718935589618
kellicottia,0.09515133622622388,0.0422984498687328,0.10329043094246523,0.10482610788853826,0.19183167348551833,0.06575238822629839,0.10872355910465381
keratella_cochlearis,0.04768638242667259,0.06890062344236819,0.16811752700652893,0.08609642471626086,0.05136384270896996,0.14687450713084343,0.062164271627591354
keratella_quadrata,0.04839513933649698,0.004788652052238621,0.1969357365524443,0.022744353867604487,0.09290641191597158,0.16466275489967527,0.11931372873180487
leptodora,0.0013166168604817276,0.03535736707139695,0.016738430732496534,0.016855252332754627,0.0013378188565694956,0.04810498059811544,0.027212062020338816
limnoraphis,0.0012485185913309453,0.09695097227696878,0.01457038510946931,0.020059210611207714,0.001507571856783415,0.00600304520758032,0.014630164886588632
mallomonas_akrokomos,0.13811660859746341,0.09231727546676748,0.09970962849242819,0.03206922400561874,0.1935465297059721,0.1061619415066874,0.024979567903688025
