,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.001303492739040519,0.0033492455488829407,0.0033197329914722486,0.01537609915804669,0.00354588748755352,0.008734013021404403,0.015121010097685997
askenasia,0.0019973335102601367,0.002869546992821711,0.0034173382696291816,0.001466100400967,0.001682748045577037,0.0035375766177123914,0.0008350428131622
asplanchna,0.00461922856661976,0.0019338104593852998,0.007643945369829917,0.0026775268014669557,0.018393625354489514,0.005352368628100017,0.005782981506631403
asterionella,0.008801689137515332,0.026723931760708808,0.036147822190673716,0.008189201636425064,0.006753464926835512,0.02781917943564133,0.01934921098735103
aulacoseira,0.08036765789925794,0.014103357273130265,0.01476849343696801,0.04370480398141957,0.04662397241898018,0.020237085678047374,0.087175977701653
bosmina,0.002280390598963517,0.002026617334811318,0.0004683406926938661,0.0003612423436507507,0.003350952366668565,0.0001421015332492843,0.002532909146235404
centric_diatom,0.1182316766857821,0.010181991925559708,0.01367784807236572,0.029037525156280396,0.05051934252418031,0.008006566768814971,0.0320651299660605
ceratium,0.0037294290356379997,0.01342052230077862,0.016755293238943137,0.006186842342717631,0.0023657366319119267,0.010754174449287847,0.012204397534050634
chaoborus,8.185895459557467e-05,8.773349518181852e-05,0.00011895373760145089,0.00010870989289900576,5.0615928768603545e-05,0.00012799089356872818,8.807099651690991e-05
chlorophyte,0.050903446967252006,0.05680387203596902,0.05267135829906132,0.06250459082883295,0.06942809478406173,0.04524172396549242,0.04558089584841545
chlorophyte_colonial_dividing,0.022754866038113684,0.05530593965729572,0.05363046346446262,0.052176731930148726,0.039850032463122395,0.0478562429072128,0.03001750028769637
chlorophyte_elongated,0.011312539217464586,0.009473295731850503,0.010721063667563622,0.020566135863796842,0.019111061074368753,0.017421427689713213,0.006149243722736761
chlorophyte_frame,0.0007976050070050909,0.005799387763107141,0.006257611100225513,0.002260765150569518,0.00206114597956994,0.018221182168255117,0.0007780702256549185
chlorophyte_square,0.004104980850933247,0.03924566759077301,0.022524191888056207,0.014101407159596306,0.008783994064702002,0.03268636841034233,0.005821854816927533
chroococcales,0.0011709550638973113,0.04973640934923598,0.023557507644909197,0.006402843686955231,0.0023109786329687868,0.0353930883351994,0.002382485728948252
