,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.06442461300181881,0.06067263826790806,0.06793527117203954,0.02865071365991474,0.09274815891601522,0.8717617406947259,0.0115750985227029
askenasia,0.030381698881515404,0.009567033670747245,0.05695449771646107,0.017910528967949955,0.015628783003463795,0.018535063864024714,0.022040912551896035
asplanchna,0.09382515483023178,0.03147628717733248,0.21891474332077301,0.015684083917387074,0.13936541741525532,0.04035367821020279,0.06705619786641061
asterionella,0.3459249101713746,0.21774445777765924,3.713441181219542,0.3905884276490089,0.29244990610570937,9.701099488422853,0.025470528775748832
aulacoseira,1.854646363210314,4.569633113489971,0.14205927365308427,0.1126971024774789,1.9147673230375888,0.8844860510714443,0.052349370076585855
bosmina,0.014366201906668463,0.015144233853673948,0.016221481974520606,0.02074395840708975,0.03383998702887437,0.00509236216926662,0.00980471220553918
centric_diatom,3.436765709359259,9.52677277567507,2.050125657792389,0.8495835835946051,0.7564052161268673,1.186187657643067,0.637544043781579
ceratium,0.0514993892197425,0.054423481586135795,0.19528866876797576,0.055456461263462715,0.07797496457165222,0.3089961762771363,0.024005261742967077
chaoborus,0.001433295303147981,0.0005116309972055302,0.0011673069449054305,0.000788595211947005,0.0005503263806952498,0.0013328317719598613,0.0010233757893342247
chlorophyte,7.217145555848055,0.5404740022991315,2.724437542942855,3.7213209814986175,1.0402335347684104,1.5185702579633718,1.3672965161083293
chlorophyte_colonial_dividing,3.339975197928973,0.17353060504604437,0.8289506158883277,1.9877042212727403,0.21104380397377334,2.0487296070389003,0.6758874431607819
chlorophyte_elongated,0.28054449206269905,0.0794363633167505,0.8309589724994899,0.13635913903341407,0.46946517520954384,0.21001899919782488,0.1866109798435071
chlorophyte_frame,0.1459503064979495,0.004245276963444217,0.06544531974610725,0.03896576015427574,0.015761570958925653,0.10301920570441511,0.01393122309099025
chlorophyte_square,0.27493628357987226,0.020358073787355973,0.06720401388902582,0.313005077435166,0.02624931493720958,0.18582422470078985,0.06400314225996674
chroococcales,0.06936818083357879,0.0030120343228274677,0.03299011704300225,0.13290549289068085,0.004321944993302001,0.23329747779899448,0.011719731798215277
chydorus,0.007815668910911773,0.003663543688572396,0.004344702039645351,0.008956240853526164,0.0018287478933628949,0.0010804392039003216,0.0003317219763434785
ciliate,0.008757501721133354,0.006139407488500917,0.008737619625452206,0.00863505364995137,0.014420679323199497,0.004180877810450255,0.01142468561948434
ciliate_big,0.0003768676647158232,0.00047260811687432143,0.00026188915341356073,0.00039606900386266993,0.00041748670454732847,0.0004992892879746512,0.0001299541484156209
ciliate_blue,0.36642006234993485,0.11915445435028164,0.1562433280734043,0.22949207959474902,0.16431632044072936,0.16261935926932872,0.14190339894813767
ciliate_green,0.039933613428822776,0.007778935895278122,0.14298070959341197,0.03188664273604251,0.022666186317362464,0.03250542843742536,0.07277385112112496
ciliate_round,0.10386375385351365,0.0446566085687151,0.033381787334814686,0.0366932465911152,0.03688191577778661,0.037894676533413774,0.020700190811675404
closterium,0.24324024326944732,0.29260265982164235,0.2051718065806678,0.22428403472771352,0.11698279081147926,0.3773148925107468,0.12386146584972366
coelastrum_reticulatum,0.012393829544272872,0.020560406587515987,0.021028208755416035,0.2196202401551602,0.029866992974343105,0.7074490299882658,0.026198160126646858
coelosphaerium,0.04313717917104168,0.006073097300750325,0.08885857101688406,0.2595976420206933,0.004041083921045706,0.5921799085057998,0.025375872716789816
coleps,0.0017774243132572525,0.0023709014943267175,0.003091553229093588,0.005781365287776622,0.0013981434296190217,0.0031480108434442234,0.0021850976352431996
collotheca,0.030488250269311613,0.005623855290437808,0.03407439745490136,0.013662094750764835,0.004431168049552983,0.04063684465148656,0.007537716593127967
conochilus,0.010182001497946706,0.01377312652557397,0.07591658682683437,0.005947112513647062,0.06966145494214017,0.023555511697802116,0.05717201262946442
cosmarium,0.16453392730086122,0.04091412125900618,0.22358762690695286,0.11523254869491105,0.040966410500440295,0.20976359621092425,0.0823619425511741
cryptophyte,11.61846808913338,2.213181844542698,5.698977918796974,7.204775291255077,10.416714747036902,3.8696865677716703,4.654277881361699
cyanobacteria_colonial_blue,0.4617316355802482,0.12588169855791992,1.1844825657651747,0.3115731585673171,0.09155652283803387,0.09325013831660824,0.10244495578657191
cyanobacteria_colonial_clathrate,0.007979780028919494,0.008096141395105325,0.014458277021476985,0.004680933913617164,0.0015172451752931753,0.07979533672711193,0.002091217266325891
cyanobacteria_colonial_probably,0.16149874451225238,0.06287248169776008,0.21767749619093268,2.017719060715928,0.07058582770340308,0.9980511400153388,0.10066868088442553
cyanobacteria_filamentous,0.11153126961783576,0.1855513380039853,0.052339550828263165,0.06474748656655897,0.031474825060673776,1.2799018308324528,0.023601240082962865
cyclops,0.5638659903575238,0.1847177012756431,0.5041397940413286,0.3923957541639499,0.5907656826364533,0.44143750106379803,0.4807737632116922
daphnia,0.14800600674911724,0.1162244403757353,0.13593863728733235,0.11860809076715421,0.23398923169636954,0.17229342566813052,0.07775121859614595
daphnia_cucullata,0.007966775252155469,0.005534327240845681,0.008674124943996496,0.009437939779098473,0.0014790820279418598,0.0009963962835670152,0.001754890006086831
diaphanosoma,0.018668740498237333,0.0025872338361506756,0.037656504274868566,0.0662581715217183,0.0021317720579101733,0.017894901295991056,0.015100475647915735
