,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0013717888247338668,0.002583297944324126,0.0019150663078887464,0.0010370672233207588,0.003150375433371626,0.0262837462687673,0.0007344646317326943
askenasia,0.0006469154110543999,0.00040734174613918915,0.0016055229894248557,0.000648305754805172,0.0005308626564996588,0.0005588349349779747,0.0013985428019234448
asplanchna,0.0019978125265789812,0.00134018612477526,0.006171113208219187,0.0005677153299427721,0.004733823209193529,0.0012166694058438514,0.004254858442435744
asterionella,0.007365755164982698,0.009271045832574655,0.10468032245681304,0.014138093065720314,0.009933641922979197,0.2924895938637711,0.0016161592491524678
aulacoseira,0.03949085662048743,0.19456420827241397,0.0040045903107860025,0.004079286559138431,0.06503887522535781,0.02666738612100512,0.0033216789247475006
bosmina,0.00030589854267159964,0.0006448057855966486,0.0004572766555205081,0.0007508671372476347,0.0011494423721975545,0.00015353547754803763,0.0006221298527318998
centric_diatom,0.07317881433287761,0.4056275321137936,0.057792167550695724,0.03075229812687252,0.02569280553286284,0.035763734476105584,0.040453526197725034
ceratium,0.0010965729295148124,0.0023172235808112326,0.005505104247290043,0.002007352381527576,0.0026485745450429477,0.009316280717728314,0.0015231849380041588
chaoborus,3.0519057667392295e-05,2.178404205034613e-05,3.290588471328571e-05,2.854470769857813e-05,1.8692928574987213e-05,4.0185076354953246e-05,6.49353714582468e-05
chlorophyte,0.15367418070032565,0.023012109230108796,0.07680073187938412,0.13470031019742276,0.03533359811348076,0.04578511936047762,0.08675787339548294
chlorophyte_colonial_dividing,0.07111786067349601,0.00738852418636096,0.02336776416732308,0.07194874522174143,0.007168521975798133,0.06176950266458002,0.04288649647864233
chlorophyte_elongated,0.00597361444827592,0.003382213134603177,0.02342437888327118,0.004935779100317631,0.015946317124665526,0.0063321040931860525,0.011840863757592794
chlorophyte_frame,0.003107709772578959,0.00018075388784523578,0.001844875639597942,0.0014104400039540819,0.0005353730631494931,0.003106044389361412,0.0008839657491503483
chlorophyte_square,0.005854199253289769,0.0008667988020078041,0.0018944524770916123,0.011329815738417202,0.0008916101180606895,0.005602628040012023,0.004061135567658638
chroococcales,0.0014770518723478388,0.0001282453227109715,0.0009299773233018685,0.004810767791416524,0.00014680344591649927,0.007033953688682728,0.0007436419208267905
chydorus,0.00016641849706580306,0.00015598505602873314,0.0001224752967110374,0.000324188218960615,6.211705444522586e-05,3.257540285206141e-05,2.1048465264886794e-05
ciliate,0.0001864728778937202,0.00026140150152002616,0.0002463097690958793,0.00031256223556169185,0.0004898270154718206,0.0001260540884290481,0.0007249206129622631
ciliate_big,8.02461709542781e-06,2.0122539774870845e-05,7.382543492521401e-06,1.4336472974282638e-05,1.4180765129323487e-05,1.5053646366014023e-05,8.245867244327104e-06
