,h0,h1,h2,h3,h4,h5,h6,h7,h8
aphanizomenon,0.0019247779914412936,0.006153949751922529,0.0009583957243541137,0.0008049294624649634,0.0007786101446168653,0.003843698649574836,0.01202671531000243,0.013446921351945997,0.01284124366932855
askenasia,0.0009203324071780232,0.000574828923240475,0.0015741012027645632,0.0009110561677313967,0.0007140963935834297,0.0005542130711841943,0.0014563739647677689,0.0008982404946440333,0.0015202274316160084
asplanchna,0.004054888327083517,0.0019599811026070877,0.0021112017851750153,0.0013373646294152631,0.005654526668822279,0.0009855072003475773,0.0023728108845164314,0.004001012775778306,0.006778581959432491
asterionella,0.02240270084130455,0.05493828080328463,0.00173540073447972,0.0026887683497408845,0.0007729224901412805,0.0023430049228227055,0.006693359921967084,0.0009233744391884248,0.0007279425563412092
aulacoseira,0.027268844560821133,0.029991519773512623,0.013449208246341715,0.000392649895157572,0.0014875658324432122,0.019925473087073316,0.0022091379734234884,0.02769729358716047,0.02191125218106589
bosmina,0.00015710176733546013,0.00025604440862425686,0.0003610221301116667,0.0002431239387518243,0.0004089355886499,0.00029378185840979275,0.00015749113999100962,0.0007090110840523692,0.00016741249949477925
centric_diatom,0.03783972724591631,0.007752267329239028,0.073236291335343,0.0038322773784360714,0.0019870098207814377,0.003842133130063228,0.008712255049831367,0.06238418378413028,0.008021375903657807
ceratium,0.003154394319160316,0.0021657006692536607,0.004140952968473178,0.0025618134853601865,0.0010326914051948571,0.003526730193628997,0.0028578065737232482,0.0015750076979292502,0.010582680125584613
chaoborus,3.295908517351098e-05,6.460423266760866e-05,7.747129230020921e-05,3.630019515375693e-05,2.3029709428289947e-05,3.412782511153493e-05,4.9142795458977365e-05,3.38420903650314e-05,5.83461403584829e-05
chlorophyte,0.10305403017361275,0.07778746874626072,0.047644334924294846,0.13874428473068068,0.053953999585049935,0.08404699435492677,0.12045733178787177,0.12249098542081031,0.05785630274704132
chlorophyte_colonial_dividing,0.07771550891304659,0.11297593192499412,0.04695200481686686,0.2020998876843416,0.05227812165279212,0.06990485805371878,0.2034466297950314,0.05270567849036264,0.06506192248971375
chlorophyte_elongated,0.009985309711253023,0.00590376822566072,0.013049005542863633,0.003923729493524685,0.015130851492430935,0.00774256972851219,0.026348089265453265,0.00874076900751991,0.012978951897620671
chlorophyte_frame,0.0034162172040119237,0.00231781587653461,0.0019363608741453902,0.003080663750733334,0.0023832155627575608,0.0012397955304883112,0.01675298585196445,0.0013068430903224347,0.0020127436483152587
chlorophyte_square,0.006107492381995493,0.008768791167741841,0.007357827711262929,0.01988961622216855,0.0052600086653996755,0.009076763011533994,0.013402035867430558,0.003918904610942954,0.0049958258666867525
