date,pattern
2019-03-26,0010010
2019-03-27,0010010
2019-03-28,0010010
2019-03-29,0010010
2019-03-30,1010011
2019-03-31,1010011
2019-04-01,0010011
2019-04-02,1010011
2019-04-04,0010010
2019-04-05,0010010
2019-04-06,0010010
2019-04-07,0010010
2019-04-10,0010010
2019-04-11,0010010
2019-04-12,0010010
2019-04-13,0010010
2019-04-14,0010010
2019-04-15,0010010
2019-04-16,0010010
2019-04-17,0010010
2019-04-18,0010010
2019-04-19,0110010
2019-04-20,0110010
2019-04-21,0110010
2019-04-22,0110010
2019-04-23,0110010
2019-04-24,0110010
2019-04-25,0110010
2019-04-26,0110010
2019-04-27,0110010
2019-04-28,0110010
2019-04-29,0110010
2019-04-30,0110010
2019-05-02,0110010
2019-05-05,0110010
2019-05-06,0110010
2019-05-07,0110010
2019-05-08,0110010
2019-05-09,0110010
2019-05-10,0110010
2019-05-11,0110010
2019-05-12,0110010
2019-05-13,0110010
2019-05-15,0110010
2019-05-16,0110010
2019-05-17,0010010
2019-05-18,0010010
2019-05-19,0110010
2019-05-20,0010010
2019-05-21,0010010
2019-05-22,0010010
2019-05-23,0010010
2019-05-24,0010010
2019-05-25,0010010
2019-05-26,0010010
2019-05-27,1000010
2019-05-28,1000010
2019-05-29,1001010
2019-05-30,1001010
2019-05-31,1001010
2019-06-01,1001010
2019-06-02,1001010
2019-06-03,0001010
2019-06-04,0001010
2019-06-05,0000000
2019-06-06,0000000
2019-06-07,0000000
2019-06-08,0000000
2019-06-09,0000000
2019-06-10,0000000
2019-06-12,0000000
2019-06-13,0000000
2019-06-14,0000000
2019-06-15,0000000
2019-06-16,0000000
2019-06-17,0000000
2019-06-19,0000100
2019-06-21,0000100
2019-06-25,0000100
2019-06-26,0000100
2019-06-27,0000100
2019-06-28,0000100
2019-06-29,0000000
2019-06-30,0000000
2019-07-01,1000000
2019-07-02,1000000
2019-07-03,1000000
2019-07-04,1000000
2019-07-05,1000000
2019-07-06,1000000
2019-07-07,1000000
2019-07-08,1000000
2019-07-11,1000000
2019-07-13,0000000
2019-07-14,0000000
2019-07-15,0000000
2019-07-16,0000000
2019-07-17,0000100
2019-07-18,0000100
2019-07-24,0000100
2019-07-28,0000100
2019-07-29,0000100
2019-08-14,0000100
2019-08-15,0000100
2019-08-16,0000100
2019-08-17,0000100
2019-08-18,0000100
2019-08-19,0000100
2019-08-20,0000100
2019-08-21,0000100
2019-08-22,0000100
2019-08-23,0000100
2019-08-24,0000100
2019-08-27,0000100
2019-08-28,1001100
2019-08-29,0000100
2019-08-30,1001100
2019-08-31,1001100
2019-09-01,1001000
2019-09-02,1001000
2019-09-03,1001000
2019-09-04,1001000
2019-09-05,1001000
2019-09-06,1001000
2019-09-07,1001000
2019-09-08,1001000
2019-09-09,1001000
2019-09-10,1001000
2019-09-11,1001000
2019-09-12,1001000
2019-09-13,1001000
2019-09-14,1001000
2019-09-15,1001000
2019-09-16,1001000
2019-09-17,1001000
2019-09-18,1001000
2019-09-19,1001000
2019-09-20,1001000
2019-09-21,1001000
2019-09-22,1001000
2019-09-23,1001000
2019-09-24,1001000
2019-09-25,1001000
2019-09-26,1001000
2019-09-27,1001000
2019-09-28,1001000
2019-09-29,1001000
2019-09-30,1001000
2019-10-01,1001000
2019-10-02,1001000
2019-10-03,1001000
2019-10-04,1001000
2019-10-05,1001000
2019-10-06,1001000
2019-10-07,1001000
2019-10-08,1001000
2019-10-09,0001100
2019-10-10,0001000
2019-10-11,0001100
2019-10-12,0001000
2019-10-13,0001000
2019-10-14,0001000
2019-10-15,0001000
2019-10-16,0001000
2019-10-17,0001000
2019-10-18,0001000
2019-10-19,0001000
2019-10-20,0001000
2019-10-21,0001000
2019-10-22,0001000
2019-10-23,0101000
2019-10-24,0101000
2019-10-25,0101000
2019-10-26,0101000
2019-10-27,0001000
2019-10-28,0101000
2019-10-29,0101000
2019-10-30,0101000
2019-10-31,0101010
2019-11-01,0101010
2019-11-02,0101010
2019-11-03,0101010
2019-11-04,0101010
2019-11-05,0101010
2019-11-06,0101010
2019-11-07,0111010
2019-11-08,0111010
2019-11-09,0111010
2019-11-10,0111010
2019-11-11,0111010
2019-11-12,0111010
2019-11-13,0111010
2019-11-14,0111010
2019-11-15,0111010
2019-11-16,0111010
2019-11-17,0111010
2019-11-18,0111010
2019-11-19,0111010
2019-11-20,0111010
2019-11-21,0110010
2019-11-22,0110010
2019-11-23,0111010
2019-11-24,0110010
2019-11-25,0110010
2019-11-26,0110010
2019-11-27,0110010
2019-11-28,0110010
2019-11-29,0110010
2019-11-30,0110010
2019-12-01,0110010
2019-12-03,0111010
2019-12-04,0111010
2019-12-05,0110010
2019-12-06,0110010
2019-12-07,0110010
2019-12-09,0111010
2019-12-10,0111010
2019-12-11,0111010
2019-12-12,0111010
2019-12-13,0111010
2019-12-14,0111010
2019-12-15,0111010
2019-12-16,0111010
2019-12-17,0111010
2019-12-18,0111010
2019-12-20,0111010
2019-12-21,0111010
2019-12-22,0111010
2019-12-23,0111010
2019-12-24,0111010
2019-12-25,0111010
2019-12-26,0111010
2019-12-28,0111010
2019-12-29,0111010
2019-12-30,0111010
2019-12-31,0111010
2020-01-02,0111010
2020-01-03,0111010
2020-01-04,0111010
2020-01-05,0111010
2020-01-06,0111010
2020-01-22,0111010
2020-01-23,0111010
2020-01-24,0111010
2020-01-25,0111010
2020-01-26,0110010
2020-01-27,0110010
2020-01-28,0111010
2020-01-29,0111010
2020-01-30,0111010
2020-01-31,0110010
2020-02-01,0110010
2020-02-02,0111010
2020-02-03,0111010
2020-02-04,0111010
2020-02-05,0111010
2020-02-06,0111010
2020-02-07,0111010
2020-02-08,0111010
2020-02-09,0111010
2020-02-10,0111010
2020-02-11,0111010
2020-02-12,0111010
2020-02-13,0111010
2020-02-14,0111010
2020-02-15,0111010
