,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0005719617217868152,0.000673209488076586,0.00019815371225169326,0.0006959628184642038,0.0008070953652187188,0.006334684891171741,0.0007595868120483498
askenasia,0.0009301355548653223,0.002035727581946571,0.0009478875525188076,0.0006569815657936298,0.0007419686738581022,0.001241052161392651,0.0009074780246233899
asplanchna,0.0009021448739499481,0.003752189445552824,0.005397205752497704,0.0012754158471101399,0.00148317675602145,0.004640694184407129,0.001782916538553064
asterionella,0.0015381849673586653,9.180948004983159e-05,0.00040564500833016387,0.02424380625974746,0.00010529024445782566,0.011271692402559146,0.0004161648290891757
aulacoseira,0.0003336256997820491,0.0018240429912254662,0.0023962416296763956,0.01534138182549444,0.006062556707018387,0.016045445388002733,0.05044979568993886
bosmina,0.00016481149260613487,0.00048421165440153347,0.0006220688754226536,0.00014292221722503863,0.00012745022184710672,0.00014854424486001813,0.0006583400162946739
centric_diatom,0.001423019836939536,0.0019021433921725271,0.0261321352097331,0.011369856099985304,0.0046909158114795315,0.0057141298840829744,0.0008585917325021125
ceratium,0.002662841294100801,0.004403984362998818,0.002871365181922491,0.012587045216080932,0.005863245377033191,0.00430724672700355,0.004496694531458448
chaoborus,2.4914020116362734e-05,4.4121699945041305e-05,3.529844949604403e-05,2.6963557069278953e-05,1.6914397886625216e-05,3.710728280444225e-05,3.243696574103177e-05
chlorophyte,0.16247889395308512,0.04675625080412835,0.14138977309885054,0.08749202067260034,0.03036733694000985,0.07601675411384129,0.10460010706226544
chlorophyte_colonial_dividing,0.23160599146776356,0.08174693927296323,0.04658096240534368,0.0767288241518343,0.049107360075478106,0.07998030872182436,0.033919287659654504
chlorophyte_elongated,0.004951112184636806,0.005646575282697514,0.002136238770320317,0.0019233623967368535,0.000752760876491249,0.011881871760796586,0.0014027484979269157
chlorophyte_frame,0.006488661104204852,0.0008636217041571691,0.0006127194135367588,0.0007117853121627609,0.000645269844767813,0.0037693558324351758,0.00022877133491738778
chlorophyte_square,0.02736998922935924,0.009961282061058794,0.009192810795454018,0.014950405741475619,0.006722515372286415,0.004513999275790582,0.006369043824452562
chroococcales,0.027904183687657604,0.00960582717302765,0.006185383642723133,0.03947556677789896,0.012895111641683476,0.000947502151084595,0.002878891909373197
chydorus,5.6071971682897385e-05,0.0001139044170094869,3.819462987263114e-05,6.728057418205914e-05,9.886550742500158e-06,2.326242981682406e-05,0.0002799569990859517
ciliate,0.00010058152723712522,0.00038984331674421323,0.00037611640026286285,0.00010873995113754015,5.812471661938041e-05,0.00015565555264007112,0.00017391057312551457
ciliate_big,3.4123165680309746e-06,9.825144503883575e-06,4.1977984154106845e-06,5.22645754358392e-06,5.634533133435252e-06,6.318185831411746e-06,1.661647283322255e-05
ciliate_blue,0.005710180201113667,0.009769217829045482,0.005131321394214097,0.004382612581593164,0.002731870614695853,0.0075187959570478516,0.0065087288554272135
ciliate_green,0.0016987032880666037,0.006930641081513566,0.0007900893846949363,0.0006256967402407438,0.0014959452853058166,0.0037978295398930326,0.0009306141026810072
ciliate_round,9.338478289762676e-05,9.21636446582083e-05,0.00073317204788758,0.0005741152692874162,5.98700696525411e-05,0.00030133468482063493,0.0002479688241892364
closterium,0.0020036704388051376,0.017750348902618816,0.0065707083941517735,0.014144561899053663,0.003291347836570721,0.002356937456104845,0.007781043061125809
coelastrum_reticulatum,0.00024474773171054385,0.002918097454669253,0.00020651813412467078,0.011685870989053514,9.066061336861839e-05,5.089901449720842e-05,0.0014647249017460898
coelosphaerium,0.006031027072869141,0.0001189201137620875,0.0001812584955453795,0.014340171265039685,0.0019346995159175802,0.0014534457840258699,0.0007829998761179807
coleps,5.150495282666572e-05,0.00025754420730606507,4.0209635306306004e-05,0.00011570324722750031,2.2336927476409453e-05,1.9444743852172518e-05,9.995480733841528e-05
collotheca,0.0018301357769913945,0.00107911583625451,0.00020694361008458657,0.0010920364785256783,0.00028852157690785224,0.001649593399798732,0.0004081167265869049
conochilus,0.00010581070374902147,0.006633344281887691,0.0015052887888913416,0.0002462634813162297,0.0005471020962942417,0.0005401434384230528,0.0013642134423238574
cosmarium,0.003740167884184977,0.00614507337515026,0.003413419580242029,0.004757606655814895,0.0017120645447211856,0.003436715891227179,0.003064569238492878
cryptophyte,0.12162824193569916,0.13482942146154234,0.2996236369441508,0.09213754695275844,0.053863786078537174,0.19438160074541033,0.2246708621798544
cyanobacteria_colonial_blue,0.025506579598793457,0.02508024078085563,0.0025843986649309305,0.004932134538247648,0.009887835839390636,0.026391325365398347,0.03679343236543899
cyanobacteria_colonial_clathrate,0.00029087663135546256,0.00032173292502437755,3.656691836319126e-05,0.0005398697966017522,0.0002394430418395015,0.0010874636471036676,0.00011305962363047623
cyanobacteria_colonial_probably,0.05825522209567107,0.021903554437217348,0.0032178228273575344,0.08662534755001224,0.01721141478200601,0.0026773350071072526,0.011392280223867525
cyanobacteria_filamentous,0.00023899406867465103,0.00434707017084788,8.851775666206243e-05,0.024800130958201386,0.0001477108846428863,0.006104470851499798,0.00157964983060427
cyclops,0.011386048187801819,0.036835622780198835,0.01907345819045315,0.011866304091980013,0.00814580801063273,0.025084188869792984,0.022307072026889082
daphnia,0.004245024837059347,0.02155107761890753,0.0034677868748271665,0.005552193055401344,0.007459953341141873,0.009220662912951006,0.01784273814667603
