,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.004241816118474157,0.006942905483700302,0.0007050698787102812,0.003037954445499322,0.001057120687608785,0.0010632275980979617,0.0007225063868641611
askenasia,0.00038168266194492714,0.001090244089007595,0.0007947118251251153,0.0005422983735609327,0.0005871765468336736,0.00016765150906154945,0.0008220902860528088
asplanchna,0.0028662945800858918,0.0031320540299507598,0.0015632520496487786,0.003683782432334253,0.006112665978496409,0.00046483988452655073,0.001259328794835787
asterionella,0.0344663523752815,0.08878549324223732,0.004575583768877956,0.0005298779439144254,0.0007167414242339818,0.0019974724039703894,0.005542587634333892
aulacoseira,0.15287637581757096,0.04813338472178165,0.00224643677766373,0.028399464740861437,0.021030641927314592,0.6926726753353072,0.11581740306128434
bosmina,0.0002841408726792026,6.656068978009036e-05,0.00013786284722101173,0.0002941227221389316,0.0010176232796901038,0.00022006062152734774,0.0010077131595533587
centric_diatom,0.041955629539092536,0.00937455935428214,0.0027761208189054547,0.0335398608258061,0.01676564749470988,0.005563555693172065,0.3062293466229664
ceratium,0.008460194644707075,0.007531029335109764,0.0049789256468720415,0.002379334824593716,0.0008642903858557496,0.0010193976475353819,0.002272791290440364
chaoborus,4.95858582385618e-05,3.0381255963393235e-05,2.524392262262993e-05,6.784574389362606e-05,1.6940247839967123e-05,8.896875323161514e-06,3.44600808212321e-05
chlorophyte,0.06569284424521353,0.06465101034775966,0.08301039638189305,0.06014382179463096,0.05935032513804183,0.038608269795197825,0.038872865932307
chlorophyte_colonial_dividing,0.03917670508052931,0.06491308488618498,0.11643154312108217,0.05543682226859581,0.019938554859504597,0.01422615879343347,0.010710534335420489
chlorophyte_elongated,0.011165314713314597,0.004603212183446944,0.003746519050690287,0.010859781367850348,0.007933514915413832,0.0009891157986453283,0.004556305860707974
chlorophyte_frame,0.0019210040261583954,0.0013758640233824913,0.0031323373486678856,0.0009327431409199458,0.0006910753065969481,0.00019293190706487476,0.0002886007640071862
chlorophyte_square,0.008098252862597523,0.0050506757772072475,0.015030200572117618,0.007965456104984638,0.002521204429273152,0.0023808727598375653,0.0020296988482004577
chroococcales,0.016160111229704174,0.0026882599474256103,0.028641652582715102,0.004578749506525983,0.0004595556666239435,0.0013165792191667924,0.0004405209884519432
chydorus,0.00013686946695711736,3.493863022036196e-05,1.511910845279436e-05,0.0003649346858892492,3.688958503349403e-05,0.00010647449540960206,6.935426944736366e-05
ciliate,0.0002343917664917638,7.431462505439467e-05,0.00010606992939552028,0.00038399217316681855,0.0005781125285943428,4.192087424268389e-05,0.0007694467686249084
ciliate_big,2.298424725148426e-05,6.196812295296149e-06,3.4901343976679215e-06,2.204945278702527e-05,5.804796237826457e-06,6.761007815035953e-06,2.1511007602244227e-05
ciliate_blue,0.010260911916121905,0.004737635536366466,0.004753851176198287,0.01603504889767817,0.006339954952430402,0.001797474475262159,0.009300071468264864
ciliate_green,0.0015597678409262012,0.002858653180882559,0.0015057801792399434,0.0009524540171251571,0.0014741700877354284,0.00018785200251766833,0.0006384877800214967
ciliate_round,0.0003005067767841956,0.0001772648158135965,0.00011795272756196071,0.0010808037710936251,0.0007695805518210646,0.000246769104898341,0.001243158597555774
