pattern,frequency,fraction,count_rank
100101,305,0.16002098635886675,1
110110,199,0.1044071353620147,2
110101,194,0.10178384050367262,3
101011,189,0.09916054564533054,4
110100,159,0.08342077649527807,5
110000,95,0.049842602308499476,6
111101,95,0.049842602308499476,7
010110,82,0.04302203567681007,8
011000,77,0.040398740818468,9
010000,64,0.033578174186778595,10
110010,61,0.032004197271773345,11
100001,56,0.02938090241343127,12
111000,50,0.026232948583420776,13
100010,47,0.02465897166841553,14
100100,46,0.024134312696747113,15
111011,28,0.014690451206715634,16
101101,26,0.013641133263378805,17
111001,24,0.012591815320041973,18
101100,22,0.011542497376705142,19
110001,18,0.00944386149003148,20
101010,15,0.007869884575026232,21
110011,15,0.007869884575026232,22
010010,10,0.005246589716684155,23
101111,5,0.0026232948583420775,24
111111,5,0.0026232948583420775,25
111100,4,0.002098635886673662,26
011010,3,0.0015739769150052466,27
111010,3,0.0015739769150052466,28
101000,2,0.001049317943336831,29
101110,2,0.001049317943336831,30
110111,2,0.001049317943336831,31
100000,1,0.0005246589716684155,32
100011,1,0.0005246589716684155,33
100110,1,0.0005246589716684155,34
