,h0,h1,h2,h3,h4,h5
aphanizomenon,0.17457536144187155,0.022674055180134624,0.15119070022251693,0.0216953970691196,0.04960669345659667,0.006750326429375653
askenasia,0.018665590812381495,0.06153769478394912,0.016505702941258426,0.015548874229788304,0.032458631302580365,0.012114645202870679
asplanchna,0.019897123784444515,0.05307225038315843,0.009630837661971358,0.013596115199768092,0.04661116810180782,0.03042355079361572
asterionella,3.8945607078081013,1.1004920139672005,0.6643284611364616,0.2907868825953985,11.170565244384171,0.46959858767702295
aulacoseira,1.0167055914114183,0.04425623079371193,2.1288671036527047,0.06039907248425321,1.944132578850478,1.1085457706510542
bosmina,0.005520109899216122,0.022916814278576888,0.025659705608987962,0.007734580809886302,0.013424215820864558,0.037928561180709426
centric_diatom,1.0874420994008103,0.6805317838480726,0.13635593732376894,0.24020809877624516,1.3038336408306805,14.147546672327021
ceratium,0.254918898357061,0.2497849356023169,0.19412335832471897,0.09966735536994753,0.4975114007886168,0.07095416334382833
chaoborus,0.000644393814579713,0.001285537804139869,0.0004214838688527029,0.0008887004427403414,0.0011033596551888647,0.0004962652987047936
chlorophyte,1.4886719275479665,13.041410506219536,2.5268860670535016,0.9317164467414253,2.991729177773691,1.1807075217012473
chlorophyte_colonial_dividing,3.0357405823305394,15.346971666834424,1.9606585621804324,1.6514075447049332,3.2282570644075252,0.6067222958163477
chlorophyte_elongated,0.1695390337594775,0.237804106463752,0.07936472135969735,0.04581080659563681,0.04528619824778648,0.04914776696366013
chlorophyte_frame,0.11779033935432356,0.30701626297296397,0.015448851523041148,0.0111940622494622,0.04881335404709106,0.011170319820479746
chlorophyte_square,0.4350474768559598,3.197773349146382,0.46919878418955446,0.4039658779423932,0.8170397439531157,0.21373413860418988
chroococcales,0.2735319378724541,7.9469398276510566,0.18640344856250668,0.4999327695287077,1.7705637035470156,0.17537246825527952
chydorus,0.000933349171503797,0.0062177573726032165,0.025523579425413615,0.001125132573327979,0.0030595889233332135,0.002615616756120262
ciliate,0.004067471633420777,0.007617554406520624,0.004106769246300121,0.004215305032449424,0.00288782732858953,0.009497059726473385
ciliate_big,0.00027334699156697365,0.0003126190320416394,0.0005043199461906883,0.00038396446402440336,0.001052882369406804,0.0008548509593659328
ciliate_blue,0.24490069499750916,0.36723788150469583,0.24556211802701117,0.11454321977087306,0.24398372904173393,0.15155947864695182
ciliate_green,0.020506710725183917,0.0790471392521528,0.005782995593613492,0.015562061121293137,0.022444736058459553,0.009901011212695704
ciliate_round,0.015329528756334056,0.02597280117601295,0.01112308504385138,0.005037890137307226,0.011511948948245651,0.040244980732206406
closterium,0.3730228764949841,0.22380955145421463,0.6216965647713144,0.462477776973481,0.2967991162824881,0.1953386927044096
coelastrum_reticulatum,0.29851209511617804,0.11629553335259844,0.2780236945844357,0.1640108948760989,0.046098653810462756,0.019054947947960053
coelosphaerium,0.11910163755731712,1.3909630478609412,0.07178885408468272,0.1151882640639689,0.18072694383533328,0.0045733350743714304
coleps,0.00237433730973415,0.004499176509568019,0.007121850344187589,0.0031300037836632113,0.002084056910703333,0.0010896154877838905
collotheca,0.06845949575456253,0.08669457247093967,0.01543932302067937,0.008562861118406016,0.030173792381142633,0.002878551223727355
conochilus,0.002742801110858632,0.013624539980883013,0.0025743252977968654,0.011885570850797098,0.009641227694158917,0.024416997345793126
cosmarium,0.18437850417120094,0.2533455630812826,0.08341440080014632,0.07142886457902911,0.1370558467727551,0.03146328559854916
cryptophyte,2.1349473472213742,6.676442725070288,3.4870050859625077,1.1707336720211794,2.469867543000302,2.203610424832257
cyanobacteria_colonial_blue,0.5783871723379549,1.3924009153428378,3.060835438811009,0.5837371530116243,1.0269517458460053,0.0613919005586809
cyanobacteria_colonial_clathrate,0.07503526920172816,0.013151074665830308,0.017806572248943445,0.012088674982140654,0.0356372624554807,0.0013363100584811796
cyanobacteria_colonial_probably,1.5890683143140627,13.946824527107427,6.587122501502843,3.9013067257807976,6.088072052808408,0.5769792755325297
cyanobacteria_filamentous,0.9082511682705444,0.03867444964999545,0.7769615639771169,0.12855351278890506,0.17561716877639716,0.01975992846375191
cyclops,0.30405567398244104,0.5503808190126614,0.36244531527712615,0.2560217106871313,0.2976578729914801,0.15770037838623827
daphnia,0.2785749528654104,0.3126551281781384,0.681085184674103,0.23193959227181565,0.7133975357989353,0.23881914996386108
daphnia_cucullata,0.003163820356552428,0.029245200005461672,0.09059372879369788,0.009419693808103853,0.029267430123169857,0.004805655656294403
diaphanosoma,0.008106717139600685,0.17007774315532573,0.03137724482560732,0.01841021468923754,0.017006678965240735,0.0013813254219188188
didinium,0.006544221953034138,0.014226623324856486,0.005122575295066539,0.0034532150592084102,0.007987793998398387,0.005194172913731785
dinobryon,0.2424615426322443,1.1207022499933812,0.14420774138706635,0.690080142347121,5.520381551356147,0.01828141780830416
dinoflagellate_diamond,0.003836770891425294,0.03823533577714126,0.02188092474305924,0.0031717842222254147,0.002847561223132021,1.0889730747154576
dolichospermum,0.16968401602175215,0.022646733936514785,0.09700510629563504,0.04562825688502973,0.09496319074875617,0.003248190609685111
eudiaptomus,0.18972890800017397,0.25878855221333896,0.19007649996997444,0.19742704750272355,0.2398689997441135,0.260969151973068
fragilaria,6.60587549998562,0.39733262584196816,0.5336640829552152,0.2733153139316651,10.676005206399449,0.07013422722403412
