date,pattern
2019-03-26,00101010
2019-03-27,00001010
2019-03-28,00101010
2019-03-29,00101010
2019-03-30,00001010
2019-03-31,00001010
2019-04-01,00001010
2019-04-02,00001010
2019-04-04,00101010
2019-04-05,00001010
2019-04-06,00001010
2019-04-07,00101010
2019-04-10,00001010
2019-04-11,00001010
2019-04-12,00101010
2019-04-13,10101010
2019-04-14,10101010
2019-04-15,10101010
2019-04-16,10001010
2019-04-17,10001010
2019-04-18,10101010
2019-04-19,10101010
2019-04-20,10101010
2019-04-21,10101010
2019-04-22,10101010
2019-04-23,10101010
2019-04-24,10101011
2019-04-25,10101010
2019-04-26,10101010
2019-04-27,10101010
2019-04-28,10101010
2019-04-29,10101010
2019-04-30,10101010
2019-05-02,10101010
2019-05-05,10101011
2019-05-06,10101010
2019-05-07,10101010
2019-05-08,10101010
2019-05-09,10101010
2019-05-10,10101010
2019-05-11,10101010
2019-05-12,10101010
2019-05-13,10101010
2019-05-15,10101010
2019-05-16,10101010
2019-05-17,10101010
2019-05-18,10101010
2019-05-19,10101010
2019-05-20,10101010
2019-05-21,10101010
2019-05-22,10100010
2019-05-23,10100010
2019-05-24,10100000
2019-05-25,10100000
2019-05-26,00100000
2019-05-27,00100000
2019-05-28,00100000
2019-05-29,00100101
2019-05-30,01100111
2019-05-31,01000111
2019-06-01,01000111
2019-06-02,01000111
2019-06-03,01000111
2019-06-04,00000101
2019-06-05,10000101
2019-06-06,10000101
2019-06-07,10000101
2019-06-08,10000101
2019-06-09,10000101
2019-06-10,10000101
2019-06-12,10000101
2019-06-13,10001101
2019-06-14,10001101
2019-06-15,10000101
2019-06-16,10001101
2019-06-17,10001101
2019-06-19,10000101
2019-06-21,10000101
2019-06-25,10001101
2019-06-26,11001101
2019-06-27,10001101
2019-06-28,10001101
2019-06-29,10101101
2019-06-30,10101001
2019-07-01,10101001
2019-07-02,00101001
2019-07-03,10101001
2019-07-04,00101001
2019-07-05,00101001
2019-07-06,00101001
2019-07-07,00101001
2019-07-08,00101001
2019-07-11,00101001
2019-07-13,10101001
2019-07-14,10101001
2019-07-15,10101001
2019-07-16,10101001
2019-07-17,10101001
2019-07-18,10001101
2019-07-24,10000101
2019-07-28,10001101
2019-07-29,10001101
2019-08-14,10000101
2019-08-15,10000101
2019-08-16,10000101
2019-08-17,10000101
2019-08-18,10000101
2019-08-19,10000101
2019-08-20,10000101
2019-08-21,10000101
2019-08-22,10000101
2019-08-23,10000101
2019-08-24,10000101
2019-08-27,11000101
2019-08-28,11000001
2019-08-29,11000101
2019-08-30,01000001
2019-08-31,01000001
2019-09-01,01000001
2019-09-02,01000001
2019-09-03,01000001
2019-09-04,01000001
2019-09-05,01000001
2019-09-06,01000001
2019-09-07,01000001
2019-09-08,01000001
2019-09-09,01000001
2019-09-10,01000001
2019-09-11,01000001
2019-09-12,01000001
2019-09-13,01000001
2019-09-14,01000001
2019-09-15,01000001
2019-09-16,01000001
2019-09-17,01000001
2019-09-18,01000001
2019-09-19,01000001
2019-09-20,01000001
2019-09-21,01000001
2019-09-22,01000001
2019-09-23,01000001
2019-09-24,01000001
2019-09-25,01000001
2019-09-26,01000001
2019-09-27,01000001
2019-09-28,01000001
2019-09-29,01000001
2019-09-30,01000001
2019-10-01,01000001
2019-10-02,01000001
2019-10-03,01000001
2019-10-04,01000001
2019-10-05,11000001
2019-10-06,11000001
2019-10-07,11000001
2019-10-08,10000001
2019-10-09,10000001
2019-10-10,10000001
2019-10-11,10000001
2019-10-12,10000001
2019-10-13,10000001
2019-10-14,10000001
2019-10-15,10000001
2019-10-16,10000001
2019-10-17,10000001
2019-10-18,10000001
2019-10-19,10000001
2019-10-20,10100001
2019-10-21,10100001
2019-10-22,10100001
2019-10-23,10100001
2019-10-24,10100001
2019-10-25,10100011
2019-10-26,10100011
2019-10-27,10100011
2019-10-28,10100011
2019-10-29,10100011
2019-10-30,10100011
2019-10-31,10100011
2019-11-01,10100011
2019-11-02,10100011
2019-11-03,10100011
2019-11-04,10100011
2019-11-05,10100011
2019-11-06,10100011
2019-11-07,10100011
2019-11-08,10100011
2019-11-09,10100011
2019-11-10,10100011
2019-11-11,10100011
2019-11-12,10100011
2019-11-13,10100011
2019-11-14,10100011
2019-11-15,10100011
2019-11-16,10100011
2019-11-17,10101011
2019-11-18,10100011
2019-11-19,10100011
2019-11-20,10100011
2019-11-21,10101011
2019-11-22,10100011
2019-11-23,10100011
2019-11-24,10101011
2019-11-25,10101011
2019-11-26,10101010
2019-11-27,10101011
2019-11-28,10101010
2019-11-29,10101011
2019-11-30,10101010
2019-12-01,10101011
2019-12-03,10111011
2019-12-04,10111011
2019-12-05,10101011
2019-12-06,10101011
2019-12-07,10101011
2019-12-09,10111011
2019-12-10,10111011
2019-12-11,10111011
2019-12-12,10111011
2019-12-13,10111011
2019-12-14,10111011
2019-12-15,10111011
2019-12-16,10111011
2019-12-17,10111011
2019-12-18,10111011
2019-12-20,10111011
2019-12-21,10111011
2019-12-22,10111011
2019-12-23,10111011
2019-12-24,10111011
2019-12-25,10111011
2019-12-26,10111011
2019-12-28,10111011
2019-12-29,10111011
2019-12-30,10111011
2019-12-31,10111011
2020-01-02,10111011
2020-01-03,10111011
2020-01-04,10111011
2020-01-05,10110011
2020-01-06,10111011
2020-01-22,10111011
2020-01-23,10110011
2020-01-24,10110011
2020-01-25,10110011
2020-01-26,10111010
2020-01-27,10101010
2020-01-28,10110010
2020-01-29,10110011
2020-01-30,10110010
2020-01-31,10100010
2020-02-01,10100010
2020-02-02,10110010
2020-02-03,10110010
2020-02-04,10110010
2020-02-05,10110010
2020-02-06,10110010
2020-02-07,10110010
2020-02-08,10110010
2020-02-09,10110010
2020-02-10,10110010
2020-02-11,10110010
2020-02-12,10110010
2020-02-13,10110010
2020-02-14,10110010
2020-02-15,10110010
2020-02-16,10110010
2020-02-17,10110010
2020-02-18,10110010
2020-02-19,10110010
2020-02-20,10110010
2020-02-21,10110110
2020-02-22,10110110
2020-02-23,10110110
2020-02-24,10110110
2020-02-25,10110110
2020-02-26,00110110
2020-02-27,00110110
2020-02-28,00110110
2020-02-29,00110110
2020-03-01,00110110
2020-03-02,00110110
2020-03-03,00110110
2020-03-04,00110110
2020-03-05,00110110
2020-03-06,00110110
2020-03-07,00110110
2020-03-08,00110110
2020-03-09,10110110
2020-03-10,10110110
2020-03-11,10110110
2020-03-12,10110010
2020-03-13,10110010
2020-03-14,10100010
2020-03-15,10101010
2020-03-16,10101010
2020-03-17,10101010
2020-03-18,10101010
2020-03-19,10101010
2020-03-20,10101010
2020-03-21,10101010
2020-03-22,10110010
2020-03-23,10101010
2020-03-24,10111010
2020-03-25,10101010
2020-03-26,10101010
2020-03-27,10101010
2020-03-28,10001010
2020-03-29,10001010
2020-03-30,10101010
2020-03-31,10101010
2020-04-01,10101010
2020-04-02,10001010
2020-04-03,10101010
