,h0,h1,h2,h3,h4,h5,h6,h7
aphanizomenon,0.0001064424246054878,0.00012158025740482423,0.00017882425047582685,5.7332354877198766e-05,0.0003355408119354361,0.0004060863891416435,0.0003237228403215019,0.00031787669812112957
askenasia,0.0010788201167767006,0.0005920657044522876,0.0011218063457063,0.0006022491834683212,0.0007887175660950723,0.0011703120210110826,0.00039967285303397837,0.0007026550790571221
asplanchna,0.002620210723698797,0.000432832503219473,0.001029917717938737,0.00040690641892819374,0.001007393728049368,0.003226642866927248,0.0018896141313144038,0.00044454576192749036
asterionella,0.0001261261598368343,0.0023820696886397096,0.0008402153714827907,0.00028544202626878376,0.00017424409532051943,0.005664771090067347,0.0038088443787271885,0.006237679480921956
aulacoseira,0.0008439643054738169,0.0007242652057624995,0.0018436695573829079,0.056886277785156356,0.007478787582213562,0.013333217067633105,0.04561629840289005,0.010791451621739612
bosmina,0.00047130496855686245,0.0004969643362451434,0.00023365107515542252,0.0007756714152228697,0.00040179202514573103,0.00026564017581543755,0.0009112503339155892,0.00015982778123190713
centric_diatom,0.005941848052143654,0.0041475426380748765,0.023352497618498332,0.0375142197984316,0.0019814270794835656,0.0171392569808539,0.015991793303967418,0.0017576884756262668
ceratium,0.003170462072189475,0.001719548465881418,0.0012018492480193271,0.0031078039058472814,0.001689017819316994,0.004446467587205997,0.0012434744962157326,0.004382304085195326
chaoborus,2.6831637320097332e-05,1.4067067853286735e-05,2.3335881451852103e-05,2.2224492804179306e-05,2.8350326730902887e-05,2.2215597512021994e-05,1.235269005894907e-05,2.8589440222808012e-05
chlorophyte,0.10743150391589092,0.18108339249153926,0.1839577394520948,0.08378028860007705,0.10955926781852206,0.15258731927769612,0.07977864881291462,0.11611291690569436
chlorophyte_colonial_dividing,0.04210978786949369,0.07383908093153603,0.09678679852024961,0.024506426965216505,0.057343600124337264,0.045273001716620326,0.01245690972463975,0.10915876360439872
chlorophyte_elongated,0.0029488284559177477,0.0018892337365117998,0.009122342776979923,0.0014756448588910513,0.003196744804067868,0.004287428736917891,0.003589656601575686,0.0032895720640326986
chlorophyte_frame,0.0003662493002560352,0.0009662769747321008,0.002871974421262497,0.00018380055977444926,0.001080925795891243,0.0010114185159328856,0.0001903192728442131,0.0017342825975521844
chlorophyte_square,0.0061049051740057,0.013545120700336987,0.008791129304077758,0.003907490641383947,0.007349810232517748,0.004950880293487198,0.0021016783492019213,0.015238363198798106
chroococcales,0.002849396912856786,0.00957424851244355,0.002163633255397085,0.0011988157046199884,0.0008533803794409245,0.0014698177134015208,0.0004549948723923802,0.026401288350757675
chydorus,9.70544440801517e-05,0.00031253099531330545,0.00024607839820414755,0.00016643886402733268,3.890457064500392e-05,0.00012637991114180746,0.00021096403472502896,7.269077033596906e-05
ciliate,0.00027359113339316306,0.00010049286654214673,0.00019213170352180018,0.00016393780339390586,0.00012472034858696264,9.411378629592842e-05,0.00029261263804122677,0.00010186184964572755
ciliate_big,5.153819395628183e-06,8.416408713609696e-06,5.129018004985851e-06,1.6485823444634106e-05,2.911352442521788e-06,7.2830995394988625e-06,5.257121302423586e-06,7.588523855595863e-06
ciliate_blue,0.006648104699923484,0.003908300190865386,0.008937945634339554,0.011824074260492182,0.0071096993321487075,0.004546095994593459,0.005194979454227353,0.008366851718820987
ciliate_green,0.0008250463077487993,0.0004188936571468223,0.0007127006718321731,0.00013130955594338074,0.0005654485631407335,0.0009002580421414589,0.00028383172467230156,0.0005390900898100328
ciliate_round,0.0002073015200329592,0.00021454917558809107,0.0005903776826595536,0.00036983182267420506,0.0001600254283467553,0.00038511070471584214,0.0011810128732799145,0.00018786756514724257
closterium,0.0035347366579821216,0.0023715668669961405,0.005089247485834998,0.011826993424682498,0.0014236602512521525,0.002703830881461716,0.002976836592561525,0.005573095908688957
coelastrum_reticulatum,0.00041072172068935104,0.00020265296316870327,0.0001005408799170345,0.0001981134525099857,6.662377010179566e-05,3.059731850710516e-05,0.00042246102826189717,0.004548220432753261
coelosphaerium,0.000547030679839943,0.0015161950671126131,0.0009917822165582252,6.869638338497499e-05,0.000514266239331632,0.0003882438695293033,0.00010492379090689243,0.008888624904876973
