date,pattern
2019-03-26,0100000
2019-03-27,0100000
2019-03-28,0100000
2019-03-29,0100000
2019-03-30,0100000
2019-03-31,0100000
2019-04-01,0100000
2019-04-02,0100000
2019-04-04,0100000
2019-04-05,0100000
2019-04-06,0100000
2019-04-07,0100000
2019-04-10,0100000
2019-04-11,0100000
2019-04-12,0100000
2019-04-13,0100100
2019-04-14,0100100
2019-04-15,0100100
2019-04-16,0100100
2019-04-17,0100100
2019-04-18,0100100
2019-04-19,0101100
2019-04-20,0101100
2019-04-21,0101100
2019-04-22,0101100
2019-04-23,0101100
2019-04-24,0101100
2019-04-25,0101100
2019-04-26,0101100
2019-04-27,0101100
2019-04-28,0101100
2019-04-29,0101100
2019-04-30,0101100
2019-05-02,0101100
2019-05-05,0101100
2019-05-06,0101100
2019-05-07,0101100
2019-05-08,0101100
2019-05-09,0101100
2019-05-10,0101100
2019-05-11,0101100
2019-05-12,0101100
2019-05-13,0101100
2019-05-15,0101100
2019-05-16,0101100
2019-05-17,0100100
2019-05-18,0100100
2019-05-19,0101100
2019-05-20,0100100
2019-05-21,0100100
2019-05-22,0100100
2019-05-23,0100100
2019-05-24,0100100
2019-05-25,1100100
2019-05-26,1100000
2019-05-27,1100000
2019-05-28,1000000
2019-05-29,1000000
2019-05-30,1000010
2019-05-31,1000010
2019-06-01,1000010
2019-06-02,1000010
2019-06-03,1000010
2019-06-04,1001010
2019-06-05,0001010
2019-06-06,0011000
2019-06-07,0011000
2019-06-08,0011000
2019-06-09,0011000
2019-06-10,0011000
2019-06-12,0011000
2019-06-13,1011000
2019-06-14,0011000
2019-06-15,0011000
2019-06-16,0011000
2019-06-17,0011000
2019-06-19,0011010
2019-06-21,0011010
2019-06-25,0011010
2019-06-26,0011110
2019-06-27,0010110
2019-06-28,0010100
2019-06-29,1010100
2019-06-30,1010100
2019-07-01,1010100
2019-07-02,1010000
2019-07-03,1010100
2019-07-04,1010000
2019-07-05,1010000
2019-07-06,1010000
2019-07-07,1010000
2019-07-08,1010000
2019-07-11,1010100
2019-07-13,1010100
2019-07-14,1010100
2019-07-15,1010100
2019-07-16,1011100
2019-07-17,0011100
2019-07-18,0011100
2019-07-24,0011010
2019-07-28,0011100
2019-07-29,0011100
2019-08-14,0011000
2019-08-15,0011010
2019-08-16,0011010
2019-08-17,0011010
2019-08-18,0011010
2019-08-19,0011010
2019-08-20,0011010
2019-08-21,0011010
2019-08-22,0011010
2019-08-23,0011010
2019-08-24,0011010
2019-08-27,0010010
2019-08-28,1010010
2019-08-29,0011010
2019-08-30,1010010
2019-08-31,1010010
2019-09-01,1010010
2019-09-02,1010010
2019-09-03,1010010
2019-09-04,1010010
2019-09-05,1010010
2019-09-06,1010110
2019-09-07,1010110
2019-09-08,1010110
2019-09-09,1010110
2019-09-10,1010110
2019-09-11,1010110
2019-09-12,1010110
2019-09-13,1010110
2019-09-14,1010110
2019-09-15,1010110
2019-09-16,1010110
2019-09-17,1010110
2019-09-18,1010110
2019-09-19,1010110
2019-09-20,1010110
2019-09-21,1010110
2019-09-22,1010110
2019-09-23,1010110
2019-09-24,1010110
2019-09-25,1010110
2019-09-26,1010110
2019-09-27,1010110
2019-09-28,1011110
2019-09-29,1011110
2019-09-30,1011110
2019-10-01,1011110
2019-10-02,1011110
2019-10-03,1011110
2019-10-04,1011110
2019-10-05,1011110
2019-10-06,1011110
2019-10-07,1011110
2019-10-08,1011100
2019-10-09,1011100
2019-10-10,1011100
2019-10-11,1011100
2019-10-12,1011100
2019-10-13,1011100
2019-10-14,1011100
2019-10-15,1011100
2019-10-16,1011100
2019-10-17,1011100
2019-10-18,1011100
2019-10-19,1011100
2019-10-20,1011100
2019-10-21,1011100
2019-10-22,1011100
2019-10-23,1011100
2019-10-24,1011100
2019-10-25,1111100
2019-10-26,1111100
2019-10-27,1001100
2019-10-28,1011100
2019-10-29,1011100
2019-10-30,1001100
2019-10-31,1111100
2019-11-01,1101100
2019-11-02,1101100
2019-11-03,1101100
2019-11-04,1101100
2019-11-05,1101100
2019-11-06,1101100
2019-11-07,1101100
2019-11-08,1101100
2019-11-09,1101100
2019-11-10,1101100
2019-11-11,1101100
2019-11-12,1101100
2019-11-13,1101100
2019-11-14,1101100
2019-11-15,1101100
2019-11-16,1101100
2019-11-17,1101100
2019-11-18,1101100
2019-11-19,1101100
2019-11-20,1101100
2019-11-21,1101100
2019-11-22,1101100
2019-11-23,1101100
2019-11-24,1101100
2019-11-25,0101100
2019-11-26,0101100
2019-11-27,0101100
2019-11-28,0101100
2019-11-29,0101100
2019-11-30,0101100
2019-12-01,0101100
2019-12-03,0101100
2019-12-04,0101100
2019-12-05,0101100
2019-12-06,0101100
2019-12-07,0101100
2019-12-09,0101100
2019-12-10,0101100
2019-12-11,0101101
2019-12-12,0101101
2019-12-13,0101101
2019-12-14,0101101
2019-12-15,0101101
2019-12-16,0101101
2019-12-17,0101101
2019-12-18,0101101
2019-12-20,0101101
2019-12-21,0101101
2019-12-22,0101101
2019-12-23,0101101
2019-12-24,0101101
2019-12-25,1101101
2019-12-26,0101101
2019-12-28,0101101
2019-12-29,1101101
2019-12-30,1101101
2019-12-31,1101101
2020-01-02,1101101
2020-01-03,1101101
2020-01-04,1101101
2020-01-05,1101101
2020-01-06,1101101
2020-01-22,0101101
2020-01-23,0101101
2020-01-24,0101101
2020-01-25,0101101
2020-01-26,0101100
2020-01-27,0101100
2020-01-28,0101101
2020-01-29,0101101
2020-01-30,0101101
2020-01-31,0101100
2020-02-01,0101100
2020-02-02,0101101
2020-02-03,0101101
2020-02-04,0101101
2020-02-05,0101101
2020-02-06,0101101
2020-02-07,0101101
2020-02-08,0101100
2020-02-09,0101100
2020-02-10,0101101
2020-02-11,0101101
2020-02-12,0101101
2020-02-13,0101101
2020-02-14,0101101
