,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0006772658052371244,0.0006393229902591972,0.000882531315049171,0.008339876428113308,0.0010098005595072135,0.002389249799721541,0.001254960217983873
askenasia,0.001042438872777388,0.0005432709406583171,0.0009099437462615763,0.0006744160391606761,0.0004694031610768207,0.0008629688193461416,5.791641367001128e-05
asplanchna,0.002452540633263423,0.0003603595899013513,0.0021881339846876137,0.001248191904547351,0.006285024807117927,0.0013569776091406412,0.0004252961249910667
asterionella,0.004805766737705643,0.00853370843820895,0.020952827952614293,0.00406555727717083,0.001995045803266818,0.013733004114933218,0.0017051032167765703
aulacoseira,0.08528206959227096,0.0033034480877337066,0.0048398913347076095,0.03731579600288399,0.025695103149640786,0.007570330576100725,0.872068718185108
bosmina,0.0011923591092549734,0.0003782435575218084,0.00011891400570772901,0.00016419296666863998,0.0009522044662603895,3.237471166398444e-05,0.000179175028764612
centric_diatom,0.25050917614265006,0.0022025669794139206,0.004385239238775611,0.019111330428637604,0.03041394219668607,0.002153652730493816,0.0034705843646795423
ceratium,0.0019685549566961654,0.0030988269925444883,0.005722115185166905,0.0030006707125884353,0.0006649133134488779,0.003087592506800272,0.0009738071490698139
chaoborus,4.219931877320373e-05,1.585711016935279e-05,3.0037643304366202e-05,4.927688567507584e-05,1.387056414451013e-05,2.9151909233235993e-05,6.05634423316701e-06
chlorophyte,0.0389042917007971,0.1352641196965503,0.07522261577998549,0.08621997306658158,0.0757790964615829,0.08411246494186689,0.00651363450656159
chlorophyte_colonial_dividing,0.013723163943238,0.09965350688244969,0.08370462532603888,0.053784508488582496,0.019146221373766266,0.1521187519165623,0.0031337830778752256
chlorophyte_elongated,0.006283728239351176,0.002021327110357375,0.0032463658058368037,0.01195370130686677,0.006593845908691305,0.005979222586736352,0.00045426115287530646
chlorophyte_frame,0.00041306891399224424,0.0011557482589600431,0.0017482485270002611,0.001049070464360533,0.000577358095719627,0.006403814538782027,5.3929603039990656e-05
chlorophyte_square,0.0021721370268324327,0.019595669580765192,0.008763233795350683,0.007524992328785373,0.0026576852370556164,0.02030120644209181,0.0004283580533852014
chroococcales,0.0006078821143290196,0.04705162173481213,0.009399665799516916,0.003113175224640761,0.0006491295000357706,0.025667204481718862,0.00016823738344449982
chydorus,0.00012329783197534246,0.00022230223201604127,2.4291141395020636e-05,0.0002560295700506254,5.066038853274391e-05,2.4357290488743087e-05,2.5636274983647794e-05
ciliate,0.0007575779611558279,8.929272810934643e-05,0.00011702872741435407,0.0003207820272365746,0.0004782620208379483,7.336793534890222e-05,2.3932367273218525e-05
ciliate_big,2.0055932560246497e-05,4.375111300284351e-06,5.098548880396646e-06,1.7231145839309753e-05,5.876578091469519e-06,3.931425135425369e-06,7.261601512148511e-06
ciliate_blue,0.010810043615044987,0.003874956328082141,0.0046233061244887194,0.010604636992185792,0.005735764608009615,0.005767578246440496,0.001277987338930803
