pattern,frequency,fraction,count_rank
1010011,298,0.15634837355718784,1
0100001,213,0.11175236096537251,2
1100110,195,0.10230849947534103,3
0000001,138,0.07240293809024134,4
1010010,90,0.0472193074501574,5
1011010,89,0.04669464847848898,6
0000101,87,0.04564533053515215,7
1011000,84,0.04407135362014691,8
1000011,83,0.04354669464847849,9
0100000,79,0.041448058761804824,10
0100011,77,0.040398740818468,11
1000101,59,0.030954879328436515,12
0000011,46,0.024134312696747113,13
1000000,44,0.023084994753410283,14
1000010,42,0.022035676810073453,15
1000100,40,0.02098635886673662,16
1011011,37,0.019412381951731374,17
1110010,34,0.017838405036726127,18
1000001,28,0.014690451206715634,19
0010010,17,0.008919202518363064,20
0000010,14,0.007345225603357817,21
0010011,14,0.007345225603357817,22
1001011,14,0.007345225603357817,23
0010001,11,0.005771248688352571,24
1010000,10,0.005246589716684155,25
1100100,9,0.00472193074501574,26
0100010,8,0.004197271773347324,27
1001100,8,0.004197271773347324,28
0011011,6,0.0031479538300104933,29
1001010,5,0.0026232948583420775,30
1100000,5,0.0026232948583420775,31
0100110,4,0.002098635886673662,32
0100111,4,0.002098635886673662,33
1010001,4,0.002098635886673662,34
0000000,2,0.001049317943336831,35
0010101,2,0.001049317943336831,36
0011010,2,0.001049317943336831,37
1010101,2,0.001049317943336831,38
1100010,2,0.001049317943336831,39
