date,pattern
2019-03-26,1000101
2019-03-27,1000100
2019-03-28,1000001
2019-03-29,1000001
2019-03-30,1000100
2019-03-31,1000100
2019-04-01,1000100
2019-04-02,1000100
2019-04-04,1000001
2019-04-05,1000101
2019-04-06,1000101
2019-04-07,1000101
2019-04-10,1000101
2019-04-11,1000101
2019-04-12,1000101
2019-04-13,1000101
2019-04-14,1000101
2019-04-15,1000101
2019-04-16,1000101
2019-04-17,1000101
2019-04-18,1000101
2019-04-19,0000101
2019-04-20,0000101
2019-04-21,0000101
2019-04-22,0000101
2019-04-23,0000001
2019-04-24,0000001
2019-04-25,0000001
2019-04-26,0000001
2019-04-27,0000001
2019-04-28,0000101
2019-04-29,0000101
2019-04-30,0000101
2019-05-02,0000001
2019-05-05,0000001
2019-05-06,0000001
2019-05-07,0000001
2019-05-08,0000001
2019-05-09,0000001
2019-05-10,0000001
2019-05-11,0000001
2019-05-12,0000001
2019-05-13,0000001
2019-05-15,0000001
2019-05-16,0000001
2019-05-17,0000001
2019-05-18,0000001
2019-05-19,0000001
2019-05-20,1000001
2019-05-21,0000001
2019-05-22,0000001
2019-05-23,1000001
2019-05-24,1000001
2019-05-25,1000001
2019-05-26,1000000
2019-05-27,1000000
2019-05-28,1010000
2019-05-29,1010010
2019-05-30,0010010
2019-05-31,0010010
2019-06-01,0010010
2019-06-02,0010010
2019-06-03,0010010
2019-06-04,0010010
2019-06-05,1010010
2019-06-06,1010011
2019-06-07,1010011
2019-06-08,1010011
2019-06-09,1010011
2019-06-10,1010011
2019-06-12,1010011
2019-06-13,1010011
2019-06-14,1010011
2019-06-15,1010011
2019-06-16,1010011
2019-06-17,1010011
2019-06-19,1010011
2019-06-21,1010011
2019-06-25,1010011
2019-06-26,1010011
2019-06-27,1010011
2019-06-28,1010011
2019-06-29,1010011
2019-06-30,1010011
2019-07-01,1000011
2019-07-02,1000011
2019-07-03,1000011
2019-07-04,1010011
2019-07-05,1000011
2019-07-06,1000011
2019-07-07,1000011
2019-07-08,1000011
2019-07-11,1000011
2019-07-13,1000011
2019-07-14,1000011
2019-07-15,1000011
2019-07-16,1010011
2019-07-17,1010011
2019-07-18,1010011
2019-07-24,1010011
2019-07-28,1010011
2019-07-29,1010011
2019-08-14,1010011
2019-08-15,1010011
2019-08-16,1010011
2019-08-17,1010011
2019-08-18,1010011
2019-08-19,1010011
2019-08-20,1010011
2019-08-21,1010011
2019-08-22,1010011
2019-08-23,1010011
2019-08-24,1010011
2019-08-27,1011011
2019-08-28,1011011
2019-08-29,1010011
2019-08-30,1011010
2019-08-31,1011010
2019-09-01,1011010
2019-09-02,1011010
2019-09-03,1011010
2019-09-04,1011010
2019-09-05,1011010
2019-09-06,1011010
2019-09-07,1011010
2019-09-08,1011010
2019-09-09,1011010
2019-09-10,1011010
2019-09-11,1011010
2019-09-12,1011010
2019-09-13,1011010
2019-09-14,1011010
2019-09-15,1011010
2019-09-16,1011010
2019-09-17,1011010
2019-09-18,1011010
2019-09-19,1011010
2019-09-20,1011010
2019-09-21,1011010
2019-09-22,1011010
2019-09-23,1011010
2019-09-24,1011010
2019-09-25,1011010
2019-09-26,1011010
