date,pattern
2019-03-26,100010010
2019-03-27,100010010
2019-03-28,100010010
2019-03-29,100010010
2019-03-30,100011010
2019-03-31,100011010
2019-04-01,100010010
2019-04-02,100010010
2019-04-04,100010010
2019-04-05,100010010
2019-04-06,100010010
2019-04-07,100010010
2019-04-10,100010010
2019-04-11,100010010
2019-04-12,100010010
2019-04-13,100010010
2019-04-14,100010010
2019-04-15,100010010
2019-04-16,100010010
2019-04-17,100010010
2019-04-18,000010010
2019-04-19,000010010
2019-04-20,000010010
2019-04-21,000010010
2019-04-22,000010010
2019-04-23,000010010
2019-04-24,001010010
2019-04-25,000010000
2019-04-26,000010010
2019-04-27,000010010
2019-04-28,000010010
2019-04-29,000010010
2019-04-30,000010010
2019-05-02,000010010
2019-05-05,001010010
2019-05-06,000010010
2019-05-07,000010010
2019-05-08,000010010
2019-05-09,000010010
2019-05-10,000010010
2019-05-11,000010010
2019-05-12,000010010
2019-05-13,000010010
2019-05-15,000010010
2019-05-16,000010010
2019-05-17,000010010
2019-05-18,000010010
2019-05-19,000010010
2019-05-20,000010010
2019-05-21,000010010
2019-05-22,000010010
2019-05-23,000010010
2019-05-24,000000010
2019-05-25,000000010
2019-05-26,100100010
2019-05-27,100100000
2019-05-28,100100100
2019-05-29,110100100
2019-05-30,110100100
2019-05-31,110100100
2019-06-01,110100100
2019-06-02,110000100
2019-06-03,110100100
2019-06-04,110100000
2019-06-05,100100001
2019-06-06,100100001
2019-06-07,100100001
2019-06-08,100100001
2019-06-09,100100001
2019-06-10,100100001
2019-06-12,100100001
2019-06-13,100100101
2019-06-14,100100101
2019-06-15,100100001
2019-06-16,100100001
2019-06-17,100100101
2019-06-19,100100001
2019-06-21,100100001
2019-06-25,100100001
2019-06-26,010100101
2019-06-27,000100101
2019-06-28,000100101
2019-06-29,000100101
2019-06-30,000100100
2019-07-01,000100100
2019-07-02,000100100
2019-07-03,000100100
2019-07-04,000100100
2019-07-05,000100100
2019-07-06,000100100
2019-07-07,000100100
2019-07-08,000100100
2019-07-11,000100100
2019-07-13,000100100
2019-07-14,000100100
2019-07-15,000100000
2019-07-16,000100001
2019-07-17,000100001
2019-07-18,000100001
2019-07-24,100100001
2019-07-28,010100001
2019-07-29,010100001
2019-08-14,100100001
2019-08-15,100100001
2019-08-16,100100001
2019-08-17,100100001
2019-08-18,100100001
2019-08-19,100100001
2019-08-20,100100001
2019-08-21,100100001
2019-08-22,100100001
2019-08-23,100100001
2019-08-24,100100001
2019-08-27,100101001
2019-08-28,100101101
2019-08-29,100100001
2019-08-30,100101101
2019-08-31,100101101
2019-09-01,100101100
2019-09-02,100101100
2019-09-03,100101100
2019-09-04,100101100
2019-09-05,100101100
2019-09-06,100101100
2019-09-07,100101100
2019-09-08,000101100
2019-09-09,000101100
2019-09-10,100101100
2019-09-11,100101100
2019-09-12,100101100
2019-09-13,100101100
2019-09-14,100101100
2019-09-15,100101100
2019-09-16,100101100
2019-09-17,100101100
2019-09-18,100101100
2019-09-19,100101100
2019-09-20,100101100
2019-09-21,100101100
2019-09-22,100101100
2019-09-23,000101100
2019-09-24,000101100
2019-09-25,000101100
2019-09-26,000101100
2019-09-27,000101100
2019-09-28,000101100
2019-09-29,000101100
2019-09-30,000101100
2019-10-01,000101100
2019-10-02,000101100
2019-10-03,000101100
2019-10-04,000101100
2019-10-05,000101100
2019-10-06,000101100
2019-10-07,000101100
2019-10-08,000101001
2019-10-09,000101001
2019-10-10,000101001
2019-10-11,000101001
2019-10-12,000101001
2019-10-13,000101001
2019-10-14,000101001
2019-10-15,000100001
2019-10-16,000100001
2019-10-17,000100001
2019-10-18,100100001
2019-10-19,000100001
2019-10-20,000000001
2019-10-21,000000000
2019-10-22,000000000
2019-10-23,000000000
2019-10-24,000000000
2019-10-25,000000000
2019-10-26,000000000
2019-10-27,000000001
2019-10-28,000000000
2019-10-29,000000000
2019-10-30,000000000
2019-10-31,000000000
2019-11-01,000000000
2019-11-02,000000000
2019-11-03,001000000
2019-11-04,001000000
2019-11-05,001000000
2019-11-06,000000000
2019-11-07,001000000
2019-11-08,001000000
2019-11-09,001000000
2019-11-10,001000000
2019-11-11,001000000
2019-11-12,001000000
2019-11-13,001000000
2019-11-14,001000000
2019-11-15,000000000
2019-11-16,001000000
2019-11-17,001010000
2019-11-18,001000000
2019-11-19,001010000
2019-11-20,001000000
2019-11-21,001010000
2019-11-22,000010000
2019-11-23,001010000
2019-11-24,000010000
2019-11-25,000010000
2019-11-26,000010000
2019-11-27,001010000
2019-11-28,000010010
2019-11-29,001010010
2019-11-30,001010010
2019-12-01,001010010
2019-12-03,001010010
2019-12-04,001000010
2019-12-05,001010010
2019-12-06,001010010
2019-12-07,001010010
2019-12-09,001000010
2019-12-10,001010010
2019-12-11,001000010
2019-12-12,001000010
2019-12-13,001000010
2019-12-14,001000010
2019-12-15,001000010
2019-12-16,001000010
2019-12-17,001000010
2019-12-18,001000010
2019-12-20,001000010
2019-12-21,001000010
2019-12-22,001000010
2019-12-23,011000010
2019-12-24,011000010
2019-12-25,011000010
2019-12-26,011000010
2019-12-28,011000010
2019-12-29,011000010
2019-12-30,011000010
2019-12-31,011000010
2020-01-02,011000010
2020-01-03,011000010
2020-01-04,011000010
2020-01-05,011000010
2020-01-06,011000010
2020-01-22,001010010
2020-01-23,001010010
2020-01-24,001010010
2020-01-25,001000010
2020-01-26,001010010
2020-01-27,001010010
2020-01-28,001010010
2020-01-29,001000010
2020-01-30,001010010
2020-01-31,001010010
2020-02-01,001010010
2020-02-02,001000010
2020-02-03,001000010
2020-02-04,001000010
2020-02-05,001000010
2020-02-06,001000010
2020-02-07,001000010
2020-02-08,001000010
2020-02-09,001000010
2020-02-10,001000010
2020-02-11,001000010
2020-02-12,001000010
2020-02-13,001000010
2020-02-14,001000010
2020-02-15,001000010
2020-02-16,001000010
2020-02-17,001000010
2020-02-18,101000010
2020-02-19,101000010
2020-02-20,101000010
2020-02-21,101000010
2020-02-22,101000010
2020-02-23,101000010
2020-02-24,101000010
2020-02-25,101000010
2020-02-26,101000010
2020-02-27,101000010
2020-02-28,101000010
2020-02-29,101000010
2020-03-01,101000010
2020-03-02,101000010
2020-03-03,101000010
2020-03-04,101000010
2020-03-05,101000010
2020-03-06,101000010
2020-03-07,101000010
2020-03-08,101000010
2020-03-09,101000010
2020-03-10,101000010
2020-03-11,101000010
2020-03-12,001000010
2020-03-13,101000010
2020-03-14,000000010
2020-03-15,000010010
2020-03-16,000010010
2020-03-17,000010010
2020-03-18,000010010
2020-03-19,000010010
2020-03-20,000010010
2020-03-21,000010010
2020-03-22,001000010
2020-03-23,001010010
2020-03-24,001010010
2020-03-25,001010010
2020-03-26,000010010
2020-03-27,000010010
2020-03-28,100010010
2020-03-29,100010010
2020-03-30,001010010
2020-03-31,000010010
2020-04-01,100010010
2020-04-02,100010010
2020-04-03,100010010
2020-04-04,100010010
2020-04-05,100010010
2020-04-06,100010010
2020-04-07,100010010
2020-04-15,000010010
2020-04-16,000010010
2020-04-17,000010010
2020-04-18,000010010
2020-04-20,000010010
2020-04-21,000010010
2020-04-22,000010010
2020-04-24,000010010
2020-04-26,000010010
2020-04-28,000010010
2020-04-29,000010010
2020-04-30,000010010
2020-05-01,000010010
2020-05-02,000010010
2020-05-04,000010010
2020-05-05,000010000
2020-05-06,000010000
2020-05-07,000010010
2020-05-10,000010010
2020-05-11,000010000
2020-05-14,000010000
2020-05-15,000010000
2020-05-16,000010000
2020-05-17,000010001
2020-05-18,000010001
2020-05-20,000010000
2020-05-21,000010001
2020-05-23,000010000
2020-05-24,000010001
2020-05-25,000000001
2020-05-26,000000001
2020-05-29,100100001
2020-05-30,100100001
2020-05-31,100100001
2020-06-01,100100001
2020-06-02,100100001
2020-06-03,100100001
2020-06-04,100100001
2020-06-05,100100001
2020-06-06,100100001
2020-06-08,100100001
2020-06-10,100100001
2020-06-12,100100001
2020-06-13,100100001
2020-06-14,100100001
2020-06-15,100100001
2020-06-17,100000101
2020-06-18,110000101
2020-06-19,110000101
2020-06-20,110000101
2020-06-21,110000101
2020-06-22,110000101
2020-06-23,110000101
2020-06-24,110000101
2020-06-25,110000101
2020-06-26,010000101
2020-06-27,000100001
2020-06-29,000100001
2020-06-30,000100001
2020-07-01,000100001
2020-07-02,000100001
2020-07-03,000100001
2020-07-04,000100001
2020-07-05,000100001
2020-07-06,000100001
2020-07-07,000100001
2020-07-08,100100001
2020-07-09,100100001
2020-07-10,100100001
2020-07-11,100100001
2020-07-12,100100001
2020-07-13,100100001
2020-07-14,100100001
2020-07-15,100100001
2020-07-17,000100000
2020-07-18,000100000
2020-07-19,000100100
2020-07-20,000100100
2020-07-25,000100000
2020-07-26,000100000
2020-07-27,000100000
2020-07-28,000100000
2020-07-29,000100000
2020-07-30,000100000
2020-07-31,000100000
2020-08-01,000100000
2020-08-02,000100000
2020-08-04,000000000
2020-08-05,000000000
2020-08-06,000100000
2020-08-08,000100000
2020-08-10,000100000
2020-08-11,000100000
2020-08-13,000100000
2020-08-14,000100000
2020-08-16,000100100
2020-08-17,000100000
2020-08-18,000100000
2020-08-19,000100000
2020-08-20,100100000
2020-08-21,000100000
2020-08-22,100100000
2020-08-23,100100000
2020-08-24,100100000
2020-08-25,100100001
2020-08-26,100100001
2020-08-27,100100001
2020-08-28,100100001
2020-08-29,100100001
2020-08-30,100100001
2020-08-31,100100001
2020-09-01,100100001
2020-09-02,100100001
2020-09-03,100100001
2020-09-04,100100001
2020-09-05,100100001
2020-09-06,100100001
2020-09-07,100100001
2020-09-08,100100001
2020-09-09,100100001
2020-09-10,100100101
2020-09-11,100100101
2020-09-12,100100101
2020-09-13,100100101
2020-09-14,100100101
2020-09-15,100100101
2020-09-16,100100101
2020-09-17,100100101
2020-09-18,100100100
2020-09-19,100100100
2020-09-20,100100100
2020-09-21,100100100
2020-09-22,100100100
2020-09-23,100100000
2020-09-24,100100000
2020-09-25,000100000
2020-09-26,000100000
2020-09-27,000100000
2020-09-28,000100000
2020-09-29,000100000
2020-09-30,000100000
2020-10-01,000100000
2020-10-02,000100000
2020-10-03,000100000
2020-10-04,000100000
2020-10-05,000100000
2020-10-06,000100000
2020-10-07,000100000
2020-10-08,000000000
2020-10-09,000000000
2020-10-10,000100000
2020-10-11,000100000
2020-10-12,000100000
2020-10-13,000000000
2020-10-14,000000000
2020-10-15,000000000
2020-10-16,000000000
2020-10-17,000000000
2020-10-18,000000000
2020-10-19,000000000
2020-10-20,000000000
2020-10-21,000000000
2020-10-22,000000000
2020-10-23,000000000
2020-10-24,000000001
2020-10-25,000000001
2020-10-26,000000000
2020-10-27,000000000
2020-10-28,000000000
2020-10-29,000000000
2020-10-30,000000000
2020-10-31,000000000
2020-11-01,001000000
2020-11-02,000000000
2020-11-03,001000000
2020-11-04,001000000
2020-11-05,001000000
2020-11-06,001000000
2020-11-07,001000000
2020-11-08,001000000
2020-11-09,001000000
2020-11-10,001000000
2020-11-11,001000000
2020-11-12,001000000
2020-11-13,001000000
2020-11-14,001000000
2020-11-15,001000000
2020-11-16,001000000
2020-11-17,001000000
2020-11-18,001000000
2020-11-19,001000000
2020-11-20,001000000
2020-11-21,001000000
2020-11-22,001000000
2020-11-23,001000000
2020-11-24,001000000
2020-11-25,001000000
2020-11-26,001000000
2020-11-27,001000000
2020-11-28,001000000
2020-11-29,001000000
2020-11-30,011000000
2020-12-01,011000000
2020-12-02,011000000
2020-12-04,011000000
2020-12-05,011000000
2020-12-06,011000000
2020-12-07,011000010
2020-12-08,011000000
2020-12-09,011000000
2020-12-10,011000000
2020-12-11,011000000
2020-12-13,011000010
2020-12-14,011000010
2020-12-15,011000000
2020-12-16,011000010
2020-12-17,011000010
2020-12-18,011000010
2020-12-19,011000010
2020-12-20,011000010
2020-12-21,011000010
2020-12-22,011000010
2020-12-23,011000010
2020-12-24,001000010
2020-12-25,011000010
2020-12-26,011000010
2020-12-27,011000010
2020-12-28,001000010
2020-12-29,001000010
2020-12-30,001000010
2020-12-31,001000010
2021-01-01,001000010
2021-01-02,001000010
2021-01-03,001000010
2021-01-04,001000010
2021-01-05,001000010
2021-01-06,001000010
2021-01-07,001000010
2021-01-08,001000010
2021-01-09,001000010
2021-01-10,001000010
2021-01-11,001000010
2021-01-12,001000010
2021-01-13,001000010
2021-01-14,001000010
2021-01-15,001000010
2021-01-16,001000010
2021-01-17,001000010
2021-01-18,001000010
2021-01-19,001000010
2021-01-20,001000010
2021-01-21,001000010
2021-01-22,001000010
2021-01-23,001000010
2021-01-24,101000010
2021-01-25,101000010
2021-01-26,101000010
2021-01-27,101000010
2021-01-28,101000010
2021-01-29,101000010
2021-01-30,101000010
2021-01-31,101000010
2021-02-01,101000010
2021-02-02,101000010
2021-02-03,101000010
2021-02-04,101000010
2021-02-05,101000010
2021-02-06,101000010
2021-02-07,101000010
2021-02-08,101000010
2021-02-09,101000010
2021-02-10,101000010
2021-02-11,101000010
2021-02-12,101000010
2021-02-13,101000010
2021-02-14,101000010
2021-02-15,101000010
2021-02-16,101000010
2021-02-17,101000010
2021-02-18,111000010
2021-02-19,111000011
2021-02-20,111000011
2021-02-21,111000011
2021-02-22,111000010
2021-02-23,111000010
2021-02-24,011000010
2021-02-25,011000010
2021-02-26,011000010
2021-02-27,111000010
2021-02-28,111000010
2021-03-01,110000010
2021-03-02,100010010
2021-03-03,100010010
2021-03-04,100010010
2021-03-05,100010010
2021-03-06,110010010
2021-03-07,110000010
2021-03-08,100010010
2021-03-09,110010010
2021-03-10,100010010
2021-03-11,100010010
2021-03-12,110010010
2021-03-13,100010010
2021-03-14,100010010
2021-03-15,100010010
2021-03-16,100010010
2021-03-17,100010010
2021-03-18,100010010
2021-03-19,100011010
2021-03-20,100010010
2021-03-21,100011010
2021-03-22,100011010
2021-03-23,100011010
2021-03-24,100011010
2021-03-25,100011010
2021-03-26,100011010
2021-03-27,100011010
2021-03-28,100011010
2021-03-29,100011010
2021-03-30,100011010
2021-03-31,100011010
2021-04-01,100011010
2021-04-02,100010010
2021-04-03,100010010
2021-04-04,100010010
2021-04-05,100010010
2021-04-06,100010010
2021-04-07,100010010
2021-04-08,100010010
2021-04-09,100010010
2021-04-10,100010010
2021-04-11,100010010
2021-04-12,000010010
2021-04-13,000010010
2021-04-14,000010010
2021-04-15,000010010
2021-04-16,000010010
2021-04-17,000000010
2021-04-18,000000010
2021-04-19,000000010
2021-04-20,000010010
2021-04-21,000010000
2021-04-22,001010010
2021-04-23,000010000
2021-04-24,001010000
2021-04-25,001010010
2021-04-26,000010010
2021-04-27,001010010
2021-04-28,001010010
2021-04-29,001010010
2021-04-30,001010010
2021-05-01,001010010
2021-05-02,001010010
2021-05-03,001010010
2021-05-05,001010010
2021-05-06,001010010
2021-05-07,001010010
2021-05-08,001010010
2021-05-09,001010010
2021-05-10,001010010
2021-05-11,001010010
2021-05-12,001010010
2021-05-15,001000010
2021-05-16,001010010
2021-05-17,001000010
2021-05-18,001010010
2021-05-19,001010010
2021-05-20,001010010
2021-05-21,001000010
2021-05-22,001000010
2021-05-23,011000000
2021-05-24,110000000
2021-05-25,110000000
2021-05-26,110000000
2021-05-27,110000100
2021-05-28,110000100
2021-05-29,110000100
2021-05-30,110000100
2021-05-31,110000100
2021-06-01,110100000
2021-06-02,110100001
2021-06-03,100100001
2021-06-04,100100001
2021-06-05,100100001
2021-06-07,100100001
2021-06-08,100100001
2021-06-09,110100001
2021-06-10,100100001
2021-06-11,100100001
2021-06-12,100100001
2021-06-13,100100001
2021-06-15,100100001
2021-06-16,100100001
2021-06-17,100100001
2021-06-18,100100001
2021-06-19,100100001
2021-06-20,110100001
2021-06-21,100100001
2021-06-22,100100001
2021-06-23,100100001
2021-06-24,100100001
2021-06-25,100100001
2021-06-26,100100001
2021-06-27,100100001
2021-06-28,100100001
2021-06-29,000100001
2021-06-30,000100001
2021-07-01,010100001
2021-07-02,010100001
2021-07-03,000100001
2021-07-06,000000001
2021-07-07,000000001
2021-07-08,000000001
2021-07-09,000000001
2021-07-10,100000101
2021-07-11,100000001
2021-07-12,100000101
2021-07-13,100000001
2021-07-14,100000101
2021-07-15,100000101
2021-07-16,110000101
2021-07-17,110000101
2021-07-18,110000101
2021-07-19,110000101
2021-07-20,110000101
2021-07-21,110000101
2021-07-22,110000101
2021-07-23,110000101
2021-07-24,100000101
2021-07-25,100000101
2021-07-26,100000100
2021-07-27,100000100
2021-07-28,100000100
2021-07-29,100000101
2021-07-30,100000101
2021-07-31,100000100
2021-08-01,100000100
2021-08-02,100000100
2021-08-03,100000100
2021-08-04,100000100
2021-08-05,100000100
2021-08-06,100000100
2021-08-07,100000100
2021-08-08,100000100
2021-08-09,100000100
2021-08-10,100000100
2021-08-11,100000100
2021-08-12,100100100
2021-08-13,100100100
2021-08-14,100100100
2021-08-15,100100000
2021-08-16,000000000
2021-08-17,000000000
2021-08-18,000000000
2021-08-19,000000000
2021-08-20,000000000
2021-08-21,000000000
2021-08-22,000000011
2021-08-23,000000011
2021-08-24,000000000
2021-08-25,000000000
2021-08-26,100000000
2021-08-27,100000000
2021-08-28,100000000
2021-08-29,100000000
2021-08-30,100000000
2021-08-31,100000000
2021-09-01,100000000
2021-09-02,100100001
2021-09-03,100100001
2021-09-04,100100001
2021-09-05,100100001
2021-09-06,100100001
2021-09-07,100100001
2021-09-08,100100001
2021-09-09,100100001
2021-09-10,100100001
2021-09-11,100100001
2021-09-12,100100001
2021-09-13,100100001
2021-09-14,100100001
2021-09-15,100100001
2021-09-16,100100001
2021-09-17,100100001
2021-09-18,100100001
2021-09-19,100100001
2021-09-20,100100001
2021-09-21,100100001
2021-09-22,100100001
2021-09-23,100100001
2021-09-24,100100001
2021-09-25,100100001
2021-09-26,100100001
2021-09-27,100100001
2021-09-28,100100001
2021-09-29,100100001
2021-09-30,100100001
2021-10-01,100100001
2021-10-02,100100001
2021-10-03,100100001
2021-10-04,100100001
2021-10-05,100100001
2021-10-06,100100001
2021-10-07,100100001
2021-10-08,100100001
2021-10-09,110100001
2021-10-10,110100101
2021-10-11,110100101
