,h0,h1,h2,h3,h4,h5,h6,h7,h8
aphanizomenon,0.06670598604955737,0.09553905411238034,0.008950023818765343,0.022598427090901138,0.018310529331309125,0.11763554689952745,0.3501864171979017,0.26168551583780225,0.3108461597351884
askenasia,0.03189546066463595,0.00892412415061988,0.014699818561257072,0.025577938617310746,0.016793363213274824,0.01696156844523461,0.04240579141323543,0.017480322895865666,0.03679992929116611
asplanchna,0.1405280636944544,0.030428383098630597,0.01971555776323012,0.03754656585589492,0.13297717367282466,0.03016122986101756,0.06909003172677788,0.0778622157964554,0.16408816971308166
asterionella,0.7763982425180634,0.8529077412220366,0.01620612187013217,0.07548727975476084,0.018176773092938005,0.07170714736313195,0.1948930917272379,0.017969445206541333,0.017621201962466356
aulacoseira,0.9450415439858602,0.46561339400910645,0.12559606756323377,0.011023661627188356,0.03498299886730594,0.6098146960841886,0.06432430568682419,0.5390066893354912,0.5304025662048466
bosmina,0.005444590673230193,0.003975047180566132,0.003371422243957081,0.0068257143764009825,0.009616914372820985,0.008991128788678115,0.004585729073340283,0.013797799987735716,0.004052530572558038
centric_diatom,1.3113908871615112,0.12035267067795348,0.6839205718400848,0.10759134180961472,0.046728393993531986,0.11758763452118574,0.25367802454568594,1.2140353086327735,0.19417230602047933
ceratium,0.1093201316641971,0.033622145414236485,0.03867048522696482,0.07192301682201059,0.02428574350815321,0.10793479742240286,0.08321183459497332,0.03065063675868672,0.2561734331543828
chaoborus,0.0011422451241475833,0.0010029700484296665,0.0007234693287312854,0.0010191294415482597,0.0005415883326125049,0.0010444745380678868,0.0014309093571505786,0.0006585882851855268,0.0014123767240025468
chlorophyte,3.57148758437544,1.2076376124930788,0.4449288760016598,3.895251384095028,1.2688330594891377,2.572239670062826,3.507401676743042,2.3837513335858613,1.4005192945875007
chlorophyte_colonial_dividing,2.6933442071966116,1.7539326950478633,0.43846351853556226,5.67396248974139,1.2294215359603757,2.1394227169688884,5.92383244655814,1.025685530713387,1.5749447072032319
chlorophyte_elongated,0.34605545847944075,0.0916550272127493,0.12185875568104962,0.11015886362551382,0.3558313515118281,0.2369596337949136,0.7671872778268757,0.17010084216941648,0.31417964323809755
chlorophyte_frame,0.11839398526291169,0.03598370889875964,0.018082797642910976,0.08648975892786331,0.05604594130503893,0.03794366795344752,0.48780302365579004,0.025431985452982763,0.048722199322840616
chlorophyte_square,0.21166404823971374,0.1361340354807624,0.06871142222024694,0.5584017768292896,0.12369931681038451,0.27779232408277127,0.39023214590188315,0.07626433945680351,0.1209332464482778
chroococcales,0.12009936130065553,0.04820445804306385,0.03541343361104351,0.47327937183309615,0.034075243752227584,0.33957141738833774,0.1227538807730119,0.00608739098295802,0.059669736151215236
chydorus,0.002834623829462015,0.0004895952085591785,0.001526906678730356,0.0018331045610012798,0.00021232923612661994,0.0037690656456063976,0.001411841854950489,0.005188723924524363,0.0006192185005667455
