,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0427165621003438,0.01093167863672749,0.0064823095341983725,0.030497814624362532,0.055285730544965786,0.29814867362842623,0.03523276333747598
askenasia,0.06946652490488077,0.033056455846074737,0.03100875804555169,0.028789615585229886,0.05082457655373643,0.058411438324040686,0.0420925666011707
asplanchna,0.06737606043145898,0.06092862612512362,0.17656171014856778,0.05589004906896475,0.10159705286095548,0.21841920151772634,0.08269900879915947
asterionella,0.1148782710051391,0.0014908163795748926,0.013270084497123167,1.0623888079687227,0.007212342351304981,0.5305141766489656,0.01930343800090456
aulacoseira,0.02491660259796616,0.02961908908417454,0.0783895481229452,0.6722753092298405,0.4152828661418015,0.7551959319835198,2.34006921101533
bosmina,0.012308831326625682,0.00786270290574625,0.02035007548563284,0.006263000222125076,0.008730292511375994,0.006991392680300863,0.03053652014725065
centric_diatom,0.10627724359726559,0.03088729534043531,0.8548746692358086,0.4982389208783061,0.3213259779930676,0.2689415930150177,0.03982501912215253
ceratium,0.19887244402906618,0.071512571688531,0.09393252179549998,0.5515774140285483,0.40163011460960285,0.20272514271960057,0.20857520393299478
chaoborus,0.0018606862084146489,0.0007164549122493028,0.0011547372648764026,0.0011815711174440926,0.0011586299267582663,0.0017464936836112976,0.0015045600044815458
chlorophyte,12.134622823813816,0.7592351520613383,4.625360099399256,3.833991352400246,2.080151218534878,3.5778092836418462,4.851783573310466
chlorophyte_colonial_dividing,17.297331867659402,1.327419303345365,1.5238282103378311,3.362336885312088,3.3638357917862147,3.7643581916815965,1.5733161973490226
chlorophyte_elongated,0.36977035882767767,0.09168995310047641,0.06988393399656466,0.08428374084781258,0.051563838396233984,0.5592329163273154,0.06506525003532189
chlorophyte_frame,0.4846011270473823,0.014023621325543618,0.02004422148353583,0.03119117275630785,0.04420074294065321,0.17740873637461121,0.010611356297520502
chlorophyte_square,2.0441085479448184,0.16175282171439806,0.30072939027133516,0.655142330546758,0.46048978779093763,0.21245617105789377,0.29542247205137945
chroococcales,2.0840044883239663,0.15598089087469433,0.20234579965360303,1.7298603974860607,0.8833103227846779,0.044595195255828855,0.13353485830486458
chydorus,0.004187696080427491,0.00184959734541034,0.0012494815795529922,0.0029483047438555797,0.0006772250268354265,0.0010948709706028556,0.012985558117927759
ciliate,0.0075118611800624934,0.006330335404956279,0.012304099174763218,0.0047650977668220245,0.003981521341224313,0.007326093935187454,0.008066688320052142
ciliate_big,0.0002548464819095998,0.00015954219923835342,0.00013732484938912355,0.00022902880596130856,0.00038596341149520246,0.00029737212785415826,0.0007707404151182971
ciliate_blue,0.4264608239918905,0.15863405333818564,0.16786369136753776,0.19205064198512486,0.18713211498477095,0.3538801188044469,0.30190163883002097
ciliate_green,0.1268664697841463,0.11254080994323228,0.025846621257195983,0.02741868198798268,0.10247169233962439,0.17874888166323877,0.04316571314588653
ciliate_round,0.006974377350658491,0.0014965673586562157,0.02398465364197987,0.02515832827733766,0.004101077370976772,0.014182637043670501,0.01150181488034503
closterium,0.1496427286435513,0.28823288044796946,0.21495113659917492,0.6198294151576826,0.22545609535633188,0.1109317651051832,0.36091680943231674
coelastrum_reticulatum,0.01827881356792701,0.0473845128003718,0.006755939389723809,0.512087022026308,0.006210218095330615,0.0023956161864477033,0.06793997078301414
coelosphaerium,0.45042304873523115,0.0019310429964444053,0.005929607174534407,0.6284012210420765,0.13252619297783863,0.06840796979531917,0.03631875763369865
coleps,0.0038466114638272654,0.004182042230367885,0.0013153995418548087,0.005070236644491933,0.0015300711748339184,0.0009151875252152233,0.004636315448790635
collotheca,0.13668241351132318,0.017522848002991517,0.0067698582148631075,0.047854174391976936,0.019763620068631502,0.07763986569586485,0.018930133875187057
conochilus,0.007902398579149721,0.10771325903850125,0.04924332608797181,0.010791521907026754,0.03747628889940732,0.025422424714347903,0.06327783551900376
cosmarium,0.2793318286954321,0.0997846413724503,0.11166504042637855,0.2084832723749005,0.11727578074914922,0.16175268418404093,0.142147337208187
cryptophyte,9.083720381795837,2.189380768242817,9.80175004729271,4.0375631461312835,3.689649193392022,9.148776527271652,10.421159491517912
cyanobacteria_colonial_blue,1.904941099896415,0.4072567858949589,0.08454483095715085,0.216131265721675,0.6773130554916087,1.2421357633677494,1.7066308608086074
cyanobacteria_colonial_clathrate,0.021723918251063727,0.00522434844652802,0.0011962333728115291,0.023657656043157428,0.016401758779048713,0.05118263174462601,0.005244170777076526
cyanobacteria_colonial_probably,4.350750614123383,0.35567326716358894,0.10526637808655369,3.7960128346815316,1.1789754729637942,0.12601161619584958,0.5284208554376314
cyanobacteria_filamentous,0.017849105258760167,0.07058839033119362,0.0028957292368436845,1.0867675349269286,0.010118140332415499,0.28731340529890154,0.07327066209546255
cyclops,0.8503590641910597,0.598142476819998,0.6239603511493234,0.5199937882775484,0.5579848009966246,1.1806139956537502,1.0346938322375538
daphnia,0.3170367179524906,0.34994969467552445,0.11344358713152512,0.2433028749092758,0.5110040127471437,0.4339802949476546,0.8276196485285687
daphnia_cucullata,0.023879878490657883,0.01295785546850856,0.005101403459365506,0.010565512566839828,0.016300237353575976,0.0011717054083936924,0.06181275823699308
diaphanosoma,0.09758059042415632,0.02525892564082018,0.0183789211917646,0.06817783439946541,0.04354448074724823,0.003422137045336131,0.10114138149342561
didinium,0.012279263605907843,0.0014759318186089562,0.008961143396472469,0.006276546152891704,0.0055260170414222175,0.006217477610361632,0.003744571640111578
dinobryon,2.1662353166269597,3.139342820067577,1.2672484277608416,10.646765650985797,25.44053825625532,6.359522238438932,5.110650197838595
dinoflagellate_diamond,0.005001342361836275,0.0012225921752194477,0.17153862806105027,0.006519483771198688,0.003852729623753069,0.04261133098062301,0.013601043654113696
dolichospermum,0.03681657481454156,0.02485254248519196,0.023907255588175594,0.37372619196249385,0.17613100587749353,0.13165944821626685,0.04919999443269112
