,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0745542065324009,0.38429004220642493,0.046774253305096394,0.04005675618813287,0.03421228650055482,0.15233745818688083,0.009341062365868142
askenasia,0.006708458644528586,0.06034504545159659,0.05272108954782325,0.007150440903790744,0.019003177671341173,0.024020825641960192,0.01062855190211272
asplanchna,0.05037802491619883,0.17335929146497597,0.10370595817216674,0.04857228025941878,0.19782819709220067,0.066601475168004,0.016281473805028535
asterionella,0.6057809866424785,4.914279911411572,0.3035436921737051,0.006986672114288626,0.023196370329461816,0.2861944793039989,0.07165840704234003
aulacoseira,2.686956854869041,2.6641843950917896,0.1490283531393122,0.3744593460522371,0.6806283855208587,99.24497342323974,1.4973675038968834
bosmina,0.004994063088628664,0.0036841363237523524,0.009145805163415751,0.0038781365492703084,0.03293400611915405,0.03152991494057571,0.013028412816043
centric_diatom,0.7374126040568635,0.5188821622851328,0.18416753049578533,0.44223771349619584,0.5425975881276064,0.7971368823525341,3.9591448284345585
ceratium,0.14869647368700434,0.41684271632986586,0.3303013451943652,0.03137256883488895,0.02797159363843127,0.14605757674559336,0.029384218014666345
chaoborus,0.0008715215872049386,0.0016816034963843616,0.001674678874844307,0.0008945757648129585,0.0005482482930140547,0.0012747293006319558,0.00044552376274634256
chlorophyte,1.154618149576993,3.5784355056475983,5.50689998901311,0.7930225581292647,1.9207932938260794,5.531727822072453,0.5025753012228804
chlorophyte_colonial_dividing,0.6885701973529659,3.592941339792848,7.724054955532365,0.7309587136001354,0.6452844592450601,2.038300053752859,0.13847319694039595
chlorophyte_elongated,0.1962416936251223,0.25478794265814536,0.24854363571722587,0.1431909603361123,0.2567575191972881,0.14171884447663946,0.058907074008808145
chlorophyte_frame,0.03376358779251011,0.0761541180212302,0.20779889342544014,0.012298625687865624,0.02236572101926678,0.027642958457801983,0.0037312303177399683
chlorophyte_square,0.14233498096256078,0.2795550669889723,0.9971017483722537,0.10502801765093661,0.08159538383065135,0.34112743607189666,0.026241350761285115
chroococcales,0.2840302918739725,0.1487952746992376,1.9000838830770341,0.060372812008805316,0.01487289986260331,0.18863725142982812,0.005695360070743752
chydorus,0.0024056192495140846,0.0019338543083351502,0.0010029998867797547,0.004811823218387943,0.0011938817079696973,0.015255486239678135,0.0008966599714901188
ciliate,0.004119672253687229,0.0041133168909981265,0.007036666712631487,0.0050631045114853356,0.018709832935508132,0.0060063522039181996,0.009947940092455268
ciliate_big,0.0004039713812948879,0.000342993760190938,0.00023153510781649697,0.0002907316650781606,0.00018786440781429198,0.0009687058040693541,0.0002781091866015644
ciliate_blue,0.18034590016139254,0.262228279573036,0.3153699311293338,0.21142912301093178,0.20518409844366933,0.25753911317490624,0.12023775730085824
ciliate_green,0.02741449664650698,0.15822654566073732,0.09989328100981539,0.012558522199341077,0.04770952832853575,0.026915118296450092,0.00825481169642148
ciliate_round,0.005281710398331476,0.00981161326632596,0.007824970153457962,0.01425086976206983,0.02490643748890582,0.03535666142086112,0.01607241430879824
closterium,0.19199260469379334,0.1250123016245634,0.26415479333265396,0.3368421407657343,0.07430016723531976,0.2423055832507993,0.2255172733280159
coelastrum_reticulatum,0.024133815487399773,0.00783543990844296,0.08805227178548378,0.16398994046765802,0.0013568691147063138,0.060198196440150155,0.004940905305780451
coelosphaerium,0.09856391476925248,0.2125079262107973,0.4325453947396165,0.00534183745260677,0.0006726943613471998,0.08238668998037663,0.0012295596914793216
coleps,0.0017731597503654567,0.0014151203178239089,0.0026695139333801437,0.0060968359041435665,0.0008219662274708245,0.004305228963234229,0.0011139609478978613
collotheca,0.015202561941919322,0.03493481052578131,0.08166299226668701,0.019652262322175824,0.0024426482074873003,0.026214934636323226,0.0019834792996874565
conochilus,0.019079522166426163,0.010472093381676227,0.024337677717670137,0.006604653516816168,0.05397039402659039,0.018168510339185866,0.03658509282852298
cosmarium,0.029373989377596305,0.210410184610966,0.2149530518091382,0.06855795429504792,0.05885055445681945,0.09656260183639842,0.017719489938302507
cryptophyte,0.8668692278638743,6.1554655244915715,6.164461002235472,2.612079395519842,12.502416085016128,7.850458544382044,1.865988243447984
cyanobacteria_colonial_blue,0.4297883346913318,1.771781699373712,0.6341247828786145,0.13811415320881176,0.09372750273114544,1.6212188309877327,0.020992287376035288
cyanobacteria_colonial_clathrate,0.004928466088881794,0.09563933169141127,0.017887183135459624,0.01746969558987476,0.0008971080625957478,0.009197576967981392,0.0008017955400903787
cyanobacteria_colonial_probably,0.6347217196100313,0.3352168938651689,4.00643323239247,0.32086977273743217,0.03754636803644245,1.2400181903125571,0.009625509835104447
cyanobacteria_filamentous,0.40176455377870823,0.2506329390490685,0.10082471433884359,2.1543139905491167,0.01178632008914144,0.9335986482048484,0.03906516247809465
cyclops,0.24554310977424304,0.9465782881385786,0.7576090211914426,0.5192700555129702,0.7615350397348823,0.5642589900195241,0.17599148833700992
daphnia,0.1375726950500843,0.40637720923061454,0.3453347052037389,0.16003389000338444,0.23451677684799355,0.8902304815336243,0.08992574304091734
daphnia_cucullata,0.0045762448386091805,0.002532173043021619,0.014112735274732974,0.001035894811314512,0.00036678043692620256,0.042544133214548634,0.0024669972093447736
diaphanosoma,0.008325880259831464,0.0025186816480794734,0.06393095322939321,0.0048415130473274965,0.000929604520731852,0.05667796179020979,0.0007232840331328231
didinium,0.0028698724948508767,0.004783233844426306,0.008659206852026053,0.0019422830434232521,0.002346552586550813,0.0054817160125577614,0.004519739611657092
dinobryon,1.093039645309716,5.277366262314313,19.362303335450413,0.1343711338956376,0.10904376149209175,0.5276500507739751,0.016346887780216625
dinoflagellate_diamond,0.13201614332660938,0.007826291831033845,0.004861585048355341,0.05340538616874958,0.9643529441751343,0.1394005590835366,0.2702550579546666
dolichospermum,0.05386675116762425,0.14966300827620804,0.1290877375411056,0.04737971118803634,0.010569100886043485,0.13852007668719515,0.01394472386601801
eudiaptomus,0.08050487877745914,0.1910715150368482,0.19531096110412566,0.2020093514246821,0.21870257072048394,0.21870869758015146,0.1612378943921165
fragilaria,0.8188634692230193,9.944231848446396,0.6060519124000929,0.08950933810672279,0.009497013967874546,0.8754539196454156,0.048610637332649524
gonium,0.005817318868747111,0.056317446319251244,0.03006465691114716,0.0020507347012844158,0.0007625684297857479,0.0018849940460238248,0.0006539867850734824
gymnodinium,0.12689208036890767,0.2095223223329684,0.3086551833316931,0.06429395017263947,0.29109237253990244,0.3000478913931093,0.12002376382432761
kellicottia,0.0533519293146808,0.12068456291756233,0.08598099597331738,0.09679777074047888,0.2058150039328294,0.11300872519919385,0.10078540911703227
keratella_cochlearis,0.04643274418649171,0.21222816578407908,0.16048905048493287,0.08318220882646842,0.04586699969154774,0.08234608534369259,0.05179185379556037
keratella_quadrata,0.05192435316269845,0.3471583252971359,0.178563386384177,0.02962205706944422,0.10698171527694487,0.09109773326976865,0.04267704480489313
leptodora,0.004657975255091654,0.006817167606327813,0.0209702730312923,0.004377505919086207,0.001551636002326862,0.03874696006377888,0.0008801963234370786
limnoraphis,0.0052960742692849325,0.008765154634085616,0.015554376700201739,0.011129004848704353,0.0008920383448321637,0.05801946675856988,0.0009510788643052962
mallomonas_akrokomos,0.18789000263463124,0.06732783055323979,0.1090422521221754,0.02080516444099063,0.24315078211904143,0.07753464515603832,0.16615970858692328
mallomonas_big,0.2956670861761294,0.4735254463324481,0.37458102566148543,0.25621861953482356,0.10378999440965661,0.549284320766944,0.13556257068822045
nauplius,0.25396077414729185,1.2659994999044724,1.1178672508177971,0.4349433840521419,1.784144541448084,0.7617268409673381,0.5353092237114646
oocystaceae,1.0942111260402914,1.033599097851921,2.604144531564495,0.19671110476894707,0.32796637778623483,11.012219204560052,0.07298231889220222
pandorina,0.021968483497648517,0.17495317491245183,0.05304674336362517,0.03124431966310897,0.02273524492310474,0.025200107863125848,0.025549989203921375
paradileptus,0.022928710666282867,0.2715043630881086,0.07730849790259911,0.02093098780645394,0.004608020935777968,0.08557056435545347,0.010312006216351277
pediastrum,0.009105914755283625,0.03734963577962265,0.0361575779103756,0.035373426093730495,0.0035039803076979104,0.03778842839127153,0.005007307842814004
pennate_diatom,0.6665366152548657,0.4186214954820522,0.6181942576087265,0.08395202627737922,0.0724828075184869,0.2685444012570837,0.05363921237879533
peridinium,0.029083607715196545,0.0780643429310664,0.2023145436245106,0.016780687919455004,0.02382376526661255,0.07913848642950591,0.0509169965822527
phacotus,0.17236105566931775,0.6628190642344609,0.2963793979884618,0.02364655202695603,0.02721221308183972,0.14890208334955987,0.014064006858383361
plankton_x,0.00041769288561536923,0.00034814352987556956,0.0008612302779423843,0.0004050547452681177,0.00027475567131383916,0.00041751325509993466,0.0003000055287882887
plankton_y,0.011597520492095439,0.02411891464679003,0.03331781671820686,0.021988075324423977,0.040742738852378425,0.03960579490146167,0.053566519099080126
plankton_z,0.03692904816020277,0.11698165267567875,0.17503682187172265,0.011859576523779917,0.00797880301712626,0.08527322235122242,0.0028867850621756654
planktosphaeria,0.015690520378917466,0.039824704265384765,0.01648991784791522,0.00541064230597297,0.010489206452371938,0.08271489035416052,0.007882265766179612
polyarthra,0.031550439051868315,0.11769170768199916,0.035225729384273596,0.029375186603792687,0.28675586590896274,0.02641074185761289,0.02256962533535664
protist_like_ciliate,0.10022026805063107,0.14613850482136687,0.4394276429153436,0.06509350077495468,0.10084905947124875,0.33042736234240905,0.059983923329325166
rhodomonas,1.0675365378283546,0.7870498072235074,1.0984759827989936,0.5279242521810318,5.972550807421041,2.09238523511923,1.2348907479119628
rotifer,0.29943535163196305,3.888810537050218,1.851475668114212,0.5945288168493038,2.2734493446219304,0.9337141680220674,0.3382845995529828
rotifer_long,0.0012882567459689106,0.0013191531443576161,0.004605218952252566,0.0010835125551425734,0.0018674309653094712,0.0015582114160079413,0.0007120065644069819
rotifer_z,0.0011658748465907612,0.0034071095739284588,0.004884675481528713,0.0009890685036754866,0.0005041222327308753,0.001205864741521627,0.000571745691108559
scenedesmus,0.037283179588134915,0.09900910745565661,0.13834728870686153,0.027476184609309146,0.0034247195769329998,0.06933308127933863,0.004391805759882662
snowella,0.0011244784718339917,0.0006420521581146499,0.002430312221309365,0.0008477381131639552,0.0002542458833522161,0.011682684913876475,0.00035513755948396924
staurastrum,0.02962851584926052,0.12327905379059549,0.0951162415634827,0.14195700349491466,0.032693480065429874,0.06461905765543682,0.03819066227639603
strombidium,0.010988589696891324,0.06513052049564483,0.07931789328162343,0.020563120397642118,0.06587244973704154,0.03732018626384169,0.02781285782875959
synchaeta,0.06928548713625424,0.05410777807194562,0.04934631301077909,0.01698787368719044,0.13357917759249455,0.1842716722382859,0.0763716553265629
synedra,0.028076945255381323,0.13725406765323228,0.11639309704293506,0.013104975016759897,0.045123483815537616,0.030902305937520157,0.01039219701157228
synedra_angustissima,0.061019128551685724,0.08350987324475849,0.014299498827937926,0.017447886610077637,0.03694705186164191,0.2876570137666252,0.04902257901405589
synura,0.0028684068819132933,0.004532020381906747,0.007593948376351146,0.009047389376957793,0.000917907365711339,0.009013756522260425,0.0014969436181622626
tetraedron,0.026962044521343674,0.02537664862347629,0.1010110725278386,0.031198130397186153,0.01671693704204032,0.07387028445843205,0.007047482855766188
tintinnid,0.014569142343411192,0.0316867049923734,0.023777907237247566,0.03763805416357464,0.048753030879586726,0.0463938157990852,0.04069283064470817
trichocerca,0.01203934531507042,0.03775519577169561,0.05905186618980092,0.007766432976588066,0.02128789340400574,0.03189652951858704,0.008351955621924588
uroglena,0.32871488676713306,0.45032367141344826,3.9543730776025323,0.06012599638147842,0.026103628029450963,0.058303505671856104,0.0062847901908676266
vorticella_epistylis_like,0.008279408575461122,0.01733026076319467,0.033435881904956354,0.017943231287415925,0.021006622347641613,0.04339397295088588,0.04118955621137009
