family,L,unit,mean_activation,flag
bernoulli_median,10,h0,0.5518,active
bernoulli_median,10,h1,0.2424,active
bernoulli_median,10,h2,0.3315,active
bernoulli_median,10,h3,0.3128,active
bernoulli_median,10,h4,0.3147,active
bernoulli_median,10,h5,0.5102,active
bernoulli_median,10,h6,0.3802,active
bernoulli_median,10,h7,0.1913,active
bernoulli_median,10,h8,0.3615,active
bernoulli_median,10,h9,0.2916,active
bernoulli_median,3,h0,0.3274,active
bernoulli_median,3,h1,0.453,active
bernoulli_median,3,h2,0.2756,active
bernoulli_median,4,h0,0.2732,active
bernoulli_median,4,h1,0.2863,active
bernoulli_median,4,h2,0.5234,active
bernoulli_median,4,h3,0.4462,active
bernoulli_median,5,h0,0.2043,active
bernoulli_median,5,h1,0.2847,active
bernoulli_median,5,h2,0.4126,active
bernoulli_median,5,h3,0.3153,active
bernoulli_median,5,h4,0.2896,active
bernoulli_median,6,h0,0.2453,active
bernoulli_median,6,h1,0.5736,active
bernoulli_median,6,h2,0.6784,active
bernoulli_median,6,h3,0.2704,active
bernoulli_median,6,h4,0.1609,active
bernoulli_median,6,h5,0.3158,active
bernoulli_median,7,h0,0.5595,active
bernoulli_median,7,h1,0.2562,active
bernoulli_median,7,h2,0.2287,active
bernoulli_median,7,h3,0.6147,active
bernoulli_median,7,h4,0.4873,active
bernoulli_median,7,h5,0.2712,active
bernoulli_median,7,h6,0.5031,active
bernoulli_median,8,h0,0.4855,active
bernoulli_median,8,h1,0.2766,active
bernoulli_median,8,h2,0.6139,active
bernoulli_median,8,h3,0.6251,active
bernoulli_median,8,h4,0.3316,active
bernoulli_median,8,h5,0.5139,active
bernoulli_median,8,h6,0.3676,active
bernoulli_median,8,h7,0.471,active
bernoulli_median,9,h0,0.2567,active
bernoulli_median,9,h1,0.3673,active
bernoulli_median,9,h2,0.4628,active
bernoulli_median,9,h3,0.3673,active
bernoulli_median,9,h4,0.4828,active
bernoulli_median,9,h5,0.2189,active
bernoulli_median,9,h6,0.428,active
bernoulli_median,9,h7,0.2482,active
bernoulli_median,9,h8,0.5331,active
bernoulli_zero,10,h0,0.3481,active
bernoulli_zero,10,h1,0.3241,active
bernoulli_zero,10,h2,0.4356,active
bernoulli_zero,10,h3,0.7332,active
bernoulli_zero,10,h4,0.8672,active
bernoulli_zero,10,h5,0.5013,active
bernoulli_zero,10,h6,0.2637,active
bernoulli_zero,10,h7,0.4935,active
bernoulli_zero,10,h8,0.2095,active
bernoulli_zero,10,h9,0.4399,active
bernoulli_zero,3,h0,0.6009,active
bernoulli_zero,3,h1,0.3788,active
bernoulli_zero,3,h2,0.3149,active
bernoulli_zero,4,h0,0.2759,active
bernoulli_zero,4,h1,0.6595,active
bernoulli_zero,4,h2,0.4348,active
bernoulli_zero,4,h3,0.5465,active
bernoulli_zero,5,h0,0.5341,active
bernoulli_zero,5,h1,0.4945,active
bernoulli_zero,5,h2,0.3569,active
bernoulli_zero,5,h3,0.1739,active
bernoulli_zero,5,h4,0.7452,active
bernoulli_zero,6,h0,0.4734,active
bernoulli_zero,6,h1,0.4739,active
bernoulli_zero,6,h2,0.1449,active
bernoulli_zero,6,h3,0.525,active
bernoulli_zero,6,h4,0.7143,active
bernoulli_zero,6,h5,0.5409,active
bernoulli_zero,7,h0,0.417,active
bernoulli_zero,7,h1,0.365,active
bernoulli_zero,7,h2,0.2615,active
bernoulli_zero,7,h3,0.2818,active
bernoulli_zero,7,h4,0.3669,active
bernoulli_zero,7,h5,0.7424,active
bernoulli_zero,7,h6,0.5612,active
bernoulli_zero,8,h0,0.4894,active
bernoulli_zero,8,h1,0.215,active
bernoulli_zero,8,h2,0.3132,active
bernoulli_zero,8,h3,0.533,active
bernoulli_zero,8,h4,0.4438,active
bernoulli_zero,8,h5,0.2788,active
bernoulli_zero,8,h6,0.5912,active
bernoulli_zero,8,h7,0.3846,active
bernoulli_zero,9,h0,0.2294,active
bernoulli_zero,9,h1,0.2071,active
