family,L,unit,mean_activation,flag
bernoulli_median,3,h0,0.2965,active
bernoulli_median,3,h1,0.5544,active
bernoulli_median,3,h2,0.3939,active
bernoulli_median,4,h0,0.2405,active
bernoulli_median,4,h1,0.3731,active
bernoulli_median,4,h2,0.3076,active
bernoulli_median,4,h3,0.4237,active
bernoulli_median,5,h0,0.1593,active
bernoulli_median,5,h1,0.5249,active
bernoulli_median,5,h2,0.4375,active
bernoulli_median,5,h3,0.4973,active
bernoulli_median,5,h4,0.2364,active
bernoulli_median,6,h0,0.5192,active
bernoulli_median,6,h1,0.54,active
bernoulli_median,6,h2,0.4797,active
bernoulli_median,6,h3,0.2032,active
bernoulli_median,6,h4,0.3771,active
bernoulli_median,6,h5,0.6214,active
bernoulli_median,7,h0,0.1757,active
bernoulli_median,7,h1,0.2918,active
bernoulli_median,7,h2,0.3443,active
bernoulli_median,7,h3,0.3864,active
bernoulli_median,7,h4,0.2035,active
bernoulli_median,7,h5,0.2462,active
bernoulli_median,7,h6,0.3492,active
bernoulli_zero,3,h0,0.4185,active
bernoulli_zero,3,h1,0.5448,active
bernoulli_zero,3,h2,0.2469,active
bernoulli_zero,4,h0,0.4895,active
bernoulli_zero,4,h1,0.176,active
bernoulli_zero,4,h2,0.5055,active
bernoulli_zero,4,h3,0.6562,active
bernoulli_zero,5,h0,0.1529,active
bernoulli_zero,5,h1,0.6016,active
bernoulli_zero,5,h2,0.572,active
bernoulli_zero,5,h3,0.4654,active
bernoulli_zero,5,h4,0.6672,active
bernoulli_zero,6,h0,0.2509,active
bernoulli_zero,6,h1,0.2674,active
bernoulli_zero,6,h2,0.4116,active
bernoulli_zero,6,h3,0.5544,active
bernoulli_zero,6,h4,0.4457,active
bernoulli_zero,6,h5,0.5861,active
bernoulli_zero,7,h0,0.679,active
bernoulli_zero,7,h1,0.5492,active
bernoulli_zero,7,h2,0.6461,active
bernoulli_zero,7,h3,0.6993,active
bernoulli_zero,7,h4,0.7891,active
bernoulli_zero,7,h5,0.4933,active
bernoulli_zero,7,h6,0.4649,active
nb,3,h0,0.4301,active
nb,3,h1,0.3722,active
nb,3,h2,0.5524,active
nb,4,h0,0.4695,active
nb,4,h1,0.4101,active
nb,4,h2,0.5105,active
nb,4,h3,0.5246,active
nb,5,h0,0.3001,active
nb,5,h1,0.4655,active
nb,5,h2,0.5264,active
nb,5,h3,0.5392,active
nb,5,h4,0.7407,active
nb,6,h0,0.8764,active
nb,6,h1,0.6232,active
nb,6,h2,0.2938,active
nb,6,h3,0.6021,active
nb,6,h4,0.3517,active
nb,6,h5,0.5028,active
nb,7,h0,0.1303,active
nb,7,h1,0.5103,active
nb,7,h2,0.1749,active
nb,7,h3,0.3387,active
nb,7,h4,0.3538,active
nb,7,h5,0.5383,active
nb,7,h6,0.5774,active
zinb,3,h0,0.4694,active
zinb,3,h1,0.4067,active
zinb,3,h2,0.7405,active
zinb,4,h0,0.6548,active
zinb,4,h1,0.4575,active
zinb,4,h2,0.6148,active
zinb,4,h3,0.1221,active
zinb,5,h0,0.4577,active
zinb,5,h1,0.6538,active
zinb,5,h2,0.4621,active
zinb,5,h3,0.3742,active
zinb,5,h4,0.1693,active
zinb,6,h0,0.533,active
zinb,6,h1,0.4323,active
zinb,6,h2,0.7415,active
zinb,6,h3,0.6136,active
zinb,6,h4,0.2061,active
zinb,6,h5,0.3784,active
zinb,7,h0,0.6207,active
zinb,7,h1,0.328,active
zinb,7,h2,0.3708,active
zinb,7,h3,0.1283,active
zinb,7,h4,0.2175,active
zinb,7,h5,0.5723,active
zinb,7,h6,0.5873,active
