pattern,n_days,fraction,n_units_on
100101,305,0.16,3
110110,199,0.1044,4
110101,194,0.1018,4
101011,189,0.0992,4
110100,159,0.0834,3
111101,95,0.0498,5
110000,95,0.0498,2
010110,82,0.043,3
011000,77,0.0404,2
010000,64,0.0336,1
110010,61,0.032,3
100001,56,0.0294,2
111000,50,0.0262,3
100010,47,0.0247,2
100100,46,0.0241,2
111011,28,0.0147,5
101101,26,0.0136,4
111001,24,0.0126,4
101100,22,0.0115,3
110001,18,0.0094,3
101010,15,0.0079,3
110011,15,0.0079,4
010010,10,0.0052,2
101111,5,0.0026,5
111111,5,0.0026,6
111100,4,0.0021,4
011010,3,0.0016,3
111010,3,0.0016,4
110111,2,0.001,5
101110,2,0.001,4
101000,2,0.001,2
100011,1,0.0005,3
100000,1,0.0005,1
100110,1,0.0005,3
