date,pattern
2019-03-26,111001
2019-03-27,111001
2019-03-28,111101
2019-03-29,111001
2019-03-30,111011
2019-03-31,111011
2019-04-01,111001
2019-04-02,111001
2019-04-04,111101
2019-04-05,111001
2019-04-06,111101
2019-04-07,111101
2019-04-10,111101
2019-04-11,111101
2019-04-12,111101
2019-04-13,111101
2019-04-14,111101
2019-04-15,111101
2019-04-16,111101
2019-04-17,111101
2019-04-18,111101
2019-04-19,110101
2019-04-20,110101
2019-04-21,110101
2019-04-22,110101
2019-04-23,110101
2019-04-24,100101
2019-04-25,110101
2019-04-26,110101
2019-04-27,110101
2019-04-28,110101
2019-04-29,110101
2019-04-30,110101
2019-05-02,110101
2019-05-05,110101
2019-05-06,110101
2019-05-07,110101
2019-05-08,110101
2019-05-09,110101
2019-05-10,110101
2019-05-11,110101
2019-05-12,110101
2019-05-13,110101
2019-05-15,110101
2019-05-16,110101
2019-05-17,110101
2019-05-18,110101
2019-05-19,110101
2019-05-20,110101
2019-05-21,110101
2019-05-22,110101
2019-05-23,110101
2019-05-24,110101
2019-05-25,110100
2019-05-26,110000
2019-05-27,110000
2019-05-28,110000
2019-05-29,110000
2019-05-30,110010
2019-05-31,100010
2019-06-01,100010
2019-06-02,100010
2019-06-03,100010
2019-06-04,110010
2019-06-05,110110
2019-06-06,110110
2019-06-07,110110
2019-06-08,110110
2019-06-09,110110
2019-06-10,110110
2019-06-12,110110
2019-06-13,110110
2019-06-14,110110
2019-06-15,110110
2019-06-16,110110
2019-06-17,110110
2019-06-19,110110
2019-06-21,010110
2019-06-25,010110
2019-06-26,010110
2019-06-27,110110
2019-06-28,110110
2019-06-29,110100
2019-06-30,110100
2019-07-01,110100
2019-07-02,110000
2019-07-03,110100
2019-07-04,110100
2019-07-05,110000
2019-07-06,110000
2019-07-07,110000
2019-07-08,110000
2019-07-11,110100
2019-07-13,110100
2019-07-14,110100
2019-07-15,110100
2019-07-16,110100
2019-07-17,110100
2019-07-18,110110
2019-07-24,010110
2019-07-28,010110
2019-07-29,010110
2019-08-14,110110
2019-08-15,010110
2019-08-16,110110
2019-08-17,010110
2019-08-18,010110
2019-08-19,010110
2019-08-20,010110
2019-08-21,010110
2019-08-22,010110
2019-08-23,010110
2019-08-24,010110
2019-08-27,010110
2019-08-28,010010
2019-08-29,010110
2019-08-30,010010
2019-08-31,010010
2019-09-01,010000
2019-09-02,010000
2019-09-03,010000
2019-09-04,010000
2019-09-05,010000
2019-09-06,010000
2019-09-07,010000
2019-09-08,010000
2019-09-09,010000
2019-09-10,010000
2019-09-11,010000
2019-09-12,010000
2019-09-13,010000
2019-09-14,010000
2019-09-15,010000
2019-09-16,010000
2019-09-17,010000
2019-09-18,010000
2019-09-19,010000
2019-09-20,010000
2019-09-21,010000
2019-09-22,010000
2019-09-23,010000
2019-09-24,010000
2019-09-25,010000
2019-09-26,010000
2019-09-27,010000
2019-09-28,010000
2019-09-29,010000
2019-09-30,010000
2019-10-01,010000
2019-10-02,010000
2019-10-03,010000
2019-10-04,010000
2019-10-05,110000
2019-10-06,110100
2019-10-07,110100
2019-10-08,110100
2019-10-09,110100
2019-10-10,110100
2019-10-11,110100
2019-10-12,110100
2019-10-13,110100
2019-10-14,110100
2019-10-15,110100
2019-10-16,110100
2019-10-17,110100
2019-10-18,110100
2019-10-19,110100
2019-10-20,110100
2019-10-21,110100
2019-10-22,110100
2019-10-23,110100
2019-10-24,110100
2019-10-25,110100
2019-10-26,100100
2019-10-27,100100
2019-10-28,110100
2019-10-29,110100
2019-10-30,110100
2019-10-31,100100
2019-11-01,100100
2019-11-02,100100
2019-11-03,100100
2019-11-04,100100
2019-11-05,100100
2019-11-06,100100
2019-11-07,100101
2019-11-08,100101
2019-11-09,100101
2019-11-10,100101
2019-11-11,100101
2019-11-12,100101
2019-11-13,100101
2019-11-14,100101
2019-11-15,110101
2019-11-16,100101
2019-11-17,100101
2019-11-18,100101
2019-11-19,100101
2019-11-20,100101
2019-11-21,100101
2019-11-22,110101
2019-11-23,100101
2019-11-24,110101
2019-11-25,110101
2019-11-26,110101
2019-11-27,100101
2019-11-28,110101
2019-11-29,100101
2019-11-30,110101
2019-12-01,100101
2019-12-03,100101
2019-12-04,100101
2019-12-05,100101
2019-12-06,100101
2019-12-07,100101
2019-12-09,100101
2019-12-10,100101
2019-12-11,100101
2019-12-12,100101
2019-12-13,100101
2019-12-14,100101
2019-12-15,100101
2019-12-16,100101
2019-12-17,100101
2019-12-18,100101
2019-12-20,100101
2019-12-21,100101
2019-12-22,100101
2019-12-23,100101
2019-12-24,100101
2019-12-25,100101
2019-12-26,100101
2019-12-28,100101
2019-12-29,100101
2019-12-30,100101
2019-12-31,100101
2020-01-02,100101
2020-01-03,100101
2020-01-04,100101
2020-01-05,100101
