pattern,n_days,fraction,n_units_on
010110,362,0.1899,3
000101,286,0.1501,2
101100,178,0.0934,3
010101,151,0.0792,3
010001,123,0.0645,2
011111,117,0.0614,5
010111,94,0.0493,4
000001,92,0.0483,1
110001,85,0.0446,3
010100,64,0.0336,2
100110,64,0.0336,3
111111,42,0.022,6
000000,29,0.0152,0
111101,28,0.0147,5
011110,27,0.0142,4
001000,26,0.0136,1
000111,20,0.0105,3
001100,17,0.0089,2
000110,15,0.0079,2
111100,15,0.0079,4
110111,14,0.0073,5
001111,13,0.0068,4
100100,8,0.0042,2
100111,8,0.0042,4
011101,4,0.0021,4
011100,4,0.0021,3
100101,4,0.0021,3
000100,3,0.0016,1
111110,3,0.0016,5
110110,3,0.0016,4
110101,2,0.001,4
001110,2,0.001,3
001101,2,0.001,3
001001,1,0.0005,2
