date,pattern
2019-03-26,001001
2019-03-27,001001
2019-03-28,011001
2019-03-29,001001
2019-03-30,101001
2019-03-31,101001
2019-04-01,101001
2019-04-02,101001
2019-04-04,011001
2019-04-05,001001
2019-04-06,001001
2019-04-07,011001
2019-04-10,001001
2019-04-11,001001
2019-04-12,011001
2019-04-13,011001
2019-04-14,011001
2019-04-15,011001
2019-04-16,011001
2019-04-17,011001
2019-04-18,011001
2019-04-19,011001
2019-04-20,011001
2019-04-21,011001
2019-04-22,011001
2019-04-23,011001
2019-04-24,011001
2019-04-25,011001
2019-04-26,011001
2019-04-27,011001
2019-04-28,011001
2019-04-29,011001
2019-04-30,011001
2019-05-02,011001
2019-05-05,011001
2019-05-06,011001
2019-05-07,011001
2019-05-08,011001
2019-05-09,011001
2019-05-10,011001
2019-05-11,011001
2019-05-12,011001
2019-05-13,011001
2019-05-15,011001
2019-05-16,011001
2019-05-17,011001
2019-05-18,011001
2019-05-19,011001
2019-05-20,011001
2019-05-21,011001
2019-05-22,011001
2019-05-23,011001
2019-05-24,011001
2019-05-25,011001
2019-05-26,010001
2019-05-27,000001
2019-05-28,000001
2019-05-29,000001
2019-05-30,000000
2019-05-31,000000
2019-06-01,000000
2019-06-02,000000
2019-06-03,000000
2019-06-04,000000
2019-06-05,010000
2019-06-06,010000
2019-06-07,010000
2019-06-08,010000
2019-06-09,010000
2019-06-10,010000
2019-06-12,010000
2019-06-13,010000
2019-06-14,010000
2019-06-15,010000
2019-06-16,010000
2019-06-17,010000
2019-06-19,010000
2019-06-21,010000
2019-06-25,010000
2019-06-26,010000
2019-06-27,010000
2019-06-28,010010
2019-06-29,010010
2019-06-30,010011
2019-07-01,010011
2019-07-02,010011
2019-07-03,010011
2019-07-04,010011
2019-07-05,010011
2019-07-06,010011
2019-07-07,010011
2019-07-08,010011
2019-07-11,010011
2019-07-13,010011
2019-07-14,010011
2019-07-15,010011
2019-07-16,010011
2019-07-17,010010
2019-07-18,010010
2019-07-24,010000
2019-07-28,010000
2019-07-29,010000
2019-08-14,010000
2019-08-15,010000
2019-08-16,010000
2019-08-17,010000
2019-08-18,010000
2019-08-19,010000
2019-08-20,010000
2019-08-21,010000
2019-08-22,010000
2019-08-23,010000
2019-08-24,010000
2019-08-27,010010
2019-08-28,000010
2019-08-29,010000
2019-08-30,000010
2019-08-31,000010
2019-09-01,000010
2019-09-02,000010
2019-09-03,000010
2019-09-04,000010
2019-09-05,000010
2019-09-06,000010
2019-09-07,000010
2019-09-08,000010
2019-09-09,000010
2019-09-10,000010
2019-09-11,000010
2019-09-12,000010
2019-09-13,000010
2019-09-14,000010
2019-09-15,000010
2019-09-16,000010
2019-09-17,000010
2019-09-18,000010
2019-09-19,000010
2019-09-20,000010
2019-09-21,000010
2019-09-22,000010
2019-09-23,000010
2019-09-24,000010
2019-09-25,000010
2019-09-26,000010
2019-09-27,000010
2019-09-28,000010
2019-09-29,000010
2019-09-30,000010
2019-10-01,000010
2019-10-02,000010
2019-10-03,000010
2019-10-04,000010
2019-10-05,010010
2019-10-06,010010
2019-10-07,010010
2019-10-08,010010
2019-10-09,010010
2019-10-10,010010
2019-10-11,010010
2019-10-12,010010
2019-10-13,010010
2019-10-14,010011
2019-10-15,010011
2019-10-16,010011
2019-10-17,010001
2019-10-18,010001
2019-10-19,010001
2019-10-20,010001
2019-10-21,010011
2019-10-22,010011
2019-10-23,010011
2019-10-24,010011
