date,pattern
2019-03-26,110111
2019-03-27,111101
2019-03-28,010111
2019-03-29,110101
2019-03-30,111101
2019-03-31,111101
2019-04-01,111101
2019-04-02,111101
2019-04-04,110111
2019-04-05,111101
2019-04-06,111111
2019-04-07,011111
2019-04-10,111101
2019-04-11,011111
2019-04-12,011111
2019-04-13,011111
2019-04-14,011111
2019-04-15,011111
2019-04-16,011111
2019-04-17,011111
2019-04-18,011111
2019-04-19,011111
2019-04-20,011111
2019-04-21,011111
2019-04-22,011111
2019-04-23,011111
2019-04-24,010110
2019-04-25,010111
2019-04-26,010111
2019-04-27,010111
2019-04-28,011111
2019-04-29,011111
2019-04-30,011111
2019-05-02,010111
2019-05-05,010110
2019-05-06,010111
2019-05-07,010111
2019-05-08,010111
2019-05-09,010111
2019-05-10,010111
2019-05-11,010111
2019-05-12,010111
2019-05-13,010111
2019-05-15,010111
2019-05-16,010111
2019-05-17,010111
2019-05-18,010111
2019-05-19,010111
2019-05-20,010111
2019-05-21,010111
2019-05-22,010111
2019-05-23,010111
2019-05-24,010111
2019-05-25,010111
2019-05-26,010101
2019-05-27,010101
2019-05-28,010101
2019-05-29,010001
2019-05-30,000000
2019-05-31,000000
2019-06-01,000000
2019-06-02,000000
2019-06-03,000000
2019-06-04,000100
2019-06-05,000101
2019-06-06,000101
2019-06-07,000101
2019-06-08,000101
2019-06-09,000101
2019-06-10,000101
2019-06-12,000101
2019-06-13,000101
2019-06-14,000001
2019-06-15,000101
2019-06-16,000101
2019-06-17,000001
2019-06-19,000001
2019-06-21,000101
2019-06-25,000001
2019-06-26,000001
2019-06-27,000001
2019-06-28,000001
2019-06-29,000001
2019-06-30,010101
2019-07-01,010101
2019-07-02,010101
2019-07-03,010101
2019-07-04,010101
2019-07-05,010001
2019-07-06,010001
2019-07-07,010001
2019-07-08,010001
2019-07-11,010101
2019-07-13,010101
2019-07-14,010101
2019-07-15,010101
2019-07-16,000101
2019-07-17,000101
2019-07-18,000101
2019-07-24,000101
2019-07-28,000001
2019-07-29,000001
2019-08-14,000101
2019-08-15,000101
2019-08-16,000101
2019-08-17,000101
2019-08-18,000101
2019-08-19,000101
2019-08-20,000101
2019-08-21,000001
2019-08-22,000101
2019-08-23,000001
2019-08-24,000001
2019-08-27,000001
2019-08-28,000001
2019-08-29,000001
2019-08-30,000001
2019-08-31,010001
2019-09-01,010001
2019-09-02,010001
2019-09-03,010001
2019-09-04,010001
2019-09-05,010001
2019-09-06,010001
2019-09-07,010001
2019-09-08,010001
2019-09-09,010001
2019-09-10,010001
2019-09-11,010001
2019-09-12,010001
2019-09-13,010001
2019-09-14,010001
2019-09-15,010001
2019-09-16,010001
2019-09-17,010001
2019-09-18,010001
2019-09-19,010001
2019-09-20,010001
2019-09-21,010001
2019-09-22,010001
2019-09-23,010001
2019-09-24,010001
2019-09-25,010001
2019-09-26,010001
2019-09-27,010001
2019-09-28,010001
2019-09-29,010001
2019-09-30,010001
2019-10-01,010001
2019-10-02,010001
2019-10-03,010001
2019-10-04,010001
2019-10-05,010001
2019-10-06,010001
2019-10-07,010001
2019-10-08,010001
2019-10-09,010001
2019-10-10,010001
2019-10-11,010001
2019-10-12,010101
2019-10-13,010101
2019-10-14,010101
2019-10-15,010101
2019-10-16,010101
2019-10-17,000101
2019-10-18,000101
2019-10-19,000101
2019-10-20,010101
2019-10-21,010101
2019-10-22,010101
2019-10-23,010101
2019-10-24,010100
2019-10-25,010100
2019-10-26,010100
2019-10-27,010100
2019-10-28,010100
2019-10-29,010100
2019-10-30,010111
2019-10-31,010110
2019-11-01,010110
2019-11-02,010110
2019-11-03,010110
2019-11-04,010110
2019-11-05,010110
2019-11-06,010110
2019-11-07,010110
2019-11-08,010110
2019-11-09,010110
2019-11-10,010110
2019-11-11,010110
2019-11-12,010110
2019-11-13,010110
2019-11-14,010110
2019-11-15,010110
2019-11-16,010110
2019-11-17,010110
2019-11-18,010110
2019-11-19,010110
2019-11-20,010110
2019-11-21,010110
2019-11-22,010110
2019-11-23,010110
2019-11-24,010110
2019-11-25,010110
2019-11-26,010111
2019-11-27,010110
2019-11-28,010110
2019-11-29,010110
2019-11-30,010110
2019-12-01,010110
2019-12-03,010110
2019-12-04,010110
2019-12-05,010110
2019-12-06,010110
2019-12-07,010110
2019-12-09,010110
2019-12-10,010110
2019-12-11,010110
2019-12-12,010110
2019-12-13,010110
2019-12-14,010110
2019-12-15,010110
2019-12-16,010110
2019-12-17,010110
2019-12-18,010110
2019-12-20,010110
2019-12-21,010110
2019-12-22,010110
2019-12-23,010110
2019-12-24,010110
2019-12-25,010110
2019-12-26,010110
2019-12-28,010110
2019-12-29,010110
2019-12-30,010110
2019-12-31,010110
2020-01-02,010110
2020-01-03,010110
2020-01-04,010110
2020-01-05,010110
2020-01-06,010110
2020-01-22,010110
2020-01-23,010110
2020-01-24,010110
2020-01-25,010110
2020-01-26,010110
2020-01-27,010110
2020-01-28,010110
2020-01-29,010110
2020-01-30,010110
2020-01-31,010111
2020-02-01,010111
2020-02-02,010110
2020-02-03,010110
2020-02-04,010110
2020-02-05,010110
2020-02-06,010110
2020-02-07,010110
2020-02-08,010110
2020-02-09,010110
2020-02-10,010110
2020-02-11,010110
2020-02-12,010110
2020-02-13,010110
2020-02-14,010110
2020-02-15,010110
2020-02-16,010110
2020-02-17,000110
2020-02-18,000110
2020-02-19,000110
2020-02-20,000110
2020-02-21,000110
2020-02-22,100110
2020-02-23,100110
2020-02-24,100110
2020-02-25,100110
2020-02-26,100110
2020-02-27,100110
2020-02-28,100110
2020-02-29,100110
2020-03-01,100110
2020-03-02,100110
2020-03-03,100110
2020-03-04,100110
2020-03-05,100110
2020-03-06,100110
2020-03-07,100110
2020-03-08,100110
2020-03-09,100110
2020-03-10,100110
2020-03-11,100110
2020-03-12,000110
2020-03-13,000110
2020-03-14,010111
2020-03-15,010111
2020-03-16,010111
2020-03-17,010111
2020-03-18,010111
2020-03-19,011111
2020-03-20,011111
2020-03-21,011111
2020-03-22,010110
2020-03-23,010110
2020-03-24,010110
2020-03-25,010111
2020-03-26,010111
2020-03-27,011111
2020-03-28,111111
2020-03-29,011111
2020-03-30,010110
2020-03-31,010111
2020-04-01,011111
2020-04-02,111111
2020-04-03,111111
2020-04-04,111111
2020-04-05,111111
2020-04-06,111111
2020-04-07,111111
2020-04-15,011111
2020-04-16,011111
2020-04-17,011111
2020-04-18,011111
2020-04-20,011111
2020-04-21,011111
2020-04-22,011111
2020-04-24,011111
2020-04-26,011111
2020-04-28,011111
2020-04-29,011111
2020-04-30,011111
2020-05-01,011111
2020-05-02,011111
2020-05-04,011111
2020-05-05,011111
2020-05-06,011111
2020-05-07,011111
2020-05-10,011111
2020-05-11,011111
2020-05-14,011111
2020-05-15,011111
2020-05-16,011111
2020-05-17,011111
2020-05-18,010111
2020-05-20,011111
2020-05-21,011111
2020-05-23,010111
2020-05-24,010111
2020-05-25,000111
2020-05-26,000111
2020-05-29,000101
2020-05-30,000101
2020-05-31,000101
2020-06-01,000101
2020-06-02,000101
2020-06-03,000101
2020-06-04,000101
2020-06-05,000101
2020-06-06,000101
2020-06-08,000101
2020-06-10,000101
2020-06-12,000101
2020-06-13,000101
2020-06-14,000101
2020-06-15,000101
2020-06-17,000101
2020-06-18,001000
2020-06-19,001000
2020-06-20,001000
2020-06-21,001000
2020-06-22,001000
2020-06-23,001000
2020-06-24,001000
2020-06-25,001000
2020-06-26,001001
2020-06-27,000101
2020-06-29,000101
2020-06-30,000101
2020-07-01,000101
2020-07-02,000101
2020-07-03,000001
2020-07-04,000001
2020-07-05,000001
2020-07-06,000001
2020-07-07,000001
2020-07-08,000101
2020-07-09,000101
2020-07-10,000101
2020-07-11,000101
2020-07-12,000101
2020-07-13,000101
2020-07-14,000101
2020-07-15,000101
2020-07-17,000101
2020-07-18,010101
2020-07-19,010101
2020-07-20,010101
2020-07-25,010101
2020-07-26,010101
2020-07-27,010101
2020-07-28,010101
2020-07-29,010101
2020-07-30,010101
2020-07-31,010101
2020-08-01,010101
2020-08-02,010101
2020-08-04,010101
2020-08-05,010101
2020-08-06,010101
2020-08-08,010101
2020-08-10,010101
2020-08-11,010101
2020-08-13,010101
2020-08-14,010101
2020-08-16,010101
2020-08-17,010101
2020-08-18,010101
2020-08-19,010101
2020-08-20,010101
2020-08-21,010101
2020-08-22,010101
2020-08-23,000101
2020-08-24,000101
2020-08-25,000101
2020-08-26,000101
2020-08-27,000101
2020-08-28,000101
2020-08-29,000101
2020-08-30,000101
2020-08-31,000101
2020-09-01,000101
2020-09-02,000101
2020-09-03,000101
2020-09-04,000101
2020-09-05,000101
2020-09-06,000101
2020-09-07,000101
2020-09-08,000101
2020-09-09,000101
2020-09-10,000101
2020-09-11,000001
2020-09-12,000001
2020-09-13,000001
2020-09-14,000001
2020-09-15,000001
2020-09-16,000001
2020-09-17,000001
2020-09-18,000001
2020-09-19,000001
2020-09-20,000001
2020-09-21,010001
2020-09-22,010101
2020-09-23,010101
2020-09-24,010101
2020-09-25,010101
2020-09-26,010101
2020-09-27,010101
2020-09-28,010101
2020-09-29,010101
2020-09-30,010101
2020-10-01,010101
2020-10-02,010101
2020-10-03,010101
2020-10-04,010101
2020-10-05,010101
2020-10-06,010101
2020-10-07,010101
2020-10-08,010101
2020-10-09,010101
2020-10-10,010101
2020-10-11,010101
2020-10-12,010101
2020-10-13,010101
2020-10-14,010101
2020-10-15,010101
2020-10-16,010101
2020-10-17,010101
2020-10-18,010101
2020-10-19,010101
2020-10-20,010101
2020-10-21,010101
2020-10-22,010101
2020-10-23,010101
2020-10-24,010101
2020-10-25,010101
2020-10-26,010101
2020-10-27,010101
2020-10-28,010111
2020-10-29,010111
2020-10-30,010110
2020-10-31,010110
2020-11-01,010110
2020-11-02,010110
2020-11-03,010110
2020-11-04,010110
2020-11-05,010110
2020-11-06,010110
2020-11-07,010110
2020-11-08,010110
2020-11-09,010110
2020-11-10,010110
2020-11-11,010110
2020-11-12,010110
2020-11-13,010110
2020-11-14,010110
2020-11-15,010110
2020-11-16,010110
2020-11-17,010110
2020-11-18,010110
2020-11-19,010110
2020-11-20,010110
2020-11-21,010110
2020-11-22,010110
2020-11-23,010110
2020-11-24,010110
2020-11-25,010110
2020-11-26,010110
2020-11-27,010110
2020-11-28,010110
2020-11-29,010110
2020-11-30,010110
2020-12-01,010110
2020-12-02,010110
2020-12-04,010110
2020-12-05,010110
2020-12-06,010110
2020-12-07,010110
2020-12-08,010110
2020-12-09,010110
2020-12-10,010110
2020-12-11,010110
2020-12-13,010110
2020-12-14,010110
2020-12-15,010110
2020-12-16,010110
2020-12-17,010110
2020-12-18,010110
2020-12-19,010110
2020-12-20,010110
2020-12-21,010110
2020-12-22,010110
2020-12-23,010110
2020-12-24,010110
2020-12-25,010110
2020-12-26,010110
2020-12-27,010110
2020-12-28,010110
2020-12-29,010110
2020-12-30,010110
2020-12-31,010110
2021-01-01,010110
2021-01-02,010110
2021-01-03,010110
2021-01-04,010110
2021-01-05,010110
2021-01-06,010110
2021-01-07,010110
2021-01-08,010110
2021-01-09,010110
2021-01-10,010110
2021-01-11,010110
2021-01-12,010110
2021-01-13,010110
2021-01-14,010110
2021-01-15,010110
2021-01-16,010110
2021-01-17,010110
2021-01-18,010110
2021-01-19,010110
2021-01-20,010110
2021-01-21,010110
2021-01-22,010110
2021-01-23,010110
2021-01-24,000110
2021-01-25,000110
2021-01-26,000110
2021-01-27,000110
2021-01-28,100110
2021-01-29,100110
2021-01-30,100110
2021-01-31,100110
2021-02-01,100110
2021-02-02,100110
2021-02-03,100110
2021-02-04,100110
2021-02-05,100110
2021-02-06,100110
2021-02-07,100110
2021-02-08,100110
2021-02-09,100110
2021-02-10,100110
2021-02-11,100110
2021-02-12,100110
2021-02-13,100110
2021-02-14,100110
2021-02-15,100110
2021-02-16,100110
2021-02-17,100110
2021-02-18,100110
2021-02-19,100110
2021-02-20,001110
2021-02-21,011110
2021-02-22,011110
2021-02-23,011110
2021-02-24,010110
2021-02-25,011110
2021-02-26,011110
2021-02-27,100110
2021-02-28,011110
2021-03-01,011110
2021-03-02,111110
2021-03-03,011111
2021-03-04,011111
2021-03-05,111111
2021-03-06,011110
2021-03-07,011110
2021-03-08,111111
2021-03-09,111110
2021-03-10,111111
2021-03-11,111111
2021-03-12,111110
2021-03-13,111111
2021-03-14,111111
2021-03-15,111111
2021-03-16,111111
2021-03-17,111111
2021-03-18,111111
2021-03-19,111111
