family,L,unit,n_days,fraction
bernoulli_median,10,h0,220,0.1154
bernoulli_median,10,h1,251,0.1317
bernoulli_median,10,h2,187,0.0981
bernoulli_median,10,h3,221,0.1159
bernoulli_median,10,h4,51,0.0268
bernoulli_median,10,h5,209,0.1097
bernoulli_median,10,h6,89,0.0467
bernoulli_median,10,h7,85,0.0446
bernoulli_median,10,h8,452,0.2371
bernoulli_median,10,h9,141,0.074
bernoulli_median,3,h0,1034,0.5425
bernoulli_median,3,h1,584,0.3064
bernoulli_median,3,h2,288,0.1511
bernoulli_median,4,h0,316,0.1658
bernoulli_median,4,h1,523,0.2744
bernoulli_median,4,h2,949,0.4979
bernoulli_median,4,h3,118,0.0619
bernoulli_median,5,h0,176,0.0923
bernoulli_median,5,h1,284,0.149
bernoulli_median,5,h2,846,0.4439
bernoulli_median,5,h3,251,0.1317
bernoulli_median,5,h4,349,0.1831
bernoulli_median,6,h0,115,0.0603
bernoulli_median,6,h1,842,0.4418
bernoulli_median,6,h2,868,0.4554
bernoulli_median,6,h3,0,0.0
bernoulli_median,6,h4,0,0.0
bernoulli_median,6,h5,81,0.0425
bernoulli_median,7,h0,868,0.4554
bernoulli_median,7,h1,204,0.107
bernoulli_median,7,h2,98,0.0514
bernoulli_median,7,h3,535,0.2807
bernoulli_median,7,h4,19,0.01
bernoulli_median,7,h5,56,0.0294
bernoulli_median,7,h6,126,0.0661
bernoulli_median,8,h0,720,0.3778
bernoulli_median,8,h1,112,0.0588
bernoulli_median,8,h2,166,0.0871
bernoulli_median,8,h3,51,0.0268
bernoulli_median,8,h4,118,0.0619
bernoulli_median,8,h5,583,0.3059
bernoulli_median,8,h6,41,0.0215
bernoulli_median,8,h7,115,0.0603
bernoulli_median,9,h0,102,0.0535
bernoulli_median,9,h1,98,0.0514
bernoulli_median,9,h2,353,0.1852
bernoulli_median,9,h3,390,0.2046
bernoulli_median,9,h4,210,0.1102
bernoulli_median,9,h5,56,0.0294
bernoulli_median,9,h6,282,0.148
bernoulli_median,9,h7,149,0.0782
bernoulli_median,9,h8,266,0.1396
bernoulli_zero,10,h0,2,0.001
bernoulli_zero,10,h1,61,0.032
bernoulli_zero,10,h2,2,0.001
bernoulli_zero,10,h3,491,0.2576
bernoulli_zero,10,h4,968,0.5079
bernoulli_zero,10,h5,116,0.0609
bernoulli_zero,10,h6,10,0.0052
bernoulli_zero,10,h7,47,0.0247
bernoulli_zero,10,h8,10,0.0052
bernoulli_zero,10,h9,199,0.1044
bernoulli_zero,3,h0,850,0.446
bernoulli_zero,3,h1,741,0.3888
bernoulli_zero,3,h2,315,0.1653
bernoulli_zero,4,h0,33,0.0173
bernoulli_zero,4,h1,988,0.5184
bernoulli_zero,4,h2,108,0.0567
bernoulli_zero,4,h3,777,0.4077
bernoulli_zero,5,h0,289,0.1516
bernoulli_zero,5,h1,375,0.1967
bernoulli_zero,5,h2,471,0.2471
bernoulli_zero,5,h3,33,0.0173
bernoulli_zero,5,h4,738,0.3872
bernoulli_zero,6,h0,261,0.1369
bernoulli_zero,6,h1,531,0.2786
bernoulli_zero,6,h2,2,0.001
bernoulli_zero,6,h3,367,0.1925
bernoulli_zero,6,h4,622,0.3263
bernoulli_zero,6,h5,123,0.0645
bernoulli_zero,7,h0,79,0.0414
bernoulli_zero,7,h1,487,0.2555
bernoulli_zero,7,h2,17,0.0089
bernoulli_zero,7,h3,68,0.0357
bernoulli_zero,7,h4,39,0.0205
bernoulli_zero,7,h5,586,0.3075
bernoulli_zero,7,h6,630,0.3305
bernoulli_zero,8,h0,286,0.1501
bernoulli_zero,8,h1,12,0.0063
bernoulli_zero,8,h2,312,0.1637
bernoulli_zero,8,h3,142,0.0745
bernoulli_zero,8,h4,454,0.2382
bernoulli_zero,8,h5,30,0.0157
bernoulli_zero,8,h6,486,0.255
bernoulli_zero,8,h7,184,0.0965
