family,L,unit,n_days,fraction
bernoulli_median,3,h0,433,0.2272
bernoulli_median,3,h1,979,0.5136
bernoulli_median,3,h2,494,0.2592
bernoulli_median,4,h0,187,0.0981
bernoulli_median,4,h1,454,0.2382
bernoulli_median,4,h2,405,0.2125
bernoulli_median,4,h3,860,0.4512
bernoulli_median,5,h0,117,0.0614
bernoulli_median,5,h1,861,0.4517
bernoulli_median,5,h2,596,0.3127
bernoulli_median,5,h3,204,0.107
bernoulli_median,5,h4,128,0.0672
bernoulli_median,6,h0,879,0.4612
bernoulli_median,6,h1,185,0.0971
bernoulli_median,6,h2,57,0.0299
bernoulli_median,6,h3,186,0.0976
bernoulli_median,6,h4,375,0.1967
bernoulli_median,6,h5,224,0.1175
bernoulli_median,7,h0,242,0.127
bernoulli_median,7,h1,315,0.1653
bernoulli_median,7,h2,187,0.0981
bernoulli_median,7,h3,616,0.3232
bernoulli_median,7,h4,163,0.0855
bernoulli_median,7,h5,157,0.0824
bernoulli_median,7,h6,226,0.1186
bernoulli_zero,3,h0,437,0.2293
bernoulli_zero,3,h1,791,0.415
bernoulli_zero,3,h2,678,0.3557
bernoulli_zero,4,h0,148,0.0776
bernoulli_zero,4,h1,31,0.0163
bernoulli_zero,4,h2,752,0.3945
bernoulli_zero,4,h3,975,0.5115
bernoulli_zero,5,h0,6,0.0031
bernoulli_zero,5,h1,682,0.3578
bernoulli_zero,5,h2,237,0.1243
bernoulli_zero,5,h3,132,0.0693
bernoulli_zero,5,h4,849,0.4454
bernoulli_zero,6,h0,54,0.0283
bernoulli_zero,6,h1,25,0.0131
bernoulli_zero,6,h2,585,0.3069
bernoulli_zero,6,h3,308,0.1616
bernoulli_zero,6,h4,119,0.0624
bernoulli_zero,6,h5,815,0.4276
bernoulli_zero,7,h0,153,0.0803
bernoulli_zero,7,h1,333,0.1747
bernoulli_zero,7,h2,805,0.4224
bernoulli_zero,7,h3,25,0.0131
bernoulli_zero,7,h4,482,0.2529
bernoulli_zero,7,h5,83,0.0435
bernoulli_zero,7,h6,25,0.0131
nb,3,h0,883,0.4633
nb,3,h1,226,0.1186
nb,3,h2,797,0.4182
nb,4,h0,797,0.4182
nb,4,h1,351,0.1842
nb,4,h2,312,0.1637
nb,4,h3,446,0.234
nb,5,h0,466,0.2445
nb,5,h1,573,0.3006
nb,5,h2,450,0.2361
nb,5,h3,165,0.0866
nb,5,h4,252,0.1322
nb,6,h0,1570,0.8237
nb,6,h1,330,0.1731
nb,6,h2,0,0.0
nb,6,h3,3,0.0016
nb,6,h4,3,0.0016
nb,6,h5,0,0.0
nb,7,h0,259,0.1359
nb,7,h1,454,0.2382
nb,7,h2,60,0.0315
nb,7,h3,204,0.107
nb,7,h4,94,0.0493
nb,7,h5,597,0.3132
nb,7,h6,238,0.1249
zinb,3,h0,856,0.4491
zinb,3,h1,364,0.191
zinb,3,h2,686,0.3599
zinb,4,h0,927,0.4864
zinb,4,h1,386,0.2025
zinb,4,h2,593,0.3111
zinb,4,h3,0,0.0
zinb,5,h0,827,0.4339
zinb,5,h1,356,0.1868
zinb,5,h2,456,0.2392
zinb,5,h3,254,0.1333
zinb,5,h4,13,0.0068
zinb,6,h0,538,0.2823
zinb,6,h1,126,0.0661
zinb,6,h2,928,0.4869
zinb,6,h3,301,0.1579
zinb,6,h4,0,0.0
zinb,6,h5,13,0.0068
zinb,7,h0,917,0.4811
zinb,7,h1,179,0.0939
zinb,7,h2,99,0.0519
zinb,7,h3,24,0.0126
zinb,7,h4,28,0.0147
zinb,7,h5,128,0.0672
zinb,7,h6,531,0.2786
