,h0,h1,h2,h3,h4,h5
aphanizomenon,0.0024194249361714605,0.0013171331555807346,0.0006212059637393679,0.0023316128777805794,0.0006344590425383137,0.005185912343527647
askenasia,0.0008270148325738844,0.000951144759343014,0.0008932093404497195,0.0003723586817385581,0.000631307122894629,0.0006191184713686384
asplanchna,0.0029946077015420296,0.0023240155948740073,0.006654483223528216,0.0008852998209567343,0.0004687113400434376,0.004815962147079869
asterionella,0.006853994293807673,0.0036152936379958,0.05423387926879575,0.05441048537611115,0.014331063104376752,0.06041439111811937
aulacoseira,0.04995310764993328,0.002063562597794762,0.002403691476742709,0.07356279837715941,0.0014127015806879714,0.12154534556012045
bosmina,0.0006401960476012395,0.00013043840472183078,0.0004802040690030759,8.50212850669255e-05,0.0001050129678383604,0.0002089526318720134
centric_diatom,0.0016068000363071851,0.0021651804902402304,0.06620485977824764,0.036104421018182335,0.0045737136334086685,0.036982882934090945
ceratium,0.005420501992041654,0.0064676162949790375,0.0021347074669656584,0.008172999203589685,0.002791294272285174,0.0038658551861581593
chaoborus,2.3630531575309374e-05,2.749882360049281e-05,3.075368980726907e-05,1.7349253973181325e-05,1.666652838002335e-05,1.1825537823939763e-05
chlorophyte,0.14088008449617084,0.059456639541047226,0.11865748358284632,0.02521079197914839,0.1317274459300345,0.1019144375503276
chlorophyte_colonial_dividing,0.034902815653934764,0.06859374125996799,0.037500869794582434,0.02184687586288007,0.14462104467284687,0.04705067695611009
chlorophyte_elongated,0.0018904428226327278,0.0027814249449639936,0.01151620374478152,0.0019425404756942368,0.005604285195967404,0.005671541492451479
chlorophyte_frame,0.0002849507722704477,0.001545831378874095,0.0016204633699848214,0.0005106171884068572,0.004890402083950406,0.0006976191373271279
chlorophyte_square,0.0050685497673041155,0.007627458819891411,0.007584106586181626,0.0035783017270450946,0.02454499449273366,0.004240118391655778
chroococcales,0.0015719573436586529,0.008727378281320898,0.008406929211410622,0.003508636975193302,0.061518288268830164,0.002481666489654579
chydorus,0.00013437511139439712,1.7173509282764293e-05,8.01430936059152e-05,3.180844573300339e-05,0.00010359145918195233,5.0910708348993657e-05
ciliate,9.086065500263268e-05,7.48770094880528e-05,0.0002627037715198401,4.009855003037298e-05,6.623719283088879e-05,0.00016104323952092798
ciliate_big,9.894202891735526e-06,3.320426107679854e-06,8.118020058089734e-06,7.165912038572052e-06,2.286458337803765e-06,4.544854222398764e-06
ciliate_blue,0.005272604503544992,0.0032744323877070738,0.006881349241973922,0.002886818088517241,0.004708445335476895,0.005247487922153155
ciliate_green,0.0010281879274364866,0.0020548443707060987,0.0009350559290713071,0.0005031701870567567,0.0007501215738482536,0.0017292169785129968
ciliate_round,0.00015262931462646165,6.751294915620952e-05,0.0006266164756702527,0.00020590146528370456,0.00024679152295361737,0.0014683099670104506
closterium,0.0019016923595303495,0.0032640860947433198,0.003303005039658302,0.00616584702423516,0.002871308270765191,0.004190980504139268
coelastrum_reticulatum,0.00011398481684080437,0.00033735842367268483,0.0005495520227134934,0.0008162808395388026,0.0023405116214376266,0.0012010882405012024
coelosphaerium,0.0006882624652456601,0.0021889519096066293,0.0002631615193826957,0.0017910440580867137,0.015039860792824506,0.004052141221130328
coleps,3.544950392798895e-05,2.1929504015065404e-05,4.31604039506461e-05,2.8604133925792113e-05,6.209180811252396e-05,2.2882628186249728e-05
collotheca,0.0002372811340201401,0.0008252133144156857,0.0002269647426697372,0.0005156834358269568,0.0013601760258365246,0.0004207931314234251
conochilus,0.0006445958326509009,0.0006694759767395423,0.0007464583105543156,9.028826514924144e-05,2.9563983935420046e-05,0.0002479082523274939
cosmarium,0.002080025418074454,0.003073771500362689,0.0028378918903491173,0.0015875971163233742,0.0030554886601366162,0.002011815981004943
