,h0,h1,h2,h3,h4,h5
aphanizomenon,0.035797131683926856,0.06772384220974673,0.559789358423842,0.06361838445429277,0.013942109293946837,0.08393221489822418
askenasia,0.0366777710498618,0.020582990848335033,0.024642595480972522,0.02455738087901044,0.02719017335001892,0.09928871328031934
asplanchna,0.033442857107642554,0.0075750705913306725,0.05432543091407213,0.046686503998637184,0.07709449986745723,0.12788471544758687
asterionella,4.282375025360593,6.616506780368194,1.9260037196262052,2.38500263615262,0.6769846512711745,1.0007563111735034
aulacoseira,8.760614336431361,0.8015650091388722,9.305934661718773,4.934399500576139,0.3114008233576922,0.11928807556873755
bosmina,0.019252598441324615,0.010060537227390165,0.012608317769258855,0.005117979556867624,0.009217244157266935,0.010229829356748217
centric_diatom,3.1059494122983216,0.20573723576278247,0.07551911817812419,0.8702335538365262,1.8322360689133794,0.23439087929260508
ceratium,0.18182739334326395,0.12246616254879479,0.36638038885321156,0.27901450954184687,0.052703852892418634,0.49558648321465354
chaoborus,0.0016310874677308703,0.0010763680077175927,0.0011577356135100707,0.0013988452534401642,0.000477196229345891,0.0021950589905065255
chlorophyte,7.4363274223587785,3.6278587571843612,1.5109574289682322,1.8409852652491074,1.1438932332631673,7.658866037755456
chlorophyte_colonial_dividing,2.459394590794362,6.117906850042085,2.4283629394490243,1.8490042838494716,0.7382018628983119,10.846589444965039
chlorophyte_elongated,0.12332112217361738,0.295227250572821,0.4797776466839852,0.16410889976898724,0.28764922148343414,0.4213923857628844
chlorophyte_frame,0.06257962239938963,0.24073478150061514,0.14085693789188866,0.05808450023127854,0.07213544426158779,0.3992948562426886
chlorophyte_square,0.30138362083166165,0.8653527908020875,0.3045226212228095,0.15181102586215517,0.09638795765168669,1.3327461368716311
chroococcales,0.08160104603856061,0.8773219241245047,0.14326244833405347,0.08161554145393372,0.046915868801876086,2.7238781581524654
chydorus,0.023338139939436675,0.005994537846439534,0.0008580550706584159,0.0014647573998438444,0.0017697631895764304,0.0022785734721305143
ciliate,0.003943963951527523,0.004221068878773758,0.003868552579752349,0.004136601747777677,0.0060464151567785045,0.00539955564633102
ciliate_big,0.0008652923366307784,0.0003294409955464853,0.0006191591184334038,0.00025207464161616154,0.00022805316191955622,0.00022054741310655865
ciliate_blue,0.333700723450714,0.32620080570187343,0.2170548276917829,0.23200778905890737,0.11980313962211483,0.2952193276679768
ciliate_green,0.023158025599882833,0.025063842553045865,0.06018451853240212,0.0534914447544643,0.0420876484927247,0.1622810168609623
ciliate_round,0.031438034664829466,0.008092327364123068,0.0028961447137454094,0.01648851085224445,0.007093848675715261,0.006978727610735387
closterium,0.3143558429753196,0.3402501076210178,0.15862722517386244,0.36688168913249664,0.14034697484036204,0.1724077246361634
coelastrum_reticulatum,0.02673675622876683,0.45382463280471924,0.057734365499777694,0.039649271287568726,0.01301152805046433,0.03781036096271626
coelosphaerium,0.022236185790062358,0.5849904516791669,0.1889611134636458,0.05721295570666142,0.0015085744642390451,0.5198204057321704
coleps,0.004170057074735224,0.006138485678771417,0.0008110137677221967,0.0019117701995697732,0.0010617732220074487,0.0017581768720032586
collotheca,0.03229090813841061,0.10768359194481437,0.04006508869788487,0.050602823718499265,0.00929523909277542,0.09729516461899852
conochilus,0.004014223880062042,0.004202886237095683,0.006883335090418238,0.02589584945164808,0.017822740297630795,0.013191367359210301
cosmarium,0.13578663917539335,0.18073971603509606,0.09937233527350516,0.1079921368185731,0.06490727471760176,0.3127446866953982
cryptophyte,4.312928123976801,3.8536800832841314,4.550177272745396,2.8265900533248884,1.7198292850899914,6.337376064036979
cyanobacteria_colonial_blue,2.7692452847443225,0.5600234972975486,0.608054746424918,0.18339981719667556,0.3480704924459834,2.958869664058773
cyanobacteria_colonial_clathrate,0.014446850898349342,0.032739368493558324,0.10464520217996273,0.02162635228390901,0.011233238966755488,0.05785512695687104
cyanobacteria_colonial_probably,1.1571306963538448,7.912087716059744,1.902406442000359,0.4602694684399117,0.12736094975355527,4.391184458560265
cyanobacteria_filamentous,0.3651560785169096,3.411961012813908,0.39452705166573715,1.4661449274456362,0.06640272735411386,0.040181746841783356
cyclops,0.335979176682227,0.42717127589249365,0.532283538267445,0.4279504039767793,0.25167106196738737,0.8266203324244148
daphnia,0.5650336387231402,0.31159654494051786,0.8675436716075736,0.3761873784287483,0.19326642930882276,0.4527427522588434
daphnia_cucullata,0.07426413857229645,0.02063883686320978,0.009105427033025434,0.003001223466072389,0.0036202036441821336,0.02139240257721764
diaphanosoma,0.03643881031667305,0.031483373341385866,0.0013283072805005303,0.00849750471666842,0.0012050981449403578,0.06782611789146169
didinium,0.013656673071487794,0.004144998190398473,0.0016795577442633835,0.005098752661141577,0.004716925028920843,0.010977164757051221
dinobryon,1.1162619849866513,0.28489704952128836,1.0032824388122004,7.853348235181115,0.17983360430887718,17.875521609339298
dinoflagellate_diamond,0.014540144409095951,0.0038388914276300916,0.0016686425699121263,0.015227422948622565,0.006028729128992145,0.0020693597183388548
dolichospermum,0.02685756450761218,0.12778942369488902,0.33336090494451465,0.37638752457135966,0.013032400797904594,0.08440073956344371
eudiaptomus,0.20172943201559523,0.24864940566837743,0.2530898602010276,0.21420489366600692,0.18506592883670647,0.20494392818349436
fragilaria,0.5049359841760283,1.3615750422839874,35.47014980059558,2.4240940654780445,1.320521297269025,3.256319803045785
gonium,0.003915596682302233,0.023765574806358478,0.033409151114161276,0.008797787331427992,0.0021305663855090053,0.0724870733878963
gymnodinium,0.33396752663351664,0.13442661165203612,0.09061512265492248,0.16015788285837723,0.05951607204932489,0.24043865697087555
kellicottia,0.057726915703772835,0.032541132765136295,0.057644662006254024,0.08379626033727726,0.052607906334757065,0.0669562518019313
