,h0,h1,h2,h3,h4,h5
aphanizomenon,0.0006452663145226607,0.001361968474792742,0.00777534176418909,0.001687010059422298,0.0009484973053767522,0.0009275867764236134
askenasia,0.0006611404053045084,0.0004139367132413717,0.0003422798217542221,0.0006512040337289632,0.0018497779361417526,0.0010973009302640056
asplanchna,0.000602829001594165,0.00015233936827992284,0.0007545673841193972,0.0012380163778215175,0.005244825143882593,0.0014133330223647894
asterionella,0.07719256320357763,0.13306205546053596,0.026751736048284538,0.06324466541317011,0.046056023803436534,0.01105997645591332
aulacoseira,0.15791570608886663,0.016119969531010796,0.12925723103026943,0.13084867945147272,0.021184946669088944,0.0013183262423940008
bosmina,0.0003470404654459029,0.00020232364402402722,0.00017512655117902368,0.0001357167911510956,0.0006270594399918378,0.00011305616619192178
centric_diatom,0.0559867351402192,0.004137503426519774,0.0010489426866176947,0.023076548893249574,0.1246490712085405,0.0025903984591585457
ceratium,0.0032775556717174275,0.0024628704925471158,0.005088936929868019,0.007398809139204934,0.003585502121485696,0.005477032495349076
chaoborus,2.9401400320556152e-05,2.164642828808449e-05,1.608067379658594e-05,3.709408898655952e-05,3.246419376923371e-05,2.425895343680128e-05
chlorophyte,0.1340445830067375,0.07295848990645086,0.020986841254801707,0.04881860311864466,0.07782033740474793,0.0846428617144975
chlorophyte_colonial_dividing,0.044332168777405215,0.12303490158856788,0.03372938677303517,0.049031248648102085,0.05022069925152155,0.11987236308067908
chlorophyte_elongated,0.0022229425170257012,0.005937203133493383,0.006663998015771256,0.004351782383752845,0.01956909860039706,0.004657067672921853
chlorophyte_frame,0.0011280379295865487,0.004841325779693724,0.0019564695460633544,0.001540264453855865,0.004907455038670264,0.00441285421805927
chlorophyte_square,0.005432633541386803,0.017402781386740958,0.004229747170615739,0.004025671666413924,0.006557380678624161,0.014729001187337143
chroococcales,0.0014709113205887982,0.01764348808210588,0.001989881517055121,0.0021642523716851967,0.00319173908336157,0.03010326086539142
chydorus,0.0004206849777658623,0.00012055387440241267,1.1918181949098746e-05,3.88419242227877e-05,0.00012039897128026426,2.518192358465477e-05
ciliate,7.109248601488019e-05,8.488831340982632e-05,5.373328018417861e-05,0.00010969295778547413,0.00041134439290929235,5.9673826339188884e-05
ciliate_big,1.5597450711201644e-05,6.625262767121539e-06,8.599973686153415e-06,6.684427147584388e-06,1.551471194227837e-05,2.4374057591611124e-06
ciliate_blue,0.0060151700945154365,0.006560100539511396,0.0030148402099365564,0.006152301372693738,0.00815034172459013,0.0032626512337550497
ciliate_green,0.0004174383009901145,0.000504049420419689,0.0008359487251065039,0.0014184674157931127,0.002863269849873085,0.001793467805982932
