,h0,h1,h2,h3,h4,h5
aphanizomenon,0.4044593949107198,0.05659456280602368,0.14602559578169924,0.16445716673163832,0.12416653256124717,0.07409850015605458
askenasia,0.033042772745960354,0.013674457801571976,0.010484175223108745,0.01757915411393112,0.016374919066857528,0.04516615335396894
asplanchna,0.03392429926573171,0.016264037347583638,0.04238542735155638,0.022184943558322165,0.004459697336243233,0.07837624158681095
asterionella,3.38028281613349,2.09610514135193,0.015066579217744642,0.06703606187868467,0.2776209855779653,0.07912030424102867
aulacoseira,15.088101738802854,0.5598842605851417,13.019592086892414,0.1728345493783173,0.147936390532838,0.1842142250699043
bosmina,0.005911072379149054,0.0029467549874650605,0.024397508246580827,0.0032858519680226007,0.015042344398206562,0.007193137491706439
centric_diatom,0.5001775314717551,4.134061424883559,0.4227629921253641,0.08743556873069501,0.13267657230127358,0.36918954563668854
ceratium,0.5384517970743206,0.025626649719875716,0.022542103751496786,0.11595244355436701,0.052389387690486296,0.03616801192258738
chaoborus,0.001351847862553846,0.0009225085990911067,0.0005101272274690802,0.0008735037717383529,0.0007187166670459828,0.0017614780825272408
chlorophyte,2.777746844020661,2.755752535362936,0.9101111972204389,1.144283523638847,4.689780022893348,8.10207055701089
chlorophyte_colonial_dividing,2.620961366314645,1.672150204658961,0.3877503489503768,1.931476282500251,5.534425495366556,9.429317572211522
chlorophyte_elongated,0.18709753644152027,0.15936902160855598,0.21586933329116487,0.2523153845497481,0.22116834445368969,0.645026882397882
chlorophyte_frame,0.05674093305907975,0.03411996526231401,0.014968232902266405,0.05208117336085481,0.1352724333019786,0.5435346582836333
chlorophyte_square,0.26709360152885914,0.1644749991342145,0.054101356603982916,0.186860566424635,0.8131009295483075,0.9152108649868491
chroococcales,0.17813550838800166,0.05665774611086157,0.007876774679441966,0.1059910832104253,0.858121046931353,0.46982268492633394
chydorus,0.005929687652067178,0.004621323896944893,0.0017748182848779813,0.0006873143086623363,0.008228021244674519,0.003968751001101575
ciliate,0.0033439492764587757,0.004746027086523141,0.00933107555928828,0.005775720995586189,0.0068691678585907825,0.008401760149418932
ciliate_big,0.0006400798362506866,0.00029374353492338647,0.00041455100543721614,0.00012613484847174948,0.0002745675145818507,0.00020744912600119395
ciliate_blue,0.2753025251832801,0.2764473602144722,0.21719870278793266,0.20365706250005303,0.3364900201688591,0.5088878931746972
ciliate_green,0.05772993731434911,0.005799353412114657,0.02410104453133943,0.06335547165415656,0.030272430206658124,0.05722102863118036
ciliate_round,0.02978532459171541,0.06561018936070745,0.03958107713296592,0.011254728680973162,0.025467098876649063,0.04239562621056652
closterium,0.39293160671103866,0.3265659145322879,0.1321136340559436,0.24006910062366515,0.2282723470077911,0.15473554266347667
coelastrum_reticulatum,0.1672346335607528,0.028247343651528874,0.02620916209710573,0.25205535343978086,0.39986770230575786,0.008484501200394673
coelosphaerium,0.41742918840132365,0.003089805758003139,0.0009332149419734901,0.3489043512487784,1.1782874650548507,0.10442458340797829
coleps,0.00338431891870845,0.00567689895854723,0.0008566409001880722,0.0030611109778416073,0.005965227506615324,0.002214059527771518
collotheca,0.049653212518213974,0.020361039300775974,0.006761473333790409,0.04688026338535346,0.07752991039581394,0.14311759240502986
conochilus,0.010207379842882273,0.000979412736486107,0.020120890028319603,0.03898168431146529,0.0022406236364922168,0.0031936694293594275
cosmarium,0.18710387469195988,0.08591693113965584,0.043877426935285756,0.13174301593678778,0.1769750405355595,0.21925618007408856
cryptophyte,5.113125967651979,2.779479293615682,7.363999827044108,3.2111745838578485,6.0635828806346135,12.769090274813442
cyanobacteria_colonial_blue,0.8992168918079142,0.11815514009377485,0.06443888317904763,0.12044886391062604,0.5840261778919477,0.8564997042264001
cyanobacteria_colonial_clathrate,0.09097469017301077,0.011400764092927585,0.0029974071967437204,0.013925338713496651,0.016135230446742747,0.018625437696233486
cyanobacteria_colonial_probably,1.653985152069175,0.05765857176049982,0.10994523315113516,1.2828713652024286,13.288653340411246,0.48147896992745365
cyanobacteria_filamentous,2.209116266508294,4.00099100905031,0.40981374598856923,2.0652543159392938,1.9545949279913877,0.35101139188282465
cyclops,0.6442455755755131,0.33263976586897626,0.551109350101654,0.6524843023909161,0.5850061363438221,1.1048083101562791
daphnia,0.589065574866252,0.05831970657533935,0.39210915064840923,0.20231679632373392,0.25944271007847136,0.1954950716963569
daphnia_cucullata,0.012262496535757512,0.0020589979930078863,0.0012065543308410111,0.0006609519175245542,0.008450620839048064,0.004753559657150923
diaphanosoma,0.029183269388061227,0.006399823526598916,0.0011680035824880844,0.020147690467215994,0.07702270283713374,0.026772579353852452
didinium,0.004529826903945544,0.008458344981141014,0.0021901219708095237,0.002707284177364513,0.004743280771810034,0.012549471798090815
dinobryon,4.080021546757242,0.0846204555658527,0.015324298845999448,0.5561091056995966,0.0161292192753728,0.5807898892196022
dinoflagellate_diamond,0.024213768245007122,0.14942172638403303,0.7951613477323458,0.012684580011430639,0.006682038939382104,0.21001747197453624
dolichospermum,0.49517301745380204,0.05045128225727475,0.028659094558523092,0.1321091586634291,0.04355454968242916,0.08001154276490251
eudiaptomus,0.24146652010316624,0.17748630123272446,0.22462046199868552,0.2508712078414133,0.2838630664526713,0.1696645004650162
fragilaria,14.279765298304048,0.8099575304465787,0.08102487651513074,0.3960373954282677,0.19072260980911362,0.6580203810288546
gonium,0.013118174969383037,0.004992612606217762,0.000837305951013273,0.005279030659826423,0.010862770118105259,0.09068156570214103
gymnodinium,0.22294301989548,0.2798202838806122,0.17226614552294794,0.076453882280528,0.1350326651221659,0.737299533697978
kellicottia,0.10128425145876108,0.08792316201458884,0.16107539841465845,0.08378474285252205,0.02552867998388375,0.17155123692914784
keratella_cochlearis,0.16933300238998303,0.1116400161961259,0.039519164902962464,0.09489487489723782,0.04086639833319535,0.12713918798388596
keratella_quadrata,0.15898227997844824,0.024646153091824233,0.061150331182502404,0.07751902816951427,0.0035359461900683854,0.0932054818887017
leptodora,0.02329555473785173,0.0022738799552129837,0.008285515464033723,0.0075448881412577586,0.023302195602480848,0.012867882639927835
limnoraphis,0.016531188775474825,0.013172227770412636,0.00556751723488358,0.004795195537924536,0.05085131057874376,0.026615637002193056
mallomonas_akrokomos,0.029453451970083793,0.05589797545851242,0.0608301440953712,0.053124869309040104,0.04121814863718972,0.09884339002266813
mallomonas_big,0.5004030471356447,0.7419918676638302,0.08757959241576212,0.1615800416373239,0.25522315637012616,0.4398311276624884
nauplius,0.6390918125587257,0.40425534361340626,0.9129491973626137,0.6515293456019338,0.3967425988275532,1.403710302272174
oocystaceae,1.0875578229001297,0.6781539671692387,0.21356151173923338,0.26972228049570285,6.94042772372567,3.4131468186490688
pandorina,0.10889792873529788,0.05972221934900397,0.03333075132375804,0.04341210339498443,0.01881919191087742,0.08569418602064724
paradileptus,0.328956994272427,0.021503110218325242,0.021400906212772144,0.04148358663552404,0.0397920838943934,0.05096436950220432
pediastrum,0.057222221814858046,0.039076311088070866,0.013953526693568538,0.051487887123128816,0.1159294244351264,0.04301229933468627
