,h0,h1,h2,h3,h4,h5
aphanizomenon,0.006160726485162188,0.0020458790929933773,0.004511130739329046,0.008923599125886385,0.002523391290264962,0.0013250576906410803
askenasia,0.0005033075946824494,0.0004943281816690456,0.000323884897522912,0.0009538612843846303,0.00033278152574422597,0.000807678410930168
asplanchna,0.0005167350087716363,0.0005879408255371002,0.0013094019798491187,0.0012037757118115123,9.063280727391678e-05,0.0014015538973046445
asterionella,0.051488476061457594,0.07577366928526577,0.0004654479119353272,0.003637439189011723,0.005641990337908939,0.0014148595099717513
aulacoseira,0.22982200231393551,0.020239674032878654,0.4022108710620056,0.009378163715249086,0.0030064574703305208,0.0032941891555198864
bosmina,9.003746882915851e-05,0.00010652444549650377,0.0007537058748160784,0.00017829338989820768,0.0003057000953205898,0.00012863043291228484
centric_diatom,0.007618705373629127,0.14944527210694303,0.013060307126420005,0.004744335441275155,0.0026963377333751363,0.0066019885115071114
ceratium,0.00820169908020357,0.0009263968884264973,0.0006963873464659145,0.006291687644324967,0.0010646904755536944,0.0006467702079298669
chaoborus,2.0591349924221126e-05,3.334845190793177e-05,1.575922771953432e-05,4.739712868009212e-05,1.4606217475691415e-05,3.149942408055217e-05
chlorophyte,0.04231064667149411,0.09961975529144729,0.02811582843412184,0.06208989036015899,0.09530869404918191,0.14488432126256373
chlorophyte_colonial_dividing,0.039922489894457264,0.06044780583926071,0.011978670649976748,0.10480370304758334,0.112474116845774,0.16861865949030336
chlorophyte_elongated,0.0028498701292828383,0.005761149714987305,0.006668795151118876,0.013690867900514934,0.004494723840351042,0.011534617156778117
chlorophyte_frame,0.0008642780301025034,0.001233428091371328,0.00046240972479780055,0.0028259730014469006,0.0027490924725532355,0.009719694427982983
chlorophyte_square,0.00406837038689489,0.005945729507658254,0.0016713391341370348,0.01013922847114646,0.016524354521347963,0.016366150362761556
chroococcales,0.0027133604962150584,0.0020481631534399105,0.00024333515088902357,0.005751174948986549,0.017439281996149168,0.008401548757237727
chydorus,9.032101671143858e-05,0.00016705968690165272,5.482899952420349e-05,3.7294314902048596e-05,0.00016721508378020705,7.09707217443514e-05
ciliate,5.093504349692756e-05,0.00017156767558003817,0.0002882624896078853,0.00031339600366386003,0.00013959960053797847,0.00015024348505655475
ciliate_big,9.749697619654346e-06,1.0618754293791672e-05,1.2806616358157391e-05,6.844194424211594e-06,5.579935757195963e-06,3.7096845313432696e-06
ciliate_blue,0.004193408731927348,0.009993501964393657,0.006709863017123414,0.01105062200099571,0.006838364321209904,0.009100127736798348
ciliate_green,0.0008793425453197134,0.00020964515512543808,0.0007445472983914324,0.003437726933455599,0.0006152155910527246,0.0010232482964494072
ciliate_round,0.0004536901364890765,0.0023717917065722255,0.001222767918147773,0.0006106920666066617,0.000517558589807232,0.0007581347860151733
closterium,0.005985135187319317,0.011805274992861306,0.0040813521251794665,0.013026373122269877,0.0046390959010123725,0.0027670400937934163
coelastrum_reticulatum,0.002547318344382996,0.001021134309444849,0.000809672825886385,0.013676758370162915,0.008126365909097889,0.00015172309214301713
coelosphaerium,0.006358282411097065,0.00011169569457362002,2.8829566409927886e-05,0.018931875245681115,0.023945907688782176,0.0018673602980535699
coleps,5.154995398567759e-05,0.00020521845768356188,2.646398445914938e-05,0.00016609873433295322,0.00012122914946680292,3.95926584024264e-05
collotheca,0.0007563178536175968,0.000736046407140729,0.00020888043658328446,0.002543766779404106,0.0015756121765848462,0.0025592834683958836
conochilus,0.00015547883454663394,3.5405522043808183e-05,0.0006215894208375996,0.0021151825181021425,4.5535379401026225e-05,5.71104169426598e-05
cosmarium,0.0028499666735289217,0.0031058752720687995,0.001355493934819052,0.00714849881716337,0.003596599394941128,0.003920822783401746
cryptophyte,0.07788314715210785,0.10047747158515163,0.22749413078139122,0.17424132544094093,0.12322798996779383,0.2283417509868351
cyanobacteria_colonial_blue,0.01369687387899371,0.004271278350114381,0.0019906936531291753,0.006535667603107826,0.011868951642443074,0.015316254954241047
cyanobacteria_colonial_clathrate,0.0013857267015691642,0.0004121347307128165,9.259812070022946e-05,0.0007556018557355129,0.0003279104210761873,0.00033306719311421693
cyanobacteria_colonial_probably,0.02519350585159941,0.0020843427468638298,0.0033965094835308554,0.0696097957945832,0.2700604696519466,0.008609990899150311
cyanobacteria_filamentous,0.03364926433439498,0.14463481032137723,0.012660269434492614,0.11206262381086914,0.03972252196747659,0.006276919820744344
cyclops,0.009813150171163021,0.012024843178347103,0.01702527777179458,0.03540440630338326,0.01188886698171585,0.019756604316870718
daphnia,0.008972648266402337,0.002108242602755751,0.012113325976814304,0.010977897909263226,0.005272559855143116,0.0034959175649727477
daphnia_cucullata,0.00018678237700159458,7.44322552830429e-05,3.7273769036110394e-05,3.5863866991576776e-05,0.00017173889439223044,8.500496998405625e-05
diaphanosoma,0.0004445196301654423,0.00023135199748415192,3.608283079690602e-05,0.0010932324605546673,0.0015653043818069025,0.00047875749301819193
didinium,6.899833439769086e-05,0.0003057670260225072,6.765886824504888e-05,0.00014689976240487153,9.639597031480867e-05,0.00022441444947634133
dinobryon,0.06214689810503283,0.00305900800886347,0.0004734095773606595,0.030174998318049543,0.0003277882582262927,0.010385906701704441
dinoflagellate_diamond,0.00036882417669027875,0.0054015575152659865,0.024564712640133265,0.0006882771322878593,0.00013579664755904305,0.0037556126753277895
dolichospermum,0.007542476603958503,0.0018238010590989164,0.0008853579520234633,0.007168366062722438,0.0008851432753495133,0.0014307969777716057
eudiaptomus,0.0036780186204053897,0.006416084778838635,0.006939141493518589,0.01361250552648017,0.005768845877702588,0.0030340054211148186
fragilaria,0.21750941968990722,0.029279759319508877,0.002503080430119736,0.021489358146543597,0.0038759862462256238,0.011766971863729603
gonium,0.0001998160729798584,0.00018048167958263533,2.58666749046231e-05,0.00028644512317560104,0.00022076012705481946,0.001621602404636233
gymnodinium,0.0033958686202735086,0.010115432299547407,0.005321773215539886,0.004148458900562404,0.0027442197510223866,0.01318467196198384
kellicottia,0.0015427619641016238,0.003178400009415235,0.004976060376595324,0.004546238226889908,0.0005188100802566753,0.0030677447634327526
keratella_cochlearis,0.0025792807034839167,0.004035758273457073,0.0012208552797338434,0.005149084345262412,0.0008305129529780268,0.0022735515356601278
keratella_quadrata,0.0024216184745835833,0.0008909521839774769,0.0018891012718751743,0.004206254709117282,7.185974863607416e-05,0.0016667360381982135
leptodora,0.00035483794632019526,8.220018372245139e-05,0.00025596227360623444,0.0004093926616898587,0.0004735620477953376,0.00023010839380545835
limnoraphis,0.00025180310755981987,0.0004761726934087327,0.00017199586144866274,0.00026019177857115335,0.0010334326937064598,0.0004759509899227769
mallomonas_akrokomos,0.00044863505191071625,0.0020206976370361752,0.0018792098154947934,0.0028826049162245355,0.0008376614464982886,0.0017675552655281434
mallomonas_big,0.0076221404287689625,0.02682281784608056,0.0027055735631120606,0.008767483637051621,0.00518680739949496,0.00786522827135656
nauplius,0.00973464804037983,0.014613728152017693,0.028203502034157855,0.03535258945808075,0.00806285556749929,0.025101683941518745
oocystaceae,0.01656568339861445,0.02451509393256399,0.006597500220335865,0.014635382296176318,0.14104778886471725,0.06103519547377158
pandorina,0.0016587335148611055,0.00215894308384492,0.0010296782290572998,0.0023555811863189896,0.0003824555939363821,0.0015324161756411455
paradileptus,0.005010673735347008,0.0007773319811796739,0.0006611326278049236,0.0022509380697495534,0.0008086800512938187,0.0009113643274202175
pediastrum,0.0008716090215989146,0.0014125987360375976,0.00043106266988635837,0.0027937807372994143,0.0023559915370974073,0.0007691623704332874
pennate_diatom,0.007439792166561875,0.06922404761309742,0.006630416775769303,0.00887362323428676,0.002403556646607721,0.05676025942885024
