,h0,h1,h2,h3,h4,h5
aphanizomenon,0.19215505251384987,0.1029872621142709,0.023733001886403905,0.17119572873295397,0.05796615461508726,0.2826940660896924
askenasia,0.06568299607361966,0.0743704569458542,0.034124815599389194,0.02733996559967254,0.05767818541747097,0.033749339840052024
asplanchna,0.23783709572687,0.18171587452098867,0.2542326895034438,0.06500202046409549,0.04282292817217108,0.2625273686299814
asterionella,0.5443564765188917,0.28268151320825763,2.0719903447890244,3.995021121835506,1.3093305698400695,3.293304773427108
aulacoseira,3.9673650875451996,0.16135093194476063,0.09183236749446624,5.401255498211533,0.12906881730855307,6.625670793211703
bosmina,0.05084551428185219,0.010199040332358501,0.01834606352924584,0.0062425804015542406,0.009594311881747655,0.011390410252067773
centric_diatom,0.12761493061423176,0.16929648284099252,2.5293383414224335,2.6509214825458565,0.41786872573935974,2.0160081505052005
ceratium,0.430505955923725,0.5057059658724139,0.08155590785936588,0.6000921370464575,0.2550213402525807,0.21073520898457285
chaoborus,0.001876779051045528,0.002150145975734236,0.0011749362060471515,0.0012738470460581246,0.0015227059529454698,0.0006446328340507482
chlorophyte,11.188948096631032,4.648942663771722,4.533276314277545,1.8510705383105979,12.035029822070538,5.555552202941422
chlorophyte_colonial_dividing,2.77204399880078,5.363376952897449,1.432710349751282,1.6040792489721805,13.213029169799313,2.564822985794542
chlorophyte_elongated,0.15014234764077794,0.21748092715187906,0.43997337622757066,0.1426285793404464,0.5120249541669565,0.30916664596125437
chlorophyte_frame,0.022631299607969977,0.12086928396421563,0.06190935448397234,0.0374914217132362,0.4468023691396841,0.038028562275859434
chlorophyte_square,0.4025532812134172,0.5963945994538549,0.28974869274122844,0.2627322818576067,2.2425071602732274,0.23113701687126645
chroococcales,0.12484766169197405,0.6823978204637164,0.32118440336960985,0.2576172354989588,5.6205024601429265,0.13528041821118883
chydorus,0.01067231150696668,0.0013428047835802124,0.0030618447065158005,0.0023354949267168144,0.009464438422565207,0.0027752407285953845
ciliate,0.007216315609733952,0.0058546686565481175,0.010036524870938982,0.0029441853572703294,0.006051636281427557,0.008778777036840338
ciliate_big,0.0007858152769362831,0.00025962568206091494,0.0003101467091409679,0.0005261480347661032,0.00020889795659596858,0.00024774875370161837
ciliate_blue,0.4187596730596186,0.25602941142238667,0.2629000429385629,0.2119609696330091,0.4301782337611783,0.28605066942973834
ciliate_green,0.08166052281138554,0.16066924966036317,0.03572355293397214,0.036944635051026964,0.06853344379148744,0.09426294669582572
ciliate_round,0.012122092952224658,0.005278869308997367,0.023939708997020078,0.01511805485908113,0.022547642350543625,0.08004040318426439
closterium,0.1510358059667633,0.25522042990001403,0.12619039322343234,0.45271952502450963,0.2623316684160948,0.22845841601939568
coelastrum_reticulatum,0.00905287787125383,0.026378214122107724,0.02099548290429568,0.05993438898339436,0.21383643297741978,0.065473632400202
coelosphaerium,0.054663035077199454,0.17115518132317914,0.010054013001328547,0.1315051463469559,1.374088534727768,0.22089001940047479
coleps,0.0028154629585870746,0.0017146782528906304,0.001648931285547675,0.0021002223820543783,0.005672901019711676,0.001247376117504762
collotheca,0.018845291741241544,0.06452381792366563,0.008671125166770008,0.03786340452706034,0.12426991898789694,0.02293824373124369
conochilus,0.051194953073950104,0.052346642101863475,0.028518233124916057,0.0066293017574048435,0.0027010576710868248,0.013513956122902035
cosmarium,0.16519933619958116,0.24033964208246997,0.10842087410371981,0.11656731177519838,0.27915896255419714,0.10966796239900208
cryptophyte,18.51383747351116,6.012776379891321,11.378820377266303,3.0083583584393185,8.874364105590534,12.634382471691602
cyanobacteria_colonial_blue,5.193930848512891,1.468339230065843,0.5024652548625357,0.5560844287719866,1.3069477179694537,0.23855406857073463
cyanobacteria_colonial_clathrate,0.015279016976759143,0.039600706389919395,0.006863852268346424,0.08608220730638123,0.035835240192207525,0.012143545855605353
cyanobacteria_colonial_probably,0.7230324443404872,0.890979223674393,0.2998223973057948,1.4565937896113357,12.690490886588261,0.6296794606978503
cyanobacteria_filamentous,0.006273893125363802,0.01919331824664768,0.013554581972926714,0.42748998039250075,0.5279976054864337,0.24249211741492785
cyclops,1.0741501339669264,0.8464346229612274,0.5216056162428007,0.3243793684142684,0.6879972528071469,0.7814416448322006
daphnia,1.1083221311085343,0.40840322396404666,0.13369525185870273,0.3933678486713692,0.26565600277745605,0.4051087234441756
daphnia_cucullata,0.05575054353181672,0.012034980426333596,0.0050143312452305315,0.014299779259198819,0.028220944913226572,0.001918001282393944
diaphanosoma,0.06020864903850705,0.0371174381307374,0.005720226062183889,0.003978778696720045,0.12362916929056253,0.01151685710774052
didinium,0.006207520372449506,0.008244330287212368,0.004856977858340007,0.007067637747767406,0.011373562730409655,0.006225048523337776
dinobryon,3.946176687074892,37.829773697182155,0.11801195714337877,2.741072588425197,1.0165181111370434,1.6603850952374506
dinoflagellate_diamond,0.023677333916542344,0.005209450256462709,0.13625847937555494,0.0089448203511286,0.004800493928021489,0.45090900816068014
dolichospermum,0.02053461330032156,0.1508610888043614,0.009676018285961553,0.41064188040765714,0.09435083303622585,0.2565180313051848
eudiaptomus,0.20945574707390643,0.17863437394952048,0.2238386197277474,0.21901122870677953,0.2390546083162102,0.25796337405515507
fragilaria,0.06874029048730072,1.744494746388863,0.1428026310803939,37.14925152342054,0.9342108410605909,0.6072229323079573
gonium,0.006314392273041465,0.027984489201720024,0.007747275636691952,0.02687888328766248,0.07848806408855125,0.019396743657125824
gymnodinium,0.6802142406583985,0.2578296679547794,0.3874802826895627,0.16556704447875395,0.4226223644748504,0.6129326463138289
kellicottia,0.17063691304978018,0.10524888690176638,0.13719354181886317,0.06698334154786632,0.062493983469612095,0.20605608485326435
keratella_cochlearis,0.09544026473459642,0.2270893092346914,0.06556451124899189,0.17432708142726697,0.11916002703113354,0.13612984870966147
keratella_quadrata,0.2752575367160932,0.3158388135640992,0.06430096247643409,0.12945347705108148,0.03394834214552573,0.21689862892815084
leptodora,0.032459363589184574,0.010376119019824201,0.0022902161603948028,0.015889013321338394,0.03258487739111171,0.010559837844435708
limnoraphis,0.04418067271146513,0.01262916169561056,0.0030065568811625492,0.00848056722921478,0.031186574032719426,0.004647932857390179
mallomonas_akrokomos,0.14024806352364894,0.1641372922489786,0.3394821170516256,0.06749358658553577,0.09668927922906013,0.10153581850710694
mallomonas_big,0.5705493333199123,0.4779774390831956,0.40299326335191615,0.5418905118650956,0.6990674478904656,0.7794523010463807
nauplius,1.81428347113212,1.247198712679293,1.3432410001079162,0.45428093952192394,0.8056493481865012,1.575705639278628
oocystaceae,11.43191694417405,1.79906524201136,1.1288344727303359,0.4975229363245817,8.57619799107787,0.8150723125118197
pandorina,0.030521840551381588,0.07561321996374179,0.038859211526237496,0.1090008520032189,0.057379993305732076,0.13613476383649276
paradileptus,0.11947588429919342,0.12150377328475731,0.01724633074560967,0.3588201275856064,0.10684632953567752,0.088581020336213
pediastrum,0.025969431568833527,0.025733788185803803,0.006856492102780502,0.02013723361590314,0.054756301495400325,0.017903457926976597
pennate_diatom,0.07458745380889001,0.12131506902456374,0.5900574998099741,0.6371626466178916,2.316786744436917,0.6061151439744373
peridinium,0.10729872792623955,0.1701837528044735,0.05621208300122818,0.0759829317051484,0.23214111914078314,0.08738877908633656
phacotus,0.46517405456039745,0.44599001616783024,0.030447747338850886,0.2074443456492079,0.23625854687035944,0.38641151966069776
plankton_x,0.0006099492197209271,0.0005870022151293447,0.000357694812459065,0.0003370569170560671,0.0010775457635794803,0.0003450626196126794
plankton_y,0.04797387052894653,0.023020340446425324,0.07414241044025124,0.04590294142405907,0.05000605748503848,0.06774783075082653
plankton_z,0.12093705071781657,0.1938245623234991,0.019423339128133956,0.05721369230550983,0.3179200322688342,0.13306433664992245
planktosphaeria,0.08122677657223452,0.023189195682314208,0.008056293444187117,0.04447708562846548,0.010806790214420754,0.049269276097827136
polyarthra,0.0856137757258349,0.06843251262066036,0.15814410686781238,0.009339494404597316,0.023147562333458438,0.0978864280254426
protist_like_ciliate,0.6830457354689662,0.4655783166323873,0.22705897464760205,0.16667186859703195,0.5930581553597483,0.25831607283977964
rhodomonas,5.990953786112536,1.1141079522283588,3.8343615160336095,0.513262729431749,1.034552211347011,2.161544734748705
rotifer,2.9905325937538256,3.2287681940901525,1.632528057496158,0.8493907911241346,0.7987307880468133,3.1101088040076394
rotifer_long,0.0026132674974810107,0.004000098814881428,0.003042867822209891,0.0013354021148527576,0.006248942604607351,0.0014074954650663875
rotifer_z,0.0023399238467040236,0.005824400848718791,0.0007877317015394,0.0015286261460602194,0.003332094501112392,0.0009560341851785531
scenedesmus,0.10747783940403424,0.1189274240386555,0.03321766926227559,0.09818868834788234,0.34676489756463535,0.06024530815325124
snowella,0.013489938512708891,0.0019622323502306244,0.0006483916559119841,0.00037760684192346443,0.006352789598807438,0.00041091653090021826
staurastrum,0.09451756684617173,0.1354125773887961,0.09593225848420066,0.12890040365213049,0.10287698285270375,0.0690678562009241
strombidium,0.09080350531281021,0.07514770130948828,0.06526409605907657,0.030212751314672964,0.07572798276153372,0.10418235624961632
synchaeta,0.10527513461889264,0.08303354891419085,0.09174984711501494,0.09402947821322148,0.009241673260021123,0.5165528590337088
synedra,0.1667683149803729,0.1999057931576752,0.10241678099957079,0.1291992523850263,0.06162663299465602,0.1185046212964952
synedra_angustissima,0.15899817998914867,0.019654113350792264,0.05493725053638681,0.14256388617520255,0.029268377388302402,0.5383710551335553
synura,0.004033771892005681,0.007724388453554368,0.0025456271345060135,0.013790159706557371,0.009448285542623504,0.003713321893268286
tetraedron,0.08969118097565923,0.06160725973335971,0.04552400782766658,0.030716528461574546,0.22033618628623042,0.04289772902726359
tintinnid,0.029277021072149165,0.021248412484103012,0.04298779610054984,0.03677415269200353,0.03151258608617114,0.08671663490490647
trichocerca,0.05005326328918291,0.06137238617653135,0.03019871358090018,0.024254053424337008,0.07498040559172417,0.031611650688289146
uroglena,0.10413722888877204,2.6354692653521696,0.6783923601503997,2.428685734915444,7.539022614849758,0.2770225195934097
vorticella_epistylis_like,0.02788157780206804,0.022828836193397,0.05258342475844822,0.06153154717778456,0.06355748662145325,0.07954153101592044
