,h0,h1,h2,h3,h4,h5
aphanizomenon,0.04185420013180651,0.025803692386804772,0.06949920687647636,0.046476576944262944,0.20465455190897455,0.07647156258441594
askenasia,0.009075474677179488,0.014530729703360128,0.022340675174501858,0.047712289017112296,0.023168570967605762,0.023066414612846895
asplanchna,0.030116027820970538,0.007851598422559346,0.03424209773419449,0.04757544153423155,0.02053721963291499,0.03166854260244181
asterionella,0.00799257395887729,0.0025842751487226505,0.015108551620943607,0.040655866657028576,0.0588852867695243,0.04252120082698639
aulacoseira,20.137511780513403,0.16467461554986187,0.7078373906870503,0.26787811520228527,4.410726526679035,9.09585866994424
bosmina,0.033607186031493916,0.009762980139448943,0.005091072305220082,0.023003771667143083,0.027823203158416347,0.007943284243566546
centric_diatom,1.6527531304607046,0.07543941856225592,2.3859085915947587,0.2209080668868005,0.6668845085641593,0.13146163286630222
ceratium,0.04278354400486158,0.13406214992282403,0.1120068064842125,0.11351799701710723,0.21380737393747035,0.5262088324239341
chaoborus,0.0005072887288349809,0.0006125987733466169,0.0007980050938000401,0.001294506396116617,0.0008353625888178719,0.0014889542301307534
chlorophyte,0.9523559440071545,1.5273172668551336,1.3546798640477042,11.916346038752405,3.810710185389208,1.8256861336764043
chlorophyte_colonial_dividing,0.18010389525919854,1.9815269059446965,1.1698183447915345,4.803583121704882,2.6147976818404253,1.08511546068465
chlorophyte_elongated,0.04153471853296402,0.034514054495223566,0.11805006181144223,0.15824338841084004,0.1255616399606394,0.025258755962944943
chlorophyte_frame,0.0019566085511809267,0.01612695358348841,0.026962322232564187,0.0550568515895208,0.04334701515116558,0.008198054388182578
chlorophyte_square,0.02354877482614975,0.26611092463139535,0.08052665715404579,0.5117670117039982,0.32978188480089893,0.13304689120885496
chroococcales,0.005066850062161003,0.2405456693744747,0.02942551312715615,0.29060364142729894,0.15622712601636993,0.22320228752420682
chydorus,0.003761303751654616,0.0004939895342519277,0.0008000151562728591,0.005263871038233688,0.01506720813549029,0.0004621721740427462
ciliate,0.010632116594351855,0.005830153966197417,0.004882748749116545,0.01000964805355096,0.005674458999545039,0.0027480852489244006
ciliate_big,0.0005176370070331389,0.00030540948822841096,0.00020484238779705705,0.0002575255386624614,0.0003275173539117803,0.0006541100089201967
ciliate_blue,0.21992764304983975,0.24667786244335368,0.2138932303215624,0.47158652654887007,0.38897977018462865,0.250460691918485
ciliate_green,0.006155174189519727,0.01239272735660055,0.029404309851425683,0.03943309510458462,0.018029761042919455,0.015170131699513985
ciliate_round,0.0242154213253289,0.0031638987641884483,0.015310602412696205,0.018611186196034427,0.016686204468335977,0.006418814918948304
closterium,0.448564026078915,0.5982132082979067,0.7331699868169861,0.47880728475817996,0.5976733662670677,0.9078728128812986
coelastrum_reticulatum,0.03884119383303676,1.0351800914709848,0.05564839268265395,0.0548030651546018,0.09472736780578277,0.34844879170438536
coelosphaerium,0.001251409682605108,0.14766246626332136,0.025937420177980074,0.13322288911573058,0.12164425113174356,0.09320377372516125
coleps,0.0013799531754589655,0.004239936735481656,0.0024351527542987353,0.0028629100214967408,0.0065807908324224465,0.002152486756389888
collotheca,0.00193520019831806,0.015410706548248604,0.03424356007982604,0.030813796750407282,0.04704482994767932,0.013631805024609417
conochilus,0.017050376997548862,0.008842835405516478,0.008679450350336704,0.008903849782893812,0.0026148547587889334,0.013503555874069983
cosmarium,0.017407467816963316,0.06528855461236012,0.10752178349091444,0.12823065995431301,0.11454375393693834,0.07013656558860307
cryptophyte,6.681515220771037,3.169370164421881,2.6356523276996864,15.762170294936647,5.0266882141952385,4.567964332748333
cyanobacteria_colonial_blue,0.1095065888801927,0.8967051166306406,0.8091002681625239,1.7241709044181694,3.6224260491824984,0.8017916755405423
cyanobacteria_colonial_clathrate,0.0017315226497970685,0.024214395809228028,0.033661202960327596,0.006770966631670053,0.03744186007430928,0.03697448463112157
cyanobacteria_colonial_probably,0.10203960168695433,5.093027603593548,0.2437644169259248,2.5846575496335933,2.7070740243569573,4.4365539600853205
cyanobacteria_filamentous,0.3987168423045343,1.1053833028166944,0.8448896315935935,0.24128956474556895,0.9793290470021357,3.753069971862867
cyclops,0.36637565161247027,0.3509199867029422,0.40510248791973025,0.976616320965311,0.40464980451989546,0.45827043663063316
daphnia,0.27460953017705914,0.22755133661019833,0.16916803327406615,0.2974458375081414,0.5742045350015235,0.5704355471354584
daphnia_cucullata,0.006173157113676033,0.006287725385785359,0.0045105597801720475,0.052535603704066604,0.07209870302324499,0.02331243729681329
diaphanosoma,0.0017172957081433482,0.03738512659200376,0.00877855095609171,0.0968797041352089,0.0436372603261798,0.021582706198859828
didinium,0.002224600120582977,0.0011945410977008625,0.006175092853989206,0.0069148023596537975,0.005792383567433589,0.0023786023689502424
dinobryon,0.020783726732197902,0.14566910549175233,1.4836468358817843,1.203160734251397,0.06531465434321729,3.2031318598473852
dinoflagellate_diamond,1.1598085656174444,0.01165425170406056,0.02481364364598317,0.10155688783712469,0.023217154776100278,0.009910839377637256
dolichospermum,0.038484394153715205,0.04130128998796163,0.3092843158021205,0.0709117296890542,0.17962602639165726,0.3918091591695871
eudiaptomus,0.12347033088705724,0.11460679842982587,0.08976270657968981,0.11794251849393451,0.10187065694782262,0.12507926000095335
fragilaria,0.006561240639776489,0.06070533849796222,0.8576193059170324,0.016698401532692725,0.6662269925221531,0.5333252318360222
gonium,0.00034967554022606915,0.0025297915365383172,0.008287678992450897,0.012607780375744183,0.017757333538771243,0.004392155319876213
gymnodinium,0.2758054205786526,0.11064944191578016,0.1697389257412956,0.7002122909784699,0.28826751151167324,0.16517353730003204
kellicottia,0.16945324441636028,0.04841545774855907,0.09032401894916114,0.13696555271438193,0.06907866282811877,0.08162138083526653
keratella_cochlearis,0.04959967390482313,0.08188046862254578,0.20486223470313042,0.11819428203294885,0.09577380645761205,0.16837685976545508
keratella_quadrata,0.03467666757176826,0.017427682493514583,0.09081373916638347,0.056052338131529114,0.04601157442781752,0.06753667274391972
leptodora,0.005906588104884571,0.011700771438230798,0.004835753483511099,0.017719701295405683,0.02650867361518957,0.01815905694198636
limnoraphis,0.006222991821506556,0.0021840378766790347,0.0010723452647899128,0.013232190298425504,0.13534075281643337,0.0024998755636779437
mallomonas_akrokomos,0.0727348563468956,0.03157719773790466,0.12705131195929983,0.0805309714351713,0.09572220105442611,0.02136958095859503
mallomonas_big,0.37920358852476815,0.3049063904246273,0.49453517159973465,0.8482569769151654,0.5792330678002829,0.5203104387027966
nauplius,0.5990648227906613,0.27942901491542954,0.37878896667571454,1.194316930067877,0.26504680066653935,0.43341846148675756
oocystaceae,0.6183182863156015,3.417710319486865,0.8408871457903919,22.79389648943996,10.41680896337727,3.285315616195126
pandorina,0.01733965001040064,0.017684121874303235,0.10458751756422044,0.04142847609303595,0.08080919124831423,0.026225022461552026
paradileptus,0.020089186076126645,0.0636390792748969,0.12320489755162256,0.05947624566262087,0.24052386320738015,0.2520339582445808
pediastrum,0.010458734597799961,0.06193186879743892,0.037032810738991576,0.053032719851885665,0.07643408280370843,0.027001994959744396
pennate_diatom,0.02668814231773423,0.009746527371106359,0.3460808197058324,0.08893505117115544,0.5049889021720985,0.016622022370557692
peridinium,0.039675761246059,0.10914437150047687,0.1775806802197509,0.31933735544941666,0.19052382028423434,0.07439777141381523
