,h0,h1,h2,h3,h4,h5
aphanizomenon,0.0010424965358270869,0.0010756129125950719,0.0034258036262612194,0.0006149827912783301,0.004650215239144658,0.0017396801435791114
askenasia,0.0002260502143668061,0.0006057055813591754,0.0011012322221455085,0.0006313338590578825,0.00052644244057999,0.0005247464826056854
asplanchna,0.0007501243501814079,0.0003272896189126248,0.001687885486191063,0.0006295230792514794,0.0004666521746807732,0.0007204395056102143
asterionella,0.00019907752718321327,0.00010772410699974385,0.0007447413180207451,0.0005379625609812761,0.0013380071703405743,0.0009673306816267784
aulacoseira,0.5015813515788304,0.006864371974634049,0.03489121687573883,0.0035445904548229643,0.10022170295623409,0.20692508668743528
bosmina,0.0008370814615115349,0.0004069645284087524,0.00025095270505431255,0.0003043882454328494,0.0006322062330020021,0.00018070474051165334
centric_diatom,0.04116646376365215,0.0031446512192077293,0.1176078788861645,0.002923078000190685,0.015153127431311033,0.0029906697942458397
ceratium,0.0010656444580236881,0.005588307959406033,0.005521118025153041,0.0015020816776077845,0.004858188099171837,0.01197092129683279
chaoborus,1.2635452136444112e-05,2.5535847388588242e-05,3.9335826507689595e-05,1.7129040242489698e-05,1.898133124573738e-05,3.387277598776921e-05
chlorophyte,0.023721102526752344,0.0636653913413909,0.06677582952746604,0.15767830228846136,0.08658797183237033,0.04153321584946684
chlorophyte_colonial_dividing,0.004485993909939642,0.08259887363168952,0.05766350592714738,0.06356150023411307,0.05941412939001068,0.024685696965586642
chlorophyte_elongated,0.0010345389483208166,0.0014386996296722413,0.005819006403235432,0.0020938926036430518,0.0028530450270984444,0.0005746208749394736
chlorophyte_frame,4.873483736762864e-05,0.0006722433074768751,0.0013290456888365712,0.0007285178577184311,0.0009849424239390455,0.00018650060170222372
chlorophyte_square,0.0005865484491860392,0.011092689465733725,0.003969376435897115,0.006771753128878924,0.0074933918253481,0.0030267334284619944
chroococcales,0.00012620414727132706,0.010027015675489864,0.00145046302117915,0.0038452969282770717,0.003549834369148171,0.005077712217252765
chydorus,9.368584560079892e-05,2.0591685630228292e-05,3.943490791621033e-05,6.965207674188908e-05,0.0003423611164738954,1.051412743409545e-05
ciliate,0.00026482275812740727,0.00024302680385641663,0.0002406838742861633,0.00013244868069928585,0.00012893656880557633,6.251721788918579e-05
ciliate_big,1.2893205101245282e-05,1.2730828760596977e-05,1.0097234579588976e-05,3.407604109528674e-06,7.4419365513174645e-06,1.4880592939089775e-05
ciliate_blue,0.005477916321182796,0.010282632815414583,0.010543375054203004,0.006240080864261587,0.00883850194466271,0.0056978238413356135
ciliate_green,0.00015331191970648355,0.0005165841139017062,0.0014494178544477488,0.0005217827234833567,0.00040967703272591643,0.0003451109929131061
ciliate_round,0.0006031531546594901,0.0001318854028288193,0.0007547009472911229,0.00024626510789648023,0.0003791483823758379,0.00014602401837254174
closterium,0.011172748297931365,0.024936192917072313,0.03613992896304064,0.0063356266710027495,0.013580493421334579,0.02065353776080385
coelastrum_reticulatum,0.0009674491422799417,0.04315092028522729,0.002743059583207574,0.0007251597298097808,0.0021524204823474297,0.007926991727324632
coelosphaerium,3.116987673657379e-05,0.006155229764701516,0.0012785254982767384,0.0017628188132015356,0.002764033074713975,0.002120327465223613
coleps,3.437161385211417e-05,0.00017673946165946324,0.00012003525667571711,3.7882316469008e-05,0.00014953048211781481,4.8967725293632384e-05
collotheca,4.82016021456672e-05,0.000642386938544736,0.001687957569157079,0.0004077312913593949,0.001068965156675188,0.00031011502473584626
conochilus,0.00042468757970559574,0.0003686087945688843,0.00042783355120850876,0.0001178166455583367,5.9415426307637384e-05,0.00030719743690209365
cosmarium,0.000433581930596137,0.0027215179646783473,0.005300039127639666,0.0016967611293907956,0.00260269368620395,0.0015955629304505946
cryptophyte,0.16642192300400596,0.13211347517803337,0.12991842220365774,0.2085666398411701,0.11421774848416891,0.10391832699230535
cyanobacteria_colonial_blue,0.002727569495972458,0.03737866611412586,0.039882737620395584,0.02281440469920099,0.08230972953914707,0.018240258340283533
cyanobacteria_colonial_clathrate,4.312844011915107e-05,0.0010093639473245486,0.0016592516137739811,8.959411885670053e-05,0.0008507639174178552,0.0008411463628826344
cyanobacteria_colonial_probably,0.0025415831849809204,0.21230009149503362,0.012015806524850292,0.03420045147211484,0.06151085702289404,0.10092882333557268
cyanobacteria_filamentous,0.009931164030596686,0.04607730304848253,0.04164689201199395,0.0031927680519914115,0.0222525754547199,0.08537999076853454
cyclops,0.009125615742615467,0.014627909189399352,0.019968595822819207,0.01292268644903632,0.009194560638613423,0.010425365352193176
daphnia,0.00683992246926573,0.00948535396668108,0.00833874928771212,0.003935833562446933,0.013047228386289139,0.01297705135092242
daphnia_cucullata,0.00015375983499522284,0.00026210042014223657,0.0002223376747139772,0.0006951564493694326,0.001638245933911018,0.0005303433445462782
diaphanosoma,4.277407813534275e-05,0.0015583787117972236,0.0004327184877397067,0.0012819220946228486,0.0009915374521138384,0.0004909930456489705
didinium,5.540992091605824e-05,4.9793797339235824e-05,0.0003043870058732462,9.149736783278316e-05,0.00013161608224688395,5.411171383042005e-05
dinobryon,0.0005176771519145011,0.0060721376028039205,0.07313295991259944,0.015920345157814923,0.001484096972841266,0.07286924322607898
dinoflagellate_diamond,0.02888829336293856,0.00048580115712164193,0.0012231315176624744,0.0013438110648836146,0.0005275463748171203,0.00022546538724698635
dolichospermum,0.0009585620430520133,0.0017216218575215338,0.015245459311554436,0.0009383112166553851,0.004081510415878785,0.008913412924279192
eudiaptomus,0.003075375752536825,0.004777322191506948,0.004424646258917336,0.0015606273956186726,0.0023147322008803496,0.0028454748097637484
fragilaria,0.00016342614638803892,0.0025304690884182532,0.04227437204260595,0.00022095494676333623,0.015138187176672186,0.01213281492542605
gonium,8.709652512798079e-06,0.00010545298719596494,0.00040852208279282016,0.00016682743173185457,0.00040348686241435834,9.991878208411488e-05
gymnodinium,0.006869709482205027,0.004612361933012064,0.008366890119418527,0.009265280222976688,0.006550091177928532,0.0037575945014643656
kellicottia,0.004220709504240894,0.0020181720795191898,0.004452314861729134,0.0018123421184456953,0.0015696237761959443,0.0018568352827088542
keratella_cochlearis,0.0012354193381093166,0.0034131428951921262,0.010098212887196385,0.0015639587563630497,0.00217619794011798,0.003830468080847887
keratella_quadrata,0.0008637199063356122,0.0007264634861411237,0.004476454493984153,0.0007416902368507944,0.00104548724954059,0.001536416996923525
leptodora,0.00014712018431861664,0.00048774030699267294,0.00023836735070893183,0.00023446888905642588,0.000602337142589892,0.0004131071697825353
limnoraphis,0.00015500110851409708,9.104043353710077e-05,5.285879453632675e-05,0.00017508968731089515,0.0030752486341188968,5.687060303950729e-05
mallomonas_akrokomos,0.001811666106071316,0.0013162783496762946,0.006262702335654083,0.0010655940014031194,0.002175025348401456,0.00048614457994415497
mallomonas_big,0.009445131579754027,0.01270985740169469,0.02437697436160988,0.011224222558606492,0.01316148804791509,0.011836736534695266
nauplius,0.014921393803450913,0.011647846831039303,0.018671531287137975,0.01580332304173218,0.006022464001163655,0.009859998486061781
oocystaceae,0.015400955447544313,0.14246539975919742,0.041449598675927,0.3016111557440221,0.23669350783021323,0.07473887219939937
pandorina,0.0004318927374402211,0.0007371530225508512,0.005155401234577818,0.0005481858075877034,0.0018361679674391215,0.0005966028324701154
paradileptus,0.0005003776640335914,0.002652760480463033,0.006073102180225773,0.0007869957294019111,0.005465247284420925,0.005733614664689709
pediastrum,0.0002605041920047501,0.002581596338271878,0.0018254472679921177,0.0007017343407778711,0.0017367555880307933,0.0006142784700735738
pennate_diatom,0.0006647432235302725,0.0004062787036898735,0.017059258377364182,0.0011767976388904358,0.011474492341240932,0.0003781405961499206
peridinium,0.0009882363902562492,0.004549623889603482,0.008753431378461804,0.004225504353499177,0.004329132991382796,0.0016925026935637388
phacotus,0.0002718433855375193,0.0019385060377297902,0.007623633941366189,0.0027041012524712527,0.002352600362500899,0.002289383843988289
plankton_x,6.660611977208488e-06,1.1552492753098767e-05,1.3065809367844695e-05,6.622461514691513e-06,1.2207767801675778e-05,1.1776494789648063e-05
plankton_y,0.002008286320809346,0.0009952409130994015,0.002151568202908871,0.0009059752240075001,0.0009696162069141781,0.000917113791699369
plankton_z,6.980884195748676e-05,0.0004068816052362248,0.0006049153585017794,0.0013703239341807795,0.0007745887644648952,0.0010361555368301827
planktosphaeria,9.237285423338058e-05,0.00010295893249654454,0.000424213813106337,0.00016922519463230182,8.610155422566556e-05,0.00010628337160076905
polyarthra,0.0006427883966164862,0.0002575080504264711,0.0004965184594393189,0.0006161016980299397,0.00010561969627148435,0.0001485036946991835
protist_like_ciliate,0.0020686740218983975,0.005088671844505563,0.014148308703336844,0.009341425724918069,0.009291314070036038,0.005058264671541733
rhodomonas,0.0919911455680174,0.023333691888282066,0.020845021704720253,0.042766895730052955,0.021464277319019544,0.014423773144057513
rotifer,0.008149194623721318,0.00575609219767071,0.023029442281967454,0.011708599590455407,0.0041848812189655485,0.010032514163519364
rotifer_long,1.9614521795379652e-05,5.827490858211584e-05,7.810166332392366e-05,3.7524449609695545e-05,5.6826453470502516e-05,3.353564269261723e-05
rotifer_z,9.89179896505411e-06,3.512126175002005e-05,7.294051004976118e-05,4.6266260185353074e-05,3.0347087908101764e-05,5.086892178075524e-05
scenedesmus,0.00016571644700142277,0.0025866328224195957,0.0009742714458880736,0.001072263368756228,0.0023630470182797263,0.0014364123654418252
snowella,1.949305525066577e-05,2.4355738189193007e-05,2.2971359453381818e-05,0.00012001841633079688,0.0004571597073872756,2.7260914401327792e-05
staurastrum,0.001184327105801515,0.004310040651028587,0.006086004804434848,0.000810461908121004,0.002457342758701284,0.0019995489048446253
strombidium,0.0006522544043671158,0.000755909410123496,0.001587990730700572,0.0010756456946527117,0.0007315106999102974,0.0005168372292043005
synchaeta,0.0013424647045948723,9.361961599753407e-05,0.000981790347545776,0.00019080608553142362,0.0002468486915984886,0.0003055824280169881
synedra,0.00015892298224481997,0.00022869295349792578,0.0006793422667231732,0.000286800914799272,0.0002761094343021694,0.0005629037264589967
synedra_angustissima,0.002009970873641439,3.8917842620114654e-05,0.0008702212847476568,0.00026804466328575753,0.0007753209982348069,0.0005075702939921538
synura,5.5877976288623967e-05,0.00016863719215545135,0.00022961457473301528,3.084186834281274e-05,5.406792648718989e-05,0.00037075057430390634
tetraedron,0.0002505218675607501,0.0016633670234449118,0.0007694072414650361,0.0014356429641098707,0.0015933976763875496,0.0006425225961650509
tintinnid,0.0016639795840301605,0.0007937670696306774,0.0021342341496145742,0.0005721441068955329,0.000749392926859126,0.0006805052434160512
trichocerca,0.00013798508591971503,0.0006331675472977745,0.0006835978907450496,0.00043901656037120465,0.00042399980981242105,0.0002954859761019227
uroglena,0.00014812255509763763,0.012082604208311235,0.0024644997827735246,0.0009782671327011664,0.00014776176777615412,0.06952981415047689
vorticella_epistylis_like,0.0008665660257410324,0.0006647065520331371,0.0016043072899719932,0.0004870439450680949,0.0011555131920377838,0.0003782050591002976
