,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
aphanizomenon,0.2876473,-1.966427,-1.08881,-0.11021246,0.8501903,-2.647021,2.1005616,-0.45675975,0.7805768,-0.5245065
askenasia,0.52319854,1.0890576,0.7445983,-1.4675431,-0.86826026,-0.9952877,0.19854224,-0.12930502,-1.3117232,-0.5749314
asplanchna,-1.7641846,0.71188664,-0.13498203,-0.46063584,2.3365843,-0.20181458,1.5333498,-1.8980194,0.012084712,-0.9079084
asterionella,0.5935894,-1.3603734,-0.1981114,-1.634794,-1.8150753,1.9257938,2.9315572,-1.1762784,0.9044738,-2.1857023
aulacoseira,1.776122,-1.6194316,0.33426946,0.84905726,-1.1808637,-1.2527024,2.356896,-1.8060675,-0.55097765,1.7271641
bosmina,-0.83351254,-1.3715718,1.078865,-0.041354585,-0.08392217,-0.5981161,0.5747703,-0.43201476,-0.82875234,2.9593341
centric_diatom,2.8973217,-0.65685,-0.6901849,-1.0294908,-3.245911,1.4462668,0.3929136,-2.4582062,-1.0461491,0.4877492
ceratium,1.6594112,0.58291996,-2.9420996,0.24500282,-0.73226243,-2.783705,2.3205948,1.087649,-0.1221416,0.071316935
chaoborus,-0.68410444,1.0188218,-0.7902943,0.73752105,0.15603895,-1.4355345,0.4988042,0.42884317,-0.15415967,0.3547345
chlorophyte,-2.830665,2.2516227,-1.5409647,-1.161036,-1.5583924,1.2975405,1.7196339,1.4997665,-4.6718984,-1.4381777
chlorophyte_colonial_dividing,-5.655269,1.3633295,-3.838989,-2.8234644,-2.9985595,1.4007739,-0.86439997,2.7528908,-1.4792022,-2.431296
chlorophyte_elongated,-1.9397265,-0.96051764,-2.3616536,-1.3575922,0.19042891,0.7222613,-0.08607662,1.206317,1.2217151,-0.09841633
chlorophyte_frame,-0.77356654,0.38365293,0.03008549,-2.6095057,-0.060750607,-0.4490236,-0.5771843,1.994195,-2.0318837,-1.4127423
chlorophyte_square,-3.16252,-0.8615845,-3.6039333,-1.4757472,-0.538857,0.11865089,-0.008119704,2.2587993,-1.9850824,-2.1853127
chroococcales,-2.665169,-2.0035708,-2.9377158,-0.24686061,-2.1892204,-0.6160738,-0.9547956,1.7946627,-1.606304,-0.16713919
chydorus,-1.3392211,-0.683699,0.051332954,0.5072411,-2.1897721,-1.5668099,-0.46571705,-1.0008612,-1.2116212,1.4392921
ciliate,0.27222744,-0.28086278,-1.1051126,-0.3792167,0.03361966,1.081237,-0.12550771,0.17530255,0.093869746,0.34300524
ciliate_big,1.2152019,-1.1491414,-2.4931743,0.9855315,-0.49020806,-2.8115792,1.0585115,0.021510895,-0.050989382,0.8252301
ciliate_blue,0.30445066,-0.45178357,0.28609544,0.45289418,0.8324262,-1.190147,-0.6325156,0.8170493,-2.4053838,-0.8365203
ciliate_green,1.0536429,4.0226316,-0.15683506,-0.9339301,-1.2059523,-3.827824,-0.47763783,0.59071165,-1.7616534,-1.0365573
ciliate_round,0.23993419,-2.4226935,-0.29653636,-0.9204055,-0.089573026,-0.20353602,1.2074276,-1.2941257,0.7013429,-0.2628561
closterium,-0.20214032,-1.8210032,0.4086228,1.9917527,-3.469783,1.5291518,0.89008904,0.615662,0.12846246,-0.99203694
coelastrum_reticulatum,-1.6100974,-1.6197666,0.5754393,0.4918776,-1.4097277,-0.73465365,-0.32753137,0.8624149,1.4541872,-1.4958179
coelosphaerium,-1.3861346,-1.1376433,2.0170982,-2.6850436,-0.8365197,0.17133984,-0.29208907,3.1427224,0.43620643,-1.6524764
coleps,-0.3398488,-2.835988,-0.5115402,0.34623933,-0.96464455,-0.5416207,-0.64821684,0.42165884,0.27593428,-1.1780356
collotheca,-0.18702759,-1.6265391,0.23979595,-1.1290444,-0.9862789,-2.7713497,-0.29031786,2.1581767,0.87723833,-1.345601
conochilus,1.1823424,0.115501314,-1.0563562,-2.02184,1.4446393,-1.8904871,1.1509073,-1.5936537,0.82342017,1.0585314
cosmarium,-2.6696694,-0.71241105,-2.166432,-0.67326796,-2.7978082,-0.115368456,-0.5217491,1.1950897,0.21717486,0.6022837
cryptophyte,-2.750383,-1.1667763,-3.3563282,-0.26553565,1.4709605,-0.28858313,0.52736056,-0.072641924,-1.6813993,0.46905375
