,h0,h1,h2
aphanizomenon,-1.847549,-0.15877922,-0.49713394
askenasia,-1.0603651,-1.4269799,0.5340913
asplanchna,0.3875123,-1.1071886,-0.33715284
asterionella,0.04553312,0.5317635,1.5142452
aulacoseira,0.17339528,2.1906247,0.40147725
bosmina,0.24621259,0.48953047,-0.5566602
centric_diatom,1.0946999,1.5881749,0.705474
ceratium,-1.9403366,-0.9242523,0.14868408
chaoborus,-1.7343509,-1.1197535,-0.6410186
chlorophyte,0.5501149,-3.3316023,4.774262
chlorophyte_colonial_dividing,-1.775778,-3.7960424,4.2737474
chlorophyte_elongated,0.293789,-2.052265,1.3896673
chlorophyte_frame,-1.1075716,-3.658789,2.4554155
chlorophyte_square,-1.2269076,-3.1949146,4.3151903
chroococcales,-1.8879048,-1.1008558,3.7482085
chydorus,-1.4953029,0.5782994,0.3008221
ciliate,1.3281795,-0.3677267,0.44378176
ciliate_big,-3.4086032,0.94093966,-1.4198573
ciliate_blue,-0.32987118,-0.26717907,1.4346442
ciliate_green,-2.5019968,-3.3261015,-0.3338078
ciliate_round,-0.009990581,1.0304964,0.70183486
closterium,-0.7693334,3.0513031,2.470508
coelastrum_reticulatum,-2.0250075,1.2357075,1.4417927
coelosphaerium,-2.1487925,-1.4546523,1.9856675
coleps,-1.2898817,0.78446805,1.279472
collotheca,-3.2131996,-0.8082899,1.4758434
conochilus,-0.3177768,-2.092985,-2.6980348
cosmarium,-1.7504259,-1.0805025,2.7259965
cryptophyte,1.2870605,-2.7738657,1.8904551
cyanobacteria_colonial_blue,-1.6097715,-0.8979631,2.2764482
cyanobacteria_colonial_clathrate,-2.7749987,-0.32105607,1.2367861
cyanobacteria_colonial_probably,-3.3719044,-1.2117906,2.3931203
cyanobacteria_filamentous,-1.8092546,1.3947619,1.0250186
cyclops,-0.41506082,-2.9379785,0.72709596
daphnia,-3.6487808,-1.6960422,-2.6335611
daphnia_cucullata,-2.0711186,0.8684771,-0.2617052
diaphanosoma,-1.5185589,-0.22321434,0.9429885
didinium,-0.049542014,-0.00083107187,1.2698272
dinobryon,-5.053396,-4.5446796,0.09279697
dinoflagellate_diamond,3.373934,3.4912412,-0.4994369
dolichospermum,-1.3476532,0.060473297,1.5454911
eudiaptomus,-0.23420227,-0.5185657,-0.6185699
fragilaria,-1.9948615,1.5567493,0.8990078
gonium,-1.937,-3.92548,1.9182441
gymnodinium,1.0121232,-0.0149163725,2.6674552
kellicottia,1.5096906,-0.93011546,0.69915736
keratella_cochlearis,-1.2287341,0.15454166,1.157591
keratella_quadrata,0.20902552,-1.1093309,-0.3556621
leptodora,-2.045942,-0.23483023,0.148075
limnoraphis,-1.6969435,0.2802261,-0.24989101
mallomonas_akrokomos,1.2402174,-1.5084147,0.59487337
mallomonas_big,-2.0806475,0.8278724,1.2262809
nauplius,2.3220038,-4.8329864,0.349162
oocystaceae,-1.2108805,-2.1715572,2.5306315
pandorina,-1.0984821,1.1498439,1.7086383
paradileptus,-2.948149,-0.12684737,-0.50130826
pediastrum,-2.9219937,0.26278117,2.239965
pennate_diatom,0.74018574,-0.49930254,0.7622882
peridinium,-0.18054974,0.24418752,2.522258
phacotus,-1.1564945,-2.3677022,2.072765
plankton_x,-0.80557305,-1.4555974,0.9970726
plankton_y,0.60988176,0.63323176,1.5863372
plankton_z,-1.0041951,-2.140471,2.1736732
planktosphaeria,-0.05274246,-1.1143838,0.7616439
polyarthra,1.1225436,-2.6895032,0.43326035
protist_like_ciliate,0.22108313,-0.4591703,2.5125384
rhodomonas,3.3498936,-2.8022368,0.37172252
rotifer,-0.103665434,-3.2937875,-0.3110716
rotifer_long,-0.42678332,-1.9126359,0.25053576
rotifer_z,-1.854449,-1.0410515,1.1906607
scenedesmus,-2.644525,-0.5247217,1.632402
snowella,-4.25116,-1.5655245,1.8272958
staurastrum,-0.95157593,0.6877962,1.0827812
strombidium,0.8446104,-1.6371777,1.0148145
synchaeta,-0.66633475,0.849128,-0.80217445
synedra,-0.9765908,-1.0701072,-0.9649879
synedra_angustissima,-0.9455539,1.7924277,0.24353996
synura,-1.8441828,1.6105965,1.0931523
tetraedron,-1.7006581,-1.454776,2.397538
tintinnid,0.45372665,1.1876563,1.1825366
trichocerca,-1.1388948,-2.128216,0.28317177
uroglena,-3.61389,-2.5292969,-0.86902976
vorticella_epistylis_like,-0.14875637,0.81935126,1.5682837
