,h0,h1,h2,h3,h4
aphanizomenon,-0.32805595,-1.8569283,-0.94188267,-1.9732003,-0.60375065
askenasia,-1.5366863,-0.48877516,0.39050493,-1.0441037,0.47789466
asplanchna,-0.8672804,-0.29777312,1.7122308,-0.14029606,-2.2936964
asterionella,1.0173774,-3.1649592,0.6236194,1.1905141,0.09340059
aulacoseira,0.83945024,-0.98178864,-2.3020585,-0.18714787,-0.17158963
bosmina,0.21585602,1.0744076,-0.9126599,-0.02794623,0.316782
centric_diatom,0.22138223,-1.4699994,-1.374717,1.3991493,-0.37753808
ceratium,-1.2306916,-2.136384,-1.5409197,-2.2253525,0.40306637
chaoborus,-1.1606824,-0.37584525,0.18361585,-1.7047716,-0.48984998
chlorophyte,-4.034621,-6.66276,1.6992639,1.2519116,2.7065566
chlorophyte_colonial_dividing,-2.3704429,-3.0599136,4.0435104,-0.2227706,3.4183662
chlorophyte_elongated,-0.25033498,0.2297084,2.860531,0.4828707,0.8107868
chlorophyte_frame,-2.2076266,-1.6393389,2.4984965,-0.24448666,2.2944324
chlorophyte_square,-1.2630978,-4.729892,2.924916,0.7448797,3.6248121
chroococcales,0.9062922,-2.2028263,2.4845,0.32495674,3.63402
chydorus,0.26255116,0.36871195,-0.33040696,-1.2690715,0.6786047
ciliate,-0.41956708,-0.0389997,0.17678855,1.3027174,0.08607922
ciliate_big,-0.6409899,-2.6014025,-3.0228424,-2.7998164,0.25030854
ciliate_blue,-0.9133146,-0.5810964,-0.55736303,-0.28722173,1.5589378
ciliate_green,-2.6930804,0.5327545,2.209787,-3.395389,-0.14491582
ciliate_round,1.2536927,-1.537245,0.116227195,0.27169833,-0.34083447
closterium,2.2224655,-1.8561279,-0.7801753,0.33887476,1.6632733
coelastrum_reticulatum,3.0726733,-0.9559868,1.8197042,-1.3219391,1.2064918
coelosphaerium,-0.037936803,-1.3209051,1.4739268,-1.1895412,2.3528209
coleps,1.1338216,-1.6968805,0.28834274,-0.24768072,1.2280705
collotheca,1.2464231,-0.011549577,1.7579906,-2.5445166,2.6573613
conochilus,-1.8119895,0.26688027,0.069343254,-1.3947123,-2.8866525
cosmarium,0.1690927,-0.8755144,1.7221501,-0.5191321,2.2729979
cryptophyte,-2.0620992,-1.1202044,1.1001769,0.88459355,0.72708654
cyanobacteria_colonial_blue,1.3374423,-2.6564977,3.883228,-0.7038896,0.522362
cyanobacteria_colonial_clathrate,1.1682774,-2.7334878,3.1167514,-2.367296,-0.27703962
cyanobacteria_colonial_probably,1.0444684,-2.591963,2.8008008,-2.3077223,2.2064729
cyanobacteria_filamentous,1.6476191,-1.589897,-0.690313,-1.3855511,1.1408337
cyclops,-1.7145635,-0.77149266,1.9637729,-0.4619534,0.18395063
daphnia,-1.2097634,0.7273508,0.30836916,-3.998653,-1.4632028
daphnia_cucullata,0.8225047,1.3896018,-1.2566323,-2.7177343,1.4390205
diaphanosoma,0.733904,-0.4421783,0.88958704,-1.0759896,1.1704279
didinium,-0.594149,-1.2394905,-0.53303814,0.5462631,1.0989723
dinobryon,-1.6091739,-1.2607654,3.665822,-4.335911,0.9265512
dinoflagellate_diamond,1.6214597,-1.1822422,-3.1245844,3.5555089,-2.1146977
dolichospermum,0.35538676,-1.0284203,-0.25016797,-0.93183345,1.6383857
eudiaptomus,0.39332497,0.5698074,1.098438,-0.40793562,-0.647935
fragilaria,2.1984377,-2.507945,0.36565328,-1.1104658,0.32219857
gonium,-2.0783587,-1.1897097,2.2259498,-1.6933287,1.500979
gymnodinium,-1.8897709,-2.7361922,-2.1303928,1.9615711,2.553625
kellicottia,-0.81777394,-1.9824232,0.53019446,1.6373733,-0.8353338
keratella_cochlearis,0.14072765,-2.0115666,-0.102269515,-0.7623132,0.5163743
keratella_quadrata,-1.6607066,-1.1093127,-0.10510888,-0.36110073,-1.6800001
leptodora,-0.6453315,-1.1311431,-0.90759504,-2.1237984,0.59120727
limnoraphis,-0.44346848,-1.105631,-1.6253164,-2.162533,0.10965627
mallomonas_akrokomos,-1.4050281,0.70351994,0.8544574,1.4541191,0.8740597
mallomonas_big,1.1827519,-0.7365522,0.16992894,-1.1186327,1.7690301
nauplius,-3.1239963,-0.45058724,2.0337815,1.6513233,-0.53630614
oocystaceae,-2.5014112,-2.120363,-0.40122488,-0.86541647,2.7849417
pandorina,1.7639134,-2.3749237,1.0574646,-0.27409136,0.38312718
paradileptus,0.048212312,-2.3667605,-1.8281387,-3.341117,0.5181547
pediastrum,1.8759043,-0.7628005,1.8781705,-1.6328356,2.035784
pennate_diatom,-1.2508711,-1.7600478,-0.6008225,0.70786273,-0.40666014
peridinium,-0.6925358,-1.9325795,-1.5898563,1.5229992,3.736254
phacotus,-3.1286724,-2.7556574,1.0342069,-0.88139105,0.9611742
plankton_x,-1.3876946,-0.7689705,0.14483449,-0.24839336,1.2954992
plankton_y,0.14675063,-1.7436852,-0.26766947,1.0969964,0.5439224
plankton_z,-2.1444378,-2.196985,0.8701861,-0.40515992,1.4784547
planktosphaeria,-1.1176486,-0.50256115,0.53923154,0.24220075,0.31314287
polyarthra,-0.45664412,-0.22303155,3.1549072,1.5505571,-0.19103615
protist_like_ciliate,-1.2135279,-2.6141436,-1.1407546,1.4743558,3.034143
rhodomonas,-2.7028017,-0.34084076,0.359465,2.7603369,-0.492128
rotifer,-1.1869786,-0.28515968,2.882328,-0.024256412,-0.79168093
rotifer_long,-1.4131854,0.6897752,0.19485648,-0.50209653,1.0664136
rotifer_z,-1.1396345,-0.67349464,0.35211918,-1.4064101,1.2644923
scenedesmus,0.078105986,-1.4731792,-1.1486742,-2.4744616,3.2171767
snowella,-1.339507,-1.2467536,-0.43125084,-3.5287838,2.8756955
staurastrum,1.663583,-1.626675,1.399527,-0.03730372,0.38605216
strombidium,-1.855449,-1.598469,-0.037894484,0.8763496,0.32848248
synchaeta,0.31822762,0.40111864,-0.15779556,-1.2696702,-1.4696037
synedra,-0.7803201,-0.652349,0.62981457,-1.5181098,-1.8467989
synedra_angustissima,1.0089481,-0.30917108,-1.5526382,-1.0931997,0.4936904
synura,2.1142228,-0.0045420974,0.7213043,-1.2588626,1.0129542
tetraedron,-0.6677645,-2.0474398,0.9283845,-0.53642315,2.3893986
tintinnid,0.87458235,-1.8753003,-0.48067367,1.057306,0.31452903
trichocerca,-2.0319636,-0.308211,0.44016865,-0.68258584,0.9770536
uroglena,-0.9987111,-0.5451915,2.0631037,-3.0440826,-0.26206413
vorticella_epistylis_like,0.5124404,-2.663686,-1.0486435,0.5393834,1.2347554
