,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-1.8590444,-3.3592494,-1.304827,1.3424345,-3.5473614,0.5312861,-0.050946634
askenasia,1.0349492,-1.1881593,0.4867913,-1.7021993,0.15095243,-0.06819984,-1.4299685
asplanchna,0.6652817,0.29117185,-1.8670317,-0.13077246,-2.215052,1.1896123,0.4565294
asterionella,-1.6060067,-1.1458203,-1.4247903,-0.5129955,0.3648306,2.3086581,-0.17514522
aulacoseira,-2.0118935,-1.0419825,-1.451432,0.07140931,0.3480907,-1.9925487,0.00024550952
bosmina,-1.5460415,1.7966882,0.1806382,-0.15722701,-0.80607575,-2.7260563,0.16489531
centric_diatom,-1.1525725,-0.42494994,-2.0728552,-0.36064577,2.0415442,0.013641704,-1.7705548
ceratium,-0.42325824,-4.10198,0.71687454,0.9413578,-1.4086506,0.015922463,-1.8132415
chaoborus,0.88368607,-1.0970391,0.67804503,-0.25923854,-1.8428103,-0.7953176,-0.102770396
chlorophyte,-0.9138997,-0.008705693,1.2525164,-3.8926108,-1.6117284,0.8022884,-6.854131
chlorophyte_colonial_dividing,0.48107132,0.31772384,3.3817549,-4.3094416,-0.6229193,1.8771522,-2.223397
chlorophyte_elongated,-0.37319875,1.8767756,1.2051868,-0.971491,-1.3520317,1.4956421,0.13060598
chlorophyte_frame,-0.03824601,0.40114054,2.2460895,-2.5276642,-1.6927755,0.6148111,-2.6674795
chlorophyte_square,-1.3130815,0.1570144,2.8577063,-3.3619866,-1.5594386,2.074136,-1.641659
chroococcales,-1.7467211,-0.10552446,2.8845198,-2.6888804,-0.18308377,1.3937917,-0.19834588
chydorus,-0.7081336,-0.59177834,0.24015428,-1.6883175,0.13732779,-1.5709962,0.10979919
ciliate,-0.38203624,0.9044376,-0.2623773,0.6703458,0.15111037,0.93747014,-0.8384709
ciliate_big,-2.4376607,-1.8611348,-0.061176587,1.0590155,-3.2768273,-1.6405578,-1.5616614
ciliate_blue,-0.5535765,-0.19666833,1.1382923,-1.0014406,-0.2897119,-0.56648743,-0.21730244
ciliate_green,3.9334517,-3.281777,2.1966424,-1.5705703,-0.6547608,-0.86915916,-2.039017
ciliate_round,-1.9916725,0.025081651,-1.53158,-0.7559917,-0.49418947,-0.018066991,0.34882805
closterium,-2.0851316,-1.3821944,0.21297604,-0.84525824,2.732645,0.5618403,0.43933445
