,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
aphanizomenon,0.5830286,0.5019861,0.31500506,-0.7832015,-0.4653875,-0.063731164,-2.0163581,1.7797626,0.25349337,-1.508973
askenasia,-1.0553241,-0.6108686,-0.7279397,-0.91035545,-1.102421,-0.5475852,1.8133111,1.212011,-0.5173988,0.9523418
asplanchna,1.2612684,0.9140686,-0.602177,-2.5140154,0.9170818,-0.9284191,-0.33970448,-0.40809417,-0.88574755,-0.39725035
asterionella,1.4719586,-0.261862,0.19907856,-1.1164926,-0.8760817,-0.35718223,-2.1082609,1.081178,-0.80192125,-0.11095225
aulacoseira,-0.050900817,0.0619517,-1.3327081,-1.0676862,0.62137526,-0.17397152,-2.4795744,0.7218073,1.785807,0.77968395
bosmina,0.9457589,0.1979255,-2.610387,-0.30948925,1.7654877,0.537928,-0.49076,-1.616639,-1.8961204,1.1738663
centric_diatom,0.15849814,0.093412176,0.0035932977,0.68181014,0.50588727,-0.65618783,-0.89970267,-0.746338,0.4793467,0.16766466
ceratium,0.20653906,-0.9710059,-0.9959648,0.4304746,-1.7501087,-0.24978718,1.499241,1.2478181,-0.61153436,-1.6325061
chaoborus,0.3366964,-1.5258085,-0.39451304,-0.30468008,0.8289696,-0.5917361,1.0585794,0.6711705,-0.72671264,-0.8781962
chlorophyte,1.3568339,2.4222455,0.71976113,0.7956714,1.7300339,-2.4974313,1.0623618,-2.1881676,2.3531127,0.24878964
chlorophyte_colonial_dividing,1.6633271,2.4491642,0.6272114,0.7191733,2.3340676,-2.2802284,1.0016798,-2.114077,2.5068202,0.03483506
chlorophyte_elongated,-0.30868226,0.48443633,1.8863201,-1.8080616,-0.89958024,1.5868146,0.49328986,0.69435483,-0.6229947,0.27817073
chlorophyte_frame,-2.1454003,-1.9210747,0.33699632,-1.3114959,0.3804816,0.7162105,-0.07695011,0.8245503,-0.42267188,1.1663437
chlorophyte_square,-0.95866007,-1.0604659,0.14039429,-0.4085474,-0.12473236,0.4987714,-1.3167046,1.2335521,-1.312542,0.855935
chroococcales,-1.7818265,-1.8759855,0.55382043,-0.7553259,0.2882766,1.4963958,-0.15975866,1.8348457,-1.1801543,0.27757534
chydorus,-0.3569333,0.15240958,-2.1354668,0.25930378,-1.0145528,0.4966454,0.51301885,0.9796634,-0.6818746,0.92605776
ciliate,-0.8485743,0.85052997,0.6834941,-0.6253427,0.13935289,0.027347824,-0.81550956,-0.46897477,0.17683107,-0.02767639
ciliate_big,-1.6413407,-0.12913069,-1.6774119,0.9357891,0.7493028,-2.1479461,-0.98620075,1.6511343,-3.2431073,-1.845538
ciliate_blue,-0.37972003,-0.31994712,-1.8364922,2.8941236,-1.0750911,1.0983634,2.254839,1.1055456,-2.02926,2.2776773
ciliate_green,-1.6269151,-1.6337143,-0.29738715,0.077666484,-1.0320553,-0.28363985,3.0732927,1.4193656,0.5401145,0.20095667
ciliate_round,1.1866485,0.36326218,-0.16238041,-0.019292044,-0.34000403,0.41126442,-2.5438898,0.06678904,-2.1091206,0.50541735
closterium,-0.016277498,-1.1686059,-0.04555381,2.7624946,-1.750733,0.9250455,-0.45155767,0.26575357,-1.4714977,1.0010823
coelastrum_reticulatum,0.67737097,-0.75947714,0.605462,0.5934319,-1.4654996,2.6748583,-0.32544202,0.15810941,-0.31519666,-0.1574501
coelosphaerium,-2.7692962,-1.2920967,0.88933307,-1.6156834,-1.1238536,1.7394648,-0.13182682,0.8935832,-0.6729957,-0.6562415
coleps,-0.6804247,-0.32214323,-0.09320947,0.382636,-0.7497518,1.2943093,-1.349844,0.51285154,-0.17691283,0.0404684
collotheca,-1.0251229,-1.8808236,-0.4963085,-0.19302315,-0.6847915,3.0828907,-0.34894925,1.9227097,1.4376003,0.26286793
conochilus,1.0449235,0.23918416,-0.11744514,-1.5888164,1.0841856,-0.19796419,-1.2484577,0.8032247,0.18855947,-1.0842048
cosmarium,-0.62237597,-1.9348577,0.74747,0.15637833,-1.2639258,0.7926636,0.0085728485,0.677236,-0.9195058,0.7366913
cryptophyte,1.5961528,2.1778698,0.12629464,0.41212073,1.818858,-2.418607,1.093553,-2.1484241,2.4924207,0.46674725
cyanobacteria_colonial_blue,1.3796343,-0.9354767,0.39985108,-1.1118287,-1.7992855,1.534362,-1.5524031,0.18730377,-0.72424114,0.62261873
cyanobacteria_colonial_clathrate,2.058861,-4.014788,0.078345105,-0.24223801,-3.309898,0.023821643,-0.75238776,0.77784574,0.3125445,-1.1236957
cyanobacteria_colonial_probably,-0.4571726,-1.1775348,0.2491432,-1.3824748,-0.62607026,2.0549119,0.9740279,0.6723384,0.14850329,-0.28181648
cyanobacteria_filamentous,-1.2310822,-0.43678126,0.10440318,1.4299449,-0.1524867,1.3571148,-1.4711226,1.0632626,-1.1690549,-1.7359577
cyclops,1.6182947,2.325791,0.41682786,0.5701375,2.1266716,-2.4024103,0.98588604,-2.170107,2.564885,-0.3779213
daphnia,0.54644114,1.0962734,-0.07335323,0.856884,1.7814106,-1.1761695,1.2988671,-2.1763582,2.6725554,-0.7213313
daphnia_cucullata,-1.5664389,0.035879675,-4.139152,0.539505,-0.22496063,3.0340238,-0.16826695,0.031504296,0.6601846,-0.45742244
diaphanosoma,-1.6552991,-0.5846083,0.0059846547,0.25941896,1.0524248,2.149728,0.11190334,0.72647,-0.429644,0.19784229
didinium,-1.6222396,-0.039602917,0.11957857,-0.15893054,-0.87495434,-1.0590839,-0.09616803,1.1384991,-0.32243058,0.8444814
dinobryon,0.07563735,-0.17341928,1.3598559,-2.1221972,-0.03259405,1.4212537,1.210079,1.7499135,-1.011518,-2.496854
dinoflagellate_diamond,-0.15052475,2.9125402,-0.36478284,1.2162453,-0.50154185,-0.82462907,-2.6692307,0.05762094,-1.1464797,1.5779401
dolichospermum,-1.3033615,-0.33972272,0.6419743,-0.09772929,-0.9397229,0.80150396,-0.8300329,0.42626312,-0.9082136,-1.0199007
eudiaptomus,1.6173173,2.0961952,0.66132605,0.58389187,1.7686344,-2.083395,1.2535616,-2.5210874,2.5786142,0.11541131
fragilaria,0.92873955,-0.5939414,0.18148142,1.7339374,-2.1521432,-0.14007743,-1.1261774,0.06797617,0.8258751,-1.651059
gonium,-3.055851,-1.3955499,1.4050156,-2.2115786,-0.12439915,0.21499163,0.5326089,1.1092949,0.22194187,-0.78003865
gymnodinium,-0.5356175,-0.7426668,-1.0596901,2.5246844,-0.9685531,-0.28059497,0.060454417,1.8513665,-1.4096442,2.330161
kellicottia,2.9054136,2.6685264,-0.016654762,0.96176225,2.2671156,-0.57637477,-2.3496046,-1.4233187,1.2257593,0.6354042
keratella_cochlearis,-0.18706478,-0.1719744,-0.47119755,1.0002555,-0.103861235,-0.30103558,0.9355367,-1.2254285,1.6979014,-0.06585358
keratella_quadrata,0.88406646,-0.16044948,0.76939183,-0.09725055,0.6918719,-1.0080088,-0.62933946,-1.6991026,0.092914365,-0.2873077
leptodora,-1.1379421,-1.048725,-0.9777926,-0.01888226,1.5110681,0.49011463,0.6382467,1.3396451,-1.0986342,-0.69191813
limnoraphis,-0.6829658,0.039067347,-2.6145163,0.13574123,-0.25278676,-0.092987835,-0.08871322,1.7842476,-0.4341254,-0.6438113
mallomonas_akrokomos,0.8194673,0.4796625,0.58712274,-2.1477537,0.0009138134,0.46013469,-0.48384663,-0.6786735,-1.4630572,0.07862187
mallomonas_big,-0.7072522,-1.0788382,0.06320086,1.5343673,-1.7298448,1.0967166,0.06748232,1.5502679,-0.53482187,1.9282389
nauplius,1.4308317,2.4106262,0.6642689,0.5867305,1.9146309,-2.2414777,1.2069368,-2.5934796,2.5356765,-0.007440036
oocystaceae,-0.15756786,0.0016856586,-0.58674943,-0.10523108,-0.9106963,-0.36660156,0.59991986,1.6472869,-0.4707043,-0.897671
pandorina,-0.25052238,-0.4298615,1.7707295,1.13195,-1.5047687,1.1712251,-0.8221153,0.12435358,-0.40726563,-0.48675036
paradileptus,0.3103869,-1.1632094,-1.2275629,0.9508432,-0.60346055,0.8644597,-0.10317315,0.8664959,0.026143247,-0.5589703
pediastrum,-0.16033725,-2.165124,-0.07177575,0.66119146,-0.14043932,1.9354829,0.3774742,0.3738995,-0.33776128,0.9782287
pennate_diatom,0.27783367,0.8776017,-0.20536682,-0.30292988,-1.2225702,0.8228782,-1.7487229,0.97645175,-0.37091085,-0.6222444
peridinium,-2.2584507,0.0028920341,0.406732,-0.5766888,-0.42735416,-0.3218723,-0.38691768,0.47374982,-0.55862683,0.14747186
phacotus,-1.1710879,-0.92630696,0.59738827,-0.15063816,-0.58084774,-0.5328758,0.8298915,0.67197984,-1.2352158,0.19953549
plankton_x,-1.548035,-0.6991405,0.28302234,-0.80702937,0.82955086,-0.16579404,0.6346292,0.06252961,-1.6732293,0.15047723
plankton_y,-0.54868627,-0.38019615,0.36008093,0.25158235,-0.706939,-0.52858365,-1.2370816,1.0350249,-0.6888984,1.5183754
plankton_z,-1.8313403,-1.2554004,0.074967705,-1.9419073,-0.7901615,-0.2881958,0.45081395,1.8341,-0.5729819,0.14439285
planktosphaeria,0.15343758,-1.0636643,-0.111196876,-1.7433729,-1.0166248,-1.206797,-0.17781952,0.5052179,0.35704836,0.0022908766
polyarthra,1.8159403,-0.32312298,0.25359762,-2.7828412,0.2712323,0.7491126,-0.2662668,0.6600939,-1.2708957,0.6606982
protist_like_ciliate,-0.23455495,-0.9710605,0.42009154,0.90532863,-0.44391772,-1.0866644,-1.0649161,2.6458392,-1.3719243,0.043767408
rhodomonas,1.2615649,2.5305178,0.40368074,0.44005567,1.2221644,-2.0503252,1.0291094,-2.3738055,2.379643,0.022875395
rotifer,1.7976962,2.3576567,0.42399192,0.33869308,1.759904,-2.3139606,1.5362886,-2.5552092,2.3525076,0.06151731
rotifer_long,-1.1860814,-0.36163527,0.06848804,-1.9191824,0.7579547,0.22028464,-0.34831893,1.3640449,0.54023457,-0.20573482
rotifer_z,-0.93920374,-1.5723,0.1575566,-0.8541408,-0.7075798,-0.5251774,0.522644,0.3722433,-0.4276685,0.14202683
scenedesmus,-1.9439683,-1.0553067,-0.7239793,-0.08765634,-0.023327589,1.218421,-0.22358528,1.119876,-1.2621787,-0.15936175
snowella,-2.2193317,-1.7221196,-5.924468,-1.4764141,-0.60494,1.4398339,0.7056001,0.41257575,-2.0480738,2.3013883
staurastrum,0.29143506,-0.7272831,0.88230026,1.305976,-1.9393622,0.80422235,-0.16107124,-0.18648666,-1.0523838,-0.59503806
strombidium,-1.1119646,-0.6395981,0.7466208,-1.2228113,-0.47828555,-1.9821556,0.8667327,0.5336592,-0.9628957,0.081616014
synchaeta,2.3503647,-0.73428524,-0.9359174,-0.6657562,0.28350514,-0.20404935,-0.9028509,-0.2754603,-1.4638482,-0.7902537
synedra,1.0752683,-0.92390954,0.06012635,-0.2898916,0.27701238,-0.6382844,-0.19453631,1.1767067,0.15353239,-1.8611718
synedra_angustissima,0.24297677,0.4089871,-1.7033936,1.1242365,-0.5488896,0.82620406,-3.3914351,1.1705477,0.34825087,-1.0088569
synura,0.28999257,-0.6087893,0.5587942,1.2632581,0.17954159,2.311056,-0.5476185,-0.28136888,0.0031927559,-1.1677504
tetraedron,-1.5331818,-1.485075,0.29790196,-0.100388214,0.40529585,0.18717526,0.26709616,0.8798638,-1.2656522,0.5882289
tintinnid,0.18307641,1.3891054,0.43327743,0.11228907,-0.69954145,0.9519364,-1.3021859,-0.20578524,-0.8196958,-0.18247107
trichocerca,-0.1641546,-0.12468252,0.30302513,-1.4668231,-0.90318555,0.5814261,1.0464169,1.1355542,-0.645807,-0.32897052
uroglena,-0.21250288,-0.2713329,0.7574909,-1.9037997,1.0537645,2.3140144,1.2909639,0.82172024,-1.601278,-1.1158695
vorticella_epistylis_like,-1.2733995,0.7571504,0.0073427595,0.29182905,-0.53406066,0.30467436,-1.154983,1.3661461,-0.6850131,-0.47714874
