,h0,h1,h2
aphanizomenon,-1.442456,-1.7771243,1.8070672
askenasia,-1.2626685,0.5925757,-1.980282
asplanchna,0.62410295,0.63412714,0.31646085
asterionella,-2.52856,-1.357303,2.1857631
aulacoseira,0.46349376,-1.0525569,1.6389939
bosmina,1.0052325,-0.6135064,0.773577
centric_diatom,1.4783698,1.6394681,0.5733609
ceratium,-1.1563781,-1.0282289,-1.974082
chaoborus,-0.008780732,0.43484432,-1.4739742
chlorophyte,4.2224593,3.563567,2.874959
chlorophyte_colonial_dividing,3.810915,3.47849,2.8081243
chlorophyte_elongated,-2.2414567,-0.25053033,-0.8516814
chlorophyte_frame,-1.2099094,0.10355579,-3.4400117
chlorophyte_square,-2.2104678,-0.46642166,-0.9443186
chroococcales,-2.040642,-1.1355245,-2.8086505
chydorus,-0.32934093,-0.9619487,-0.03081339
ciliate,0.18902063,0.12646097,0.08550937
ciliate_big,0.83121073,-1.2384739,0.63808197
ciliate_blue,-2.045766,-0.974631,-0.62261677
ciliate_green,-0.55680424,0.07337665,-3.0717618
ciliate_round,-1.2107784,-1.832957,2.0203433
closterium,-1.9837872,-1.4594342,-0.66645205
coelastrum_reticulatum,-1.2774479,-2.495757,-0.653263
coelosphaerium,-1.3982942,-1.6108961,-3.4974232
coleps,-1.0190119,-2.0210094,-0.28359818
collotheca,-0.5198327,-2.0535204,-2.4611824
conochilus,0.32864287,-0.40054023,0.7549097
cosmarium,-1.8780723,-0.606464,-2.4685514
cryptophyte,3.7934098,3.6372478,3.3133452
cyanobacteria_colonial_blue,-2.5656798,-1.1400914,0.3800703
cyanobacteria_colonial_clathrate,-3.212731,-1.0929657,-1.4119269
cyanobacteria_colonial_probably,-1.3519278,-0.52015257,-2.4727612
cyanobacteria_filamentous,-0.42621174,-2.9467843,-0.2795653
cyclops,4.1188965,3.5696063,3.319343
daphnia,4.00142,2.8970518,1.4658277
daphnia_cucullata,1.2350944,-2.2154145,-0.64886016
diaphanosoma,-0.21110204,-1.5257701,-1.5068258
didinium,-1.357884,0.49387062,-0.7321654
dinobryon,-3.1034393,-0.25663626,-1.2261939
dinoflagellate_diamond,-0.90307343,-0.6494802,3.54581
dolichospermum,-1.1712062,-1.6861354,-1.3189622
eudiaptomus,3.6082158,3.6224487,2.882323
fragilaria,0.13064289,-1.772164,0.6400126
gonium,-0.69890803,-0.0404938,-3.6589727
gymnodinium,-2.5800745,-0.3787854,-0.30616906
kellicottia,4.3144875,-0.12853718,4.2998886
keratella_cochlearis,2.2067146,1.528989,0.3547996
keratella_quadrata,1.5961426,1.7024517,0.8371568
leptodora,-0.16496342,-0.8697544,-1.6607755
limnoraphis,-0.17784515,-0.9132057,-0.07935159
mallomonas_akrokomos,-0.34120125,-0.31663242,-0.55040133
mallomonas_big,-2.4489906,-1.0275205,-0.83497703
nauplius,3.9876466,3.8683193,3.069007
oocystaceae,-0.6017373,0.26901877,-0.51342815
pandorina,-1.2471318,-1.3800348,-0.1948094
paradileptus,-0.19560218,-1.7499847,-1.0133202
pediastrum,-0.39591283,-1.6191847,-2.1766255
pennate_diatom,-1.7404385,-1.9871716,1.8214985
peridinium,-0.92823905,0.27432773,-1.5519136
phacotus,-2.0431764,0.762074,-2.223945
plankton_x,-1.3822762,0.53125966,-1.8891467
plankton_y,-1.7041662,-0.36514607,0.4447274
plankton_z,-2.1179156,0.81835926,-3.1202095
planktosphaeria,-0.8064915,0.8806505,-1.3526411
polyarthra,-0.7274724,-0.5604082,-0.57402575
protist_like_ciliate,-2.8112953,0.41590816,-0.5928982
rhodomonas,4.1444407,3.774134,2.687669
rotifer,4.0485735,3.7663882,2.972708
rotifer_long,0.1777602,-0.27315462,-1.3466324
rotifer_z,-0.6720893,0.3959851,-2.6949334
scenedesmus,-0.89810956,-1.8385597,-2.1899714
snowella,-2.2645915,-0.44362432,-3.2658021
staurastrum,-1.2060822,-1.8610249,-0.44704854
strombidium,-2.2132366,2.6126857,-2.0285683
synchaeta,0.0021217868,-1.2573627,1.0973788
synedra,-0.26547998,-0.4956539,0.018004317
synedra_angustissima,-0.15901102,-3.235429,2.2762578
synura,0.24130389,-2.5539494,0.09362047
tetraedron,-1.4039539,-0.276555,-2.124056
tintinnid,-1.0221605,-1.9572486,2.067575
trichocerca,-2.1489966,-0.31069285,-1.0577457
uroglena,-0.74001914,-1.1542789,-2.1511974
vorticella_epistylis_like,-1.4032413,-1.5369823,0.61878014
