,h0,h1,h2,h3,h4
aphanizomenon,0.87875515,-0.6736888,-1.6462657,-1.4184366,-1.261928
askenasia,-1.2652186,-1.4281331,-0.19416149,1.6748912,0.523484
asplanchna,-0.6863185,0.2998551,0.26761135,-1.0208197,0.2883566
asterionella,1.0375911,-1.6790873,-1.1410792,-1.305218,-0.7433438
aulacoseira,0.90489215,0.6583149,0.4305449,-0.9293161,-0.59045863
bosmina,1.0359447,-1.4548596,3.741088,-0.029169207,-0.070387796
centric_diatom,0.3334009,1.251883,0.47676387,-1.7398129,1.0025297
ceratium,-0.42249942,-1.0991448,-0.9317501,1.9064343,-0.8765674
chaoborus,-1.0332084,-0.9174253,0.16907485,0.5960638,0.22340997
chlorophyte,-0.43685478,3.4764063,2.038304,-4.031144,3.0768821
chlorophyte_colonial_dividing,-0.5394786,3.5726297,2.0993388,-4.20172,2.9622486
chlorophyte_elongated,-1.4430537,-1.0204916,-1.3174781,0.41055652,-0.96890914
chlorophyte_frame,-0.8151875,-1.3508662,-0.22459562,3.5563197,0.24344149
chlorophyte_square,1.0689813,-2.1255991,-0.7513207,2.3022428,0.17526838
chroococcales,-0.30561832,-2.2449975,-0.5294652,3.1630774,-0.8961943
chydorus,0.0745712,-1.8623905,2.167436,0.5620155,-0.92016983
ciliate,0.15366651,0.7335724,-0.24118471,0.01793479,0.059506964
ciliate_big,0.8103598,-2.6546574,1.1942431,0.051092584,0.4077478
ciliate_blue,-0.18515976,-2.7709038,0.44766217,0.845701,-0.77508783
ciliate_green,-2.170251,-0.7819885,-0.50839186,1.8605648,-0.37038806
ciliate_round,2.3119428,-1.6674924,-0.048200082,-0.42495865,-0.5409041
closterium,1.939662,-1.5612772,-0.67035496,1.8379774,-1.4489337
coelastrum_reticulatum,0.73238486,-0.757721,-1.3988146,0.6823002,-2.51862
coelosphaerium,-0.41716373,-1.2559631,-1.1889415,3.4513004,-1.4405997
coleps,1.0370561,-0.4505229,-0.14420386,0.81132376,-1.6265335
collotheca,-0.28672132,-0.66765636,-0.65924007,2.249106,-2.110864
conochilus,0.30167744,-0.16000433,-0.2334482,-0.97133154,-0.12305183
cosmarium,0.32447752,-1.3960049,-1.3673018,2.9786327,-0.5253584
cryptophyte,-0.17736019,3.3683221,2.5042248,-4.370379,2.8101437
cyanobacteria_colonial_blue,0.94423085,-1.1937723,-0.9838653,0.8672252,-1.4214401
cyanobacteria_colonial_clathrate,0.5907962,-2.4597256,-1.6607193,1.4199331,-0.71870196
cyanobacteria_colonial_probably,-1.6952784,-1.0777524,-0.6272579,3.0960188,-0.7378155
cyanobacteria_filamentous,1.7502699,-0.7435297,-0.59764487,1.2390171,-2.1854181
cyclops,-0.31765294,3.5465062,1.7099158,-4.3446445,2.766604
daphnia,-0.9442189,3.6508846,2.3791146,-2.658895,1.91484
daphnia_cucullata,0.41973582,0.061178822,4.185411,1.5037849,-3.9710069
diaphanosoma,-0.45623538,-1.0473701,0.79745686,1.375056,-1.7184012
didinium,-0.2879502,-1.0824623,-0.20084767,0.8000713,0.49676043
dinobryon,-2.003542,-2.0956774,-1.8500606,1.631357,0.07252415
dinoflagellate_diamond,2.3121188,-0.62390727,0.79502344,-1.8092742,0.38863328
dolichospermum,0.6303041,-0.6341444,-1.1045941,1.5863047,-1.3961034
eudiaptomus,-0.8278337,3.4911363,1.6999341,-4.1376185,2.435371
fragilaria,1.8586348,1.3852274,-1.9443984,0.26376683,-0.8214384
gonium,-2.124755,-0.3094987,-1.1197842,2.5096986,-1.1130174
gymnodinium,1.3243098,-3.0521858,-0.7623658,0.06482822,-0.20422603
kellicottia,2.127166,3.6046257,0.557727,-3.3986154,0.97338283
keratella_cochlearis,-0.8438156,2.3061402,0.49688312,-1.5568022,0.82453215
keratella_quadrata,0.22865431,2.8871658,-0.40300867,-1.2790623,1.8560197
leptodora,-0.6619673,-1.6476481,1.2711285,1.5001335,-0.7924332
limnoraphis,0.547309,-1.7300026,1.7506897,0.74538875,-0.69486284
mallomonas_akrokomos,-0.54996866,-0.6682828,0.09783141,-0.04187788,-0.44529647
mallomonas_big,1.0174968,-2.0503125,-1.1818933,1.5367892,-1.0173389
nauplius,-0.4921024,3.556678,2.128268,-3.9578094,2.796314
oocystaceae,-1.2737111,-1.1471418,-0.6523686,-0.27709854,0.13469659
pandorina,0.7619857,-0.034626577,-2.2663374,0.14630523,-1.7929971
paradileptus,0.3937137,-0.46433088,-0.090756424,0.9830932,-1.4305532
pediastrum,-0.1968568,-0.6229292,-0.013646572,2.0543396,-1.557154
pennate_diatom,1.2912961,-0.63800645,-1.1903692,-0.73206407,-1.5819211
peridinium,0.35052404,-0.6782872,-0.5373574,2.6772747,0.7927016
phacotus,-0.65053964,-1.5907196,-0.8741355,1.6921885,0.49597993
plankton_x,-1.1640389,-1.160732,0.34841833,1.4284097,-0.014594225
plankton_y,0.74891734,-1.2956424,-0.46789485,0.057772104,-0.248534
plankton_z,-1.3183143,-2.267509,-0.7408414,2.6641994,0.61205107
planktosphaeria,-0.666873,-0.7862409,-0.5903259,0.94310534,0.79598594
polyarthra,-0.819411,-1.9423574,0.3379315,-0.042931866,0.026921077
protist_like_ciliate,0.75885344,-2.8412123,-1.2318828,0.4255802,0.5099327
rhodomonas,-0.6557981,3.3518174,1.8097446,-4.1082172,2.8555405
rotifer,-0.56610864,3.258899,2.1857746,-3.9239895,2.7943072
rotifer_long,-0.5894057,-0.659225,-0.110549025,0.77675146,-0.32520953
rotifer_z,-0.90350884,-0.67181295,-0.25187296,2.17763,0.2244926
scenedesmus,0.93976927,-1.5317571,0.4041563,3.9959278,-1.0422761
snowella,-1.1875215,-2.2022848,4.347984,3.0719953,-2.157728
staurastrum,1.1108108,-0.2354255,-1.5560739,1.2928189,-1.5482445
strombidium,-1.5276448,-1.2819272,-0.7970542,1.8438779,2.0693302
synchaeta,0.6258033,-1.0957208,0.5543143,-1.2347394,-0.7696226
synedra,-0.33890083,-0.39923584,-0.9457863,-0.68216205,-0.35918692
synedra_angustissima,2.4069538,-0.35699466,-0.17455539,-1.0074645,-2.1976097
synura,0.40992925,0.88305306,-1.2385052,-0.81847876,-3.244052
tetraedron,-0.28719088,-1.598648,-0.03708835,2.0980098,-0.00041234362
tintinnid,1.9125955,0.16770701,-0.59374595,-0.11323383,-0.7867224
trichocerca,-1.3884152,-1.7522451,-1.6950065,0.665999,-0.09019081
uroglena,-1.9037066,-1.6150633,0.3237077,1.9315258,-0.81816
vorticella_epistylis_like,1.3549058,-1.0393658,-0.653415,0.44363856,-0.96399754
