,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.13413131,0.79500395,0.8606142,0.6065198,-1.4177004,-0.75467515,-1.99234
askenasia,-0.78904736,1.56136,-1.7529702,-0.8189153,0.6386392,-0.7003921,0.4641723
asplanchna,-1.7577498,-0.5750148,0.10083866,0.5243967,-0.1627863,-2.2871008,0.58821744
asterionella,-0.7508032,1.8494477,0.8634594,0.92049897,-1.0990272,-1.6117544,-1.6179546
aulacoseira,-1.4994942,0.28084868,-0.22568348,0.5794176,0.9175323,0.3084713,-1.9930613
bosmina,0.21285826,-2.1603072,0.4363697,1.1261849,3.0459769,-2.9187744,0.19402085
centric_diatom,-0.60016215,-1.7483103,0.39596972,0.7016145,0.1849694,0.800237,0.13655613
ceratium,0.19981827,1.0958695,-0.102575764,-2.390579,0.2249954,0.07840544,-1.4723041
chaoborus,-0.45279908,-0.63987553,0.047608577,-1.9504206,0.12601222,-0.571381,0.49490464
chlorophyte,-2.4100144,-2.7126331,1.7938502,1.7291594,0.1531726,2.7462978,2.1126323
chlorophyte_colonial_dividing,-2.4695194,-2.3689482,2.103011,1.7682056,0.30603728,3.092304,2.298297
chlorophyte_elongated,1.7641178,1.1373655,0.24542832,-0.054747045,-2.081279,-0.9489565,1.9999192
chlorophyte_frame,0.43139392,1.2051064,-2.7982326,-1.0587608,-0.18808994,-0.9509114,1.2025605
chlorophyte_square,0.69644433,1.6113484,-1.0742368,0.17948471,-0.040468503,-1.8557229,-0.5002632
chroococcales,1.7111342,1.4048369,-2.1145651,-1.1286336,-0.22237718,-1.1982763,0.43771073
chydorus,0.5280541,0.656439,-0.56223553,-0.037295673,2.2747204,-0.6087576,-0.36618778
ciliate,-0.12869395,-0.21009912,-0.7463273,0.87048966,-0.77512,-0.03467186,-0.008423844
ciliate_big,-1.6754501,-0.8395881,-1.5205683,0.30768862,1.48254,-3.1539803,-2.5109327
ciliate_blue,0.80625737,1.7086885,-0.23743232,-0.6639048,2.7538404,-1.295488,-1.5139042
ciliate_green,-0.03305979,1.1167165,-1.8089132,-1.8925182,0.5439123,0.6005546,0.5605804
ciliate_round,0.31259242,0.5899984,1.1068496,0.93845546,-0.0019486522,-1.7791364,-1.5994635
closterium,0.8717508,1.6880552,-0.23253118,-0.91722655,0.90534717,-0.2323386,-2.534535
coelastrum_reticulatum,2.898732,0.91794956,0.9332851,-0.84676284,-0.6393664,0.3856671,-0.98473054
coelosphaerium,1.9500098,0.6648426,-2.50051,-1.7443998,-1.4945918,-0.6558642,-0.19875395
coleps,1.5224534,0.9572217,-0.5336121,-0.04013999,0.06782321,0.58070624,-1.4820697
collotheca,3.215331,0.7232822,-1.0257792,-1.4134029,0.23297136,0.13967377,-0.3512283
conochilus,-0.47962037,-1.1403667,1.2099931,-0.38021404,-0.6949158,-1.4736111,-0.0904568
cosmarium,0.93093485,1.628608,-0.71615005,-1.844211,-0.18359044,-0.2893091,-0.295619
cryptophyte,-2.3481846,-2.7799637,1.9175622,2.1557662,0.19946343,3.2352967,2.1550572
cyanobacteria_colonial_blue,1.304631,1.5951866,0.7424764,-0.41241267,-0.6029517,-0.7907839,-0.22601086
