,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
aphanizomenon,22.35896,13.570449,13.570022,23.589785,17.396687,15.035384,-14.592538,15.523927,18.311832,3.664091
askenasia,23.1031,15.596915,15.868766,23.459661,21.22179,17.587027,-17.349401,13.885519,19.758898,6.1655383
asplanchna,-8.992737,-0.6969534,-2.5346963,-5.00033,-7.3943405,1.4922298,2.785173,-6.5859265,-6.5800033,-3.8471005
asterionella,-18.57958,2.0909405,-13.90113,-23.362633,-23.736048,-22.032665,5.814509,-14.761307,-17.989832,-10.689166
aulacoseira,-14.917498,-3.2810347,-13.087124,-10.393524,-11.638598,-10.105123,10.142776,-8.848423,-7.288644,-7.594992
bosmina,25.562592,17.014437,18.134457,24.867792,22.627264,19.330532,-19.536253,17.694807,21.544472,8.914002
centric_diatom,-19.502277,-7.259541,-18.254284,-21.121155,-20.427588,-12.52802,7.078963,-11.394352,-14.521585,-1.6435003
ceratium,-13.394939,1.5352217,-3.8878822,-6.8762956,-4.8816204,-1.5438089,3.3394876,-11.093279,-1.7119322,-9.374806
chaoborus,22.195208,16.322601,18.304256,22.730145,20.32339,18.676952,-21.709904,18.258913,19.351877,12.371761
chlorophyte,-3.2311077,0.6839959,0.8932043,-0.69725615,0.19437815,0.68556035,0.005609404,-15.298797,0.44965068,-12.855202
chlorophyte_colonial_dividing,-19.759483,-7.935772,-8.061468,-17.079588,-11.600828,-9.809223,21.581388,-17.040741,-11.378052,-13.427521
chlorophyte_elongated,-14.1462755,0.8504674,-1.5799346,-9.666793,-2.7851171,-0.09813792,3.164245,-12.129936,-0.03596503,-7.046929
chlorophyte_frame,-14.367928,-0.18245888,0.73879945,-11.167897,-7.3302736,-5.9038696,3.583424,-10.103214,-6.217314,-6.854153
chlorophyte_square,22.652918,12.070373,13.568916,22.1643,20.003065,12.661867,-11.768946,11.345795,17.937656,2.4547052
chroococcales,-20.52012,-0.08665492,1.5510032,-20.269302,-18.028444,-19.722967,9.188568,-18.163958,-20.304016,-13.542053
chydorus,25.184727,20.796564,21.115133,25.030277,25.02329,21.89226,-28.063255,15.716211,23.011192,6.97219
ciliate,-1.9205912,-1.0943264,-0.7341094,-2.1925402,-1.0114106,-1.0726777,1.2960019,-1.4274247,-0.7408068,-0.41180038
ciliate_big,22.580235,16.375069,18.137335,22.733929,19.770544,18.620502,-21.124352,18.869392,19.057577,12.069487
ciliate_blue,23.98847,13.164803,14.189547,22.868448,20.640026,13.306554,-12.557115,13.1968355,19.15151,3.5421891
ciliate_green,-8.995793,-0.055819035,0.12875785,-4.9427586,-3.2065985,1.4228972,2.6665466,-7.7933693,-3.187556,-4.8555374
ciliate_round,24.46477,16.607754,16.939404,24.512037,21.877798,19.011469,-19.281452,16.273201,20.426998,7.1563
closterium,24.721008,12.312765,12.984971,21.777369,19.805817,13.211334,-14.363519,14.767255,18.236778,3.8874102
coelastrum_reticulatum,-7.4135923,1.0698379,-2.330328,-8.442541,-5.563395,-0.44510734,0.75357527,-7.543715,-3.5656922,-4.5244336
coelosphaerium,-17.054441,2.0135021,-1.6132557,-14.39225,-11.054443,-9.095804,3.8263571,-18.25453,-7.0458407,-13.258136
coleps,25.58897,18.128294,19.91234,24.771246,22.947245,20.28311,-25.36635,16.434944,21.785887,10.824105
collotheca,-6.010873,0.58120614,-0.35277048,-5.177525,-3.1598282,-0.63962185,2.1372664,-5.961034,-1.988443,-4.822113
conochilus,-7.2098775,-5.17581,-5.5844703,-2.6619418,-5.7195954,-5.567676,2.7174647,-3.8567815,-6.765032,-1.6815667
cosmarium,-8.568688,1.2101281,-0.4812608,-5.7876835,-1.113806,-0.3091871,1.8642747,-12.428125,-0.49824437,-8.922151
cryptophyte,-16.357426,-5.0117087,-7.6920495,-11.5740795,-6.4343996,-5.756966,16.303741,-15.657826,-5.4523416,-10.815201
cyanobacteria_colonial_blue,22.657505,12.654441,12.600165,23.230108,20.606699,12.650431,-10.525891,11.651456,18.202415,2.3305416
cyanobacteria_colonial_clathrate,25.406126,17.695272,18.152124,25.941275,22.990294,19.330683,-21.085419,15.138958,21.728893,10.002365
cyanobacteria_colonial_probably,-9.476801,1.2061847,-0.08459269,-7.09345,-3.1871495,-4.21649,6.191676,-16.837626,-2.8428645,-15.000102
cyanobacteria_filamentous,24.324661,13.400507,13.017235,22.218115,20.062574,14.186634,-13.204338,13.359984,18.680595,2.859969
cyclops,-13.423422,0.13833477,-0.7028472,-7.9734106,-0.59236896,0.3404283,3.8965552,-14.169289,0.53249943,-8.866414
daphnia,23.23469,11.921064,12.698873,23.957497,19.954004,11.865438,-11.345388,14.124801,18.01572,2.4190123
daphnia_cucullata,25.551235,20.119152,20.424826,24.893734,24.912252,20.968916,-25.435396,15.9127035,23.589642,8.247971
diaphanosoma,22.561308,15.854435,16.752417,23.575165,21.108284,17.787415,-18.370604,12.506985,19.378973,6.4911804
didinium,25.800163,20.472645,20.505255,25.911072,24.511118,21.809492,-25.740686,15.4375305,22.741728,9.125776
dinobryon,-21.274994,-4.01143,-16.681492,-20.87044,-5.370348,-6.575525,14.032193,-18.336721,-2.9997256,-14.779844
dinoflagellate_diamond,-16.477737,-11.967539,-17.958908,-16.198704,-15.655432,-9.459612,3.0845447,-7.9159784,-12.367116,-1.8202236
dolichospermum,-16.462843,1.4244058,-8.864715,-10.512709,-4.216801,0.122394204,4.279186,-11.628154,0.014722363,-9.559331
eudiaptomus,-11.219005,0.21396358,-1.2434623,-8.521828,-6.199411,-2.8841665,2.71902,-7.41587,-4.690627,-2.4603684
fragilaria,-16.658356,0.042834435,-8.287811,-9.751747,-17.712053,-12.319529,4.961782,-9.58533,-12.314007,-8.909106
gonium,-6.154311,0.57345843,0.06559374,-5.4781017,-4.969937,-3.4787073,2.137303,-5.669902,-3.9858174,-3.4542649
gymnodinium,23.1557,13.371918,13.304558,21.588488,20.06625,13.4439745,-11.491382,12.5218525,19.238564,3.0761209
kellicottia,-9.638358,-0.648866,-5.4871693,-6.2743535,-5.7201967,0.21580023,2.7418497,-5.880968,-2.4421632,-1.9157101
keratella_cochlearis,23.895264,12.763844,13.26647,22.876802,19.423124,14.265243,-14.9432955,13.610885,18.469599,3.8486419
keratella_quadrata,-13.960945,-0.3397308,-6.316728,-9.156713,-8.711514,0.42610028,3.851038,-6.4839573,-4.1631947,-3.3797987
leptodora,24.523672,18.138279,18.814835,25.490364,22.924185,20.168438,-20.701307,15.160762,22.119125,8.389061
limnoraphis,25.279665,20.835093,20.948746,25.072216,25.13101,21.970266,-26.78919,16.008467,23.198927,6.6093426
mallomonas_akrokomos,-5.4267483,0.66987634,-0.76957786,-3.8778327,-1.846999,-1.1566713,1.6196356,-7.6617756,0.037939895,-4.093403
mallomonas_big,23.830198,12.630467,12.386934,22.942587,19.808687,13.403315,-13.147015,13.174797,17.750534,3.536367
nauplius,-19.664394,0.30418628,-2.700392,-15.855633,-4.8374968,-0.6662357,5.0924826,-13.766783,-0.48283133,-6.5070267
oocystaceae,22.973879,11.227031,13.146067,22.113085,19.743797,11.231639,-10.526211,11.992968,17.903364,2.3051755
pandorina,23.244469,14.151913,15.082963,22.436388,18.307306,16.141954,-16.334604,15.04589,18.699923,5.2604127
paradileptus,23.423693,13.832843,14.206235,23.80149,19.961445,15.142819,-15.661093,13.671857,18.638103,3.8363936
pediastrum,24.56741,16.756786,17.45083,24.207306,22.108229,18.692228,-19.495083,14.32327,20.615538,7.599044
pennate_diatom,-17.520576,-1.164048,-1.3553097,-17.011932,-21.362936,-14.319369,4.4331937,-9.98335,-13.828984,-4.0683994
peridinium,23.127186,14.0023155,14.105207,21.526682,19.735506,15.212466,-14.855304,12.711567,18.346073,3.772974
phacotus,21.915781,13.007503,12.936386,22.566574,19.443296,14.21513,-12.115453,10.446607,18.369122,2.8419912
plankton_x,14.251701,12.083802,13.762391,13.973936,13.4116335,13.489356,-13.930912,14.468026,12.98923,14.022759
plankton_y,23.211176,14.867375,15.084256,21.866262,20.374636,16.135387,-16.760883,15.262656,18.940783,4.848745
plankton_z,-6.9585547,1.2360595,0.76745373,-5.478601,-2.2101681,-1.9857696,1.8560624,-11.366738,-2.2477062,-9.580449
planktosphaeria,-3.544003,0.5346298,-1.2307328,-2.518434,-2.238263,-0.51481795,1.5475295,-3.174174,-1.4592783,-2.0829253
polyarthra,-8.671024,-0.9828492,-3.5717096,-4.4505353,-4.6516757,-1.7353467,2.519219,-6.32479,-2.347227,-3.0767717
protist_like_ciliate,22.58638,13.007268,12.861147,21.530508,18.861725,13.719342,-11.930307,12.486582,17.691196,2.9713957
rhodomonas,-13.36989,-0.0978099,-1.7591436,-10.140084,-1.0273439,-0.73693496,4.57576,-13.403832,0.40245038,-7.336824
rotifer,-22.49495,0.42892838,-9.720417,-16.073296,-11.47726,0.7634304,7.367649,-15.317318,-2.8780258,-9.183998
rotifer_long,-1.5650624,-0.20291789,0.31147045,-1.0054655,-0.68798214,-0.6952709,0.37145835,-1.5835521,-1.1363556,-0.6699537
rotifer_z,25.067978,18.147259,19.940947,24.95773,23.022442,20.490986,-25.04166,16.506548,21.596445,11.337226
scenedesmus,22.577034,14.996914,14.6593895,21.873613,20.747572,16.082037,-16.112545,11.847222,18.955887,4.3767962
snowella,24.975384,20.97411,21.485558,24.487535,25.079073,21.933891,-28.805492,15.243878,23.594782,7.1624694
staurastrum,23.405231,14.028481,14.418449,22.585588,19.993677,15.912087,-16.266432,15.555262,18.20563,5.5355177
strombidium,22.19052,14.336502,14.674514,22.664595,19.997723,15.773541,-16.24009,13.923016,18.74679,4.474733
