,h0,h1,h2
aphanizomenon,1.2672294,-0.855504,1.5573303
askenasia,-0.9267752,-0.7947389,0.22861893
asplanchna,-0.5825096,0.0936935,0.72109836
asterionella,-0.26015666,-4.054012,1.7975134
aulacoseira,3.1582575,1.7058718,2.6430886
bosmina,-0.45528522,0.88961464,0.42417422
centric_diatom,2.6061153,-1.6570486,-2.0125356
ceratium,-0.02873895,-1.2818102,0.97201544
chaoborus,-0.39639235,-0.7008805,0.5942245
chlorophyte,-1.3531524,-1.1395786,-0.25678942
chlorophyte_colonial_dividing,-1.711005,-2.0443258,-0.3627725
chlorophyte_elongated,-1.1572176,0.04553874,0.0017834901
chlorophyte_frame,-2.1285474,-1.7852173,-0.09248052
chlorophyte_square,-1.7892199,-1.9919024,-0.6755613
chroococcales,-2.7151046,-3.890494,-0.9315104
chydorus,-0.2931581,-1.3354874,-0.9035374
ciliate,-0.7008667,0.902518,-0.74559116
ciliate_big,0.6888575,0.041654818,0.95231307
ciliate_blue,-0.61450773,-0.040348772,0.33404982
ciliate_green,-1.0474579,-0.8021668,0.08290343
ciliate_round,0.47593817,-0.4123436,-0.35159189
closterium,0.28925496,-0.51789296,-0.27059194
coelastrum_reticulatum,0.083111346,-1.9040225,-1.07343
coelosphaerium,-2.4709997,-4.655998,-1.1613715
coleps,-0.11168547,-1.3090687,-0.525226
collotheca,-1.1565542,-2.2636938,0.27513772
conochilus,-0.06650222,0.9597712,0.4841855
cosmarium,-0.79913104,-1.4214764,0.20588489
cryptophyte,-1.1783357,0.5577753,0.47957692
cyanobacteria_colonial_blue,-1.1169157,-2.327893,-0.33498287
cyanobacteria_colonial_clathrate,0.5371474,-3.087976,0.75504553
cyanobacteria_colonial_probably,-1.697374,-3.033498,-0.76284707
cyanobacteria_filamentous,1.39981,-1.3218054,1.3366104
cyclops,-0.9057388,0.021762084,0.24202536
daphnia,0.0010595832,0.30878595,1.5862652
daphnia_cucullata,-0.9019593,-1.5544815,-0.25570586
diaphanosoma,-2.5548227,-3.1577284,-0.97356266
didinium,-0.10834031,-1.5799692,-0.098703675
dinobryon,-2.7825615,-4.3623843,2.8297575
dinoflagellate_diamond,-0.94105,2.2955086,-0.900471
dolichospermum,0.54206526,-2.1700797,1.1174879
eudiaptomus,-0.10885654,0.04197873,0.07569791
fragilaria,1.0817369,-4.8317976,2.5149446
gonium,-2.108548,-3.0096517,0.025918955
gymnodinium,-0.99660206,0.20711277,0.28509846
kellicottia,-0.27672452,0.6284112,0.37413362
keratella_cochlearis,-0.1616534,-1.0040046,0.57478803
keratella_quadrata,-0.4498598,0.029012682,1.0833771
leptodora,-0.46114096,-0.70841885,0.37153623
limnoraphis,-0.9129173,-1.3917271,-0.79910046
mallomonas_akrokomos,-0.26968887,0.29309893,-0.73580873
mallomonas_big,0.097395346,-1.4323739,-0.025369737
nauplius,-1.0710701,0.6508917,0.33716097
oocystaceae,-2.1262033,-2.005549,-0.7119525
pandorina,-0.23079169,-0.6779585,0.26261517
paradileptus,0.28196496,-1.5637059,1.2454997
pediastrum,-0.42296672,-1.6046259,-0.52062505
pennate_diatom,-1.0541081,-0.987466,2.07265
peridinium,-0.4885583,-2.0769928,-0.52185065
phacotus,-1.3114893,-2.1332135,0.39014712
plankton_x,-0.22168638,-0.6300548,-0.08141272
plankton_y,0.011565198,-0.015092321,0.16333011
plankton_z,-2.045965,-2.3638303,0.41096178
planktosphaeria,-0.047313847,-1.2739602,-0.28640908
polyarthra,-1.7434833,1.517011,-0.5335916
protist_like_ciliate,-1.1969513,-1.0187371,0.1671434
rhodomonas,-1.1519593,1.6113858,0.48607504
rotifer,-1.1034001,0.07310674,0.45775667
rotifer_long,-0.8932372,-0.6523739,0.08192895
rotifer_z,-0.82665974,-1.5922899,0.589436
scenedesmus,-1.1302075,-2.2436519,-0.45614398
snowella,-1.9330577,-2.277058,-0.91219103
staurastrum,0.20152196,-0.613472,-0.026773112
strombidium,-0.9403723,-0.02311031,0.21477078
synchaeta,1.2918338,-0.3007065,0.43306464
synedra,-1.004228,-0.3987228,1.1677815
synedra_angustissima,1.9255513,-0.018179744,1.9842858
synura,0.51712465,-1.0613248,1.4873586
tetraedron,-1.245613,-1.6692585,-0.68267345
tintinnid,0.4135764,0.0010232595,-0.22756769
trichocerca,-0.93192756,-0.93807864,-0.005229375
uroglena,-2.7399132,-3.7764573,0.11960157
vorticella_epistylis_like,0.406204,-0.62579906,-0.36378825
