,h0,h1,h2,h3,h4
aphanizomenon,0.3165042,0.0774784,-0.5702768,-0.35945517,2.4817798
askenasia,-0.09922002,-0.935542,-0.8949085,0.36951688,-0.027598003
asplanchna,0.43123594,-0.62724364,-0.211439,0.9621671,0.15470289
asterionella,0.30948043,-1.0921237,-2.675291,0.39906478,2.959175
aulacoseira,-1.6289147,2.0133204,1.3084512,1.6282392,2.3128855
bosmina,-0.92789584,-0.46115118,0.93861043,-0.13465747,0.20536028
centric_diatom,-0.15387166,2.4893394,0.30896074,1.4896847,-2.4757884
ceratium,-0.18422097,-0.33022374,-1.3673617,0.55012697,1.2195493
chaoborus,0.23332213,-0.38884094,-0.7109629,0.12363007,0.21929248
chlorophyte,-1.1921865,-0.7501161,-1.4489814,0.3169407,-0.65936637
chlorophyte_colonial_dividing,-0.7841087,-1.0740961,-2.27118,-0.1976893,-0.2250825
chlorophyte_elongated,0.056690425,-1.6595867,0.17126128,-0.5694279,1.0821992
chlorophyte_frame,-1.1038185,-1.9616008,-1.7214619,-0.2272702,0.76332664
chlorophyte_square,-1.4116751,-0.76490325,-2.1058626,-0.13899858,-0.9229626
chroococcales,-2.28566,-1.4215512,-3.9538455,0.13482949,-1.0829196
chydorus,-1.9849471,-0.081561625,-1.0164043,-0.3596585,-0.16139585
ciliate,0.009006059,-0.6727822,0.8745789,0.08932589,-0.5847573
ciliate_big,-0.64500564,0.17713767,0.30326408,0.4479595,0.7429607
ciliate_blue,-0.6257896,-0.49906367,-0.24943565,0.16594364,0.049665112
ciliate_green,0.6580341,-1.9432406,-0.7969848,-0.03765878,0.2076776
ciliate_round,-0.68914706,0.52411157,-0.09218178,0.79854995,-0.8555368
closterium,0.07090715,0.46352622,-0.544663,0.25368032,0.060935676
coelastrum_reticulatum,-0.065814525,0.5716944,-1.950975,-1.5815741,0.99717826
coelosphaerium,-0.6142928,-2.1406379,-4.398302,-0.7402316,1.5783265
coleps,-0.26778677,0.24543215,-1.1358789,-0.72164685,-0.2752377
collotheca,-0.41779944,-0.69271636,-2.4807773,-0.30005294,0.7025388
conochilus,1.279788,-1.7270356,1.3341495,-0.005408842,0.7131987
cosmarium,0.08641368,-0.64018553,-1.5605465,-0.041613687,0.21084458
cryptophyte,-0.86260813,-1.0929515,0.20164743,0.5277991,-0.13895239
cyanobacteria_colonial_blue,-1.1069384,-0.35439062,-2.5696173,-0.27272883,0.086849205
cyanobacteria_colonial_clathrate,0.77155983,0.47241133,-2.8159962,-0.20563869,1.3620261
cyanobacteria_colonial_probably,-2.2836246,-0.8150747,-3.4669511,-0.20430687,0.3619037
cyanobacteria_filamentous,0.072190605,1.2427031,-1.644645,-0.17430708,1.4054745
cyclops,-0.072353646,-0.9155265,-0.20729752,0.29452682,0.072728224
daphnia,-0.72965926,-0.15207174,-0.22735944,0.3179496,0.87024367
daphnia_cucullata,-2.0941522,0.25700957,-1.7545701,-0.38883644,-0.57898426
diaphanosoma,-1.295191,-1.803237,-3.04281,-0.33730167,-0.07390489
didinium,-0.56071466,0.12213971,-1.0904503,0.361288,-0.5066853
dinobryon,0.16187373,-1.8857003,-4.9225917,3.093767,-0.8790594
dinoflagellate_diamond,-0.9406481,-0.28268236,2.9044995,1.4410114,-2.283277
dolichospermum,0.3929388,0.6908945,-2.37433,1.1506996,0.6372784
eudiaptomus,-0.02835352,-0.23878919,0.09398704,-0.10901873,0.3093471
fragilaria,0.65264314,0.9985229,-3.9681048,0.8765188,2.481782
gonium,0.19211426,-2.4559476,-2.9682052,-0.71197325,1.469675
gymnodinium,-1.2307477,-0.5193308,-0.27655828,0.81886214,-0.7924791
kellicottia,0.06837804,-0.5248637,0.7300509,0.5418761,0.07268358
keratella_cochlearis,0.4222303,0.14379178,-1.16557,0.583349,-0.12610377
keratella_quadrata,0.98264956,-0.8054353,-0.1266282,0.90410715,0.7867434
leptodora,-1.4848213,0.041087665,-1.1946559,0.44014972,0.0619124
limnoraphis,-2.9209685,0.3818354,-0.81733227,-1.3891921,-0.4678062
mallomonas_akrokomos,-0.20576103,-0.17748521,0.36848074,-0.3182873,-0.6656327
mallomonas_big,-0.66699547,0.6660582,-1.5428364,0.60540104,-0.86775696
nauplius,-0.014417745,-1.2071499,0.38504368,0.49552542,-0.07977878
oocystaceae,-2.4484901,-0.75360787,-2.3304257,-0.22389328,-0.821621
pandorina,0.73563075,-0.4907172,-0.5699152,-0.031627018,1.2062584
paradileptus,0.0005488865,0.16983937,-1.8650918,0.5718468,1.2103214
pediastrum,-0.28208855,0.16075982,-1.7871948,-0.85728264,0.2586891
pennate_diatom,-0.28512657,-1.474416,-0.49625906,-0.9764255,3.0430517
peridinium,-0.5360353,-0.076299034,-1.4649065,-0.0022951313,-0.43578348
phacotus,0.2438614,-0.9686527,-2.3978524,0.5748989,0.04583966
plankton_x,0.031952042,-0.38040128,-0.4964276,-0.17004742,-0.17146942
plankton_y,-0.61334264,0.12515344,0.24392575,0.75618196,-0.85705304
plankton_z,-1.0686073,-1.6455804,-2.7743487,0.8532644,-0.40929064
planktosphaeria,-0.24209954,0.04172399,-1.082488,0.84809047,-0.68339074
polyarthra,0.7485659,-2.17076,1.522388,0.82770276,0.13434629
protist_like_ciliate,-0.6745173,-0.78976685,-1.3164458,0.33664718,-0.27094325
rhodomonas,-1.044347,-1.020346,1.3446225,0.61149865,-0.59454215
rotifer,0.49090865,-1.2097696,-0.19845234,0.9843031,-0.0013485878
rotifer_long,0.073007956,-1.0352236,-0.7797525,-0.42250255,0.16492492
rotifer_z,0.50245583,-0.8855444,-1.7008913,0.11708168,-0.15706441
scenedesmus,-1.220535,-0.28862596,-2.351607,-0.18311366,-0.37131682
snowella,-2.3263707,-1.402617,-2.1187985,-0.56151205,-1.408777
staurastrum,0.22198468,0.08903495,-0.55497724,-0.1834754,0.2665983
strombidium,-0.15212747,-1.0276213,-0.058299266,0.4087344,-0.091075465
synchaeta,-0.7902978,1.5634687,-0.373499,1.3068838,-1.0980082
synedra,0.02354162,-1.1547745,-0.90248895,0.8210554,0.5252296
synedra_angustissima,-1.1670891,1.6129303,-0.46141025,1.3273157,0.22641343
synura,0.7695302,0.5740392,-1.3440294,0.5080323,0.43813464
tetraedron,-1.2152292,-0.35505268,-1.6019672,-0.26195443,-0.9207533
tintinnid,-0.39054918,0.41530597,0.18765482,0.6464271,-0.55139726
trichocerca,-0.5606627,-0.6513483,-1.1117101,0.23381828,-0.31326506
uroglena,-1.4683985,-0.84458464,-4.833022,3.0491428,-1.6109521
vorticella_epistylis_like,-0.7123375,0.7183715,-0.454423,0.2924451,-0.70725673
