,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-1.31789,-2.3748295,0.795725,-0.82719857,1.0598415,-0.5181291,-1.5494615
askenasia,-0.9288111,0.1643448,0.2211292,-0.051344275,0.13684358,-0.60241324,0.65166926
asplanchna,-1.3313553,0.83795464,0.6554306,-0.9458612,0.63434464,-1.4844811,-0.83404315
asterionella,-1.8827269,-1.0549368,0.03960449,2.0654447,-3.9455624,-2.6264553,-2.5644262
aulacoseira,1.3323666,-0.9126871,-1.0327288,-2.8272328,1.6749823,-2.1955292,-2.573333
bosmina,0.08177326,0.5090164,-0.12626116,0.51144874,1.3549773,0.057117507,0.024597727
centric_diatom,1.1531335,1.8347685,-1.6795187,0.08631714,-1.6480356,-0.7676054,-0.92386395
ceratium,-0.53243804,-0.75656426,0.47127846,0.27967107,-0.37751094,-1.949848,-0.53358483
chaoborus,-0.5074104,0.10357676,0.04414154,-0.03507037,0.22952093,-0.805983,0.48766714
chlorophyte,-1.9054637,-0.00041998466,-0.75423115,0.2772348,0.1772891,-0.6069444,0.5594076
chlorophyte_colonial_dividing,-1.6362109,-0.55085665,-0.74371064,0.10827797,-0.83908063,-0.56142193,1.2967006
chlorophyte_elongated,-1.5204365,-0.53351146,0.4905242,-0.5291249,0.37018877,-0.06853091,0.013929407
chlorophyte_frame,-2.1247337,-1.0077332,-0.84163684,-0.77754503,-1.0294702,-1.0508633,1.243191
chlorophyte_square,-1.3196265,-0.43076324,-1.0902119,0.5612508,-0.9161693,-0.5936596,1.2562393
chroococcales,-0.94943655,-1.0999305,-0.53742486,1.8576849,-2.7794678,-0.9183034,1.9540247
chydorus,-0.34328824,-0.4440379,-1.5881846,1.012636,1.299227,-0.047968335,0.6265343
ciliate,-0.3883702,0.38461345,0.031575512,0.44611418,0.4798018,0.69130737,-0.1609309
ciliate_big,1.026234,-0.29731387,-0.534891,0.32587266,0.7718565,-0.8765389,-0.011880556
ciliate_blue,-0.5127301,-0.113486975,-0.34008598,-0.45226073,0.4809791,-0.08684341,0.47453165
ciliate_green,-2.1933873,0.46612597,0.43319848,-0.023749942,-0.93897283,-0.5610387,0.29919797
ciliate_round,-0.5565354,0.27563855,-0.9522596,0.0068082516,-0.27112585,-0.2572775,-1.011231
closterium,0.61936456,-0.6907068,-0.13767734,0.094913,-0.6037537,-0.08746602,0.30275682
coelastrum_reticulatum,-0.042034596,-2.72535,0.5278084,1.3439647,-1.1395236,0.3986963,0.14623652
coelosphaerium,-2.9440517,-1.9361455,-0.0173706,1.7234915,-2.4039974,-0.4244839,1.3952773
coleps,-0.20701909,-0.42014956,0.10068412,0.79672474,0.51238865,0.30015698,0.5724864
collotheca,-0.5640107,-1.752872,-0.08953068,-0.8612826,-0.78915423,-1.2890946,1.5453737
conochilus,-1.189229,1.1689402,0.9542383,-0.43642297,-0.002592218,-0.5445538,-1.0996482
cosmarium,-1.4192414,-1.0072007,0.22976139,-0.10573085,-0.38431016,-0.54040086,0.39874718
cryptophyte,-1.3831409,0.055039506,-0.2979884,-0.29348978,0.8835711,-0.08799704,-0.17792921
cyanobacteria_colonial_blue,-2.261998,-0.65393424,0.9806499,0.32035205,1.7675797,-1.7138541,0.2924088
cyanobacteria_colonial_clathrate,-1.2980872,-1.9183035,1.2697247,-0.2760231,-0.20233667,-1.7336125,-0.8345584
cyanobacteria_colonial_probably,-0.21049817,-1.5475156,-0.2565764,2.2618756,-1.4880714,-0.95714116,1.2341143
cyanobacteria_filamentous,-0.16698553,-2.634991,0.01871779,-0.6877896,-0.6037761,-0.6481145,-1.2330912
cyclops,-1.0084009,-0.060669802,0.22181015,-0.48726052,0.67711234,-0.09791528,0.27912414
daphnia,-0.060115036,-0.5488766,0.29846656,-0.43998095,0.9397374,-0.8542785,-0.02366559
daphnia_cucullata,-0.314334,-0.21982536,-0.7209608,0.8203124,1.0638946,-1.3260082,0.9766021
diaphanosoma,-3.086331,-0.76987934,-0.25908777,1.1863921,0.088504486,-0.0790644,1.9185032
didinium,-0.2735351,0.21121407,-0.5711884,0.032389015,-0.28744945,-0.2385812,0.81617445
dinobryon,-2.2172494,0.12353456,1.7761067,-1.5402738,-0.788323,-3.336111,1.3211192
dinoflagellate_diamond,-0.9766172,1.1455435,-1.7272352,-0.7246788,0.3424537,0.65786606,-3.806858
dolichospermum,0.7093516,-2.3392622,1.0704459,-0.78120035,-1.2806011,-1.654853,0.21064422
eudiaptomus,-0.11404289,-0.018010803,0.024822503,0.447925,-0.16422756,0.0037575143,-0.2458561
