month,h0,h1,h2,h3,h4,h5
1,0.0,0.4456,0.0029,0.677,0.7752,0.0011
2,0.0547,0.5974,0.2271,0.4272,0.7618,0.1104
3,0.0953,0.8126,0.6447,0.0677,0.7163,0.6108
4,0.0087,0.1197,0.2902,0.0015,0.9729,0.9019
5,0.0705,0.2782,0.0,0.0063,0.4491,0.9647
6,0.8716,0.4929,0.2824,0.0,0.0007,0.9952
7,1.0,0.3748,0.918,0.0,0.0001,1.0
8,1.0,0.3442,0.9868,0.0,0.0001,0.9923
9,1.0,0.7539,1.0,0.0,0.0065,0.994
10,1.0,0.9752,0.9621,0.0,0.0147,0.7029
11,0.8701,0.854,0.334,0.3178,0.3501,0.078
12,0.0288,0.3759,0.0006,0.9707,0.6725,0.0006
