month,h0,h1,h2,h3,h4,h5
1,1.0,0.0102,0.2237,0.7504,0.223,0.9999
2,1.0,0.1746,0.2354,0.4378,0.2438,1.0
3,1.0,0.6921,0.5139,0.3875,0.3248,1.0
4,1.0,0.9688,0.5854,0.916,0.0367,0.9998
5,0.9403,0.8133,0.0524,0.9259,0.2708,0.6858
6,0.904,0.8248,0.0886,0.7519,0.931,0.1037
7,0.858,0.9488,0.0005,0.4892,0.4758,0.0
8,0.6423,0.9991,0.1997,0.591,0.3347,0.0046
9,0.4265,1.0,0.2252,0.3197,0.3744,0.0
10,0.8305,0.8218,0.3545,0.4291,0.2124,0.0001
11,1.0,0.1389,0.6285,0.5043,0.4503,0.5705
12,1.0,0.0028,0.3972,0.7495,0.2652,0.8836
