pattern,n_days,fraction,n_units_on
011001,289,0.1516,3
011101,272,0.1427,4
010000,256,0.1343,1
100101,172,0.0902,3
010011,143,0.075,3
010001,115,0.0603,2
000010,102,0.0535,1
100010,72,0.0378,2
010010,64,0.0336,2
011111,59,0.031,5
001101,57,0.0299,3
001001,42,0.022,2
000101,37,0.0194,2
101001,36,0.0189,3
000001,35,0.0184,1
000011,32,0.0168,2
000100,27,0.0142,1
010101,24,0.0126,3
000000,23,0.0121,0
010111,13,0.0068,4
000111,12,0.0063,3
111001,8,0.0042,4
011011,5,0.0026,4
100001,5,0.0026,2
010100,3,0.0016,2
110010,3,0.0016,3
