pattern,n_days,fraction,n_units_on
0101100,223,0.117,3
0101011,165,0.0866,4
0101101,145,0.0761,4
1101101,119,0.0624,5
0011010,114,0.0598,3
0100000,97,0.0509,1
0011000,92,0.0483,2
1010000,90,0.0472,2
1110010,76,0.0399,4
0100100,58,0.0304,2
1011100,54,0.0283,4
1101000,54,0.0283,3
0100101,49,0.0257,3
0101001,48,0.0252,3
1010100,45,0.0236,3
1011000,42,0.022,3
1010010,41,0.0215,3
0100001,41,0.0215,2
1101100,40,0.021,4
1001000,31,0.0163,2
0001000,30,0.0157,1
1010110,26,0.0136,4
1001010,25,0.0131,3
1001011,22,0.0115,4
1000000,21,0.011,1
0010110,20,0.0105,3
0011100,17,0.0089,3
1110000,15,0.0079,3
0001100,13,0.0068,2
0100010,13,0.0068,2
1011110,10,0.0052,5
1111100,10,0.0052,5
0101000,10,0.0052,2
1000010,8,0.0042,2
1001100,8,0.0042,3
1011010,5,0.0026,4
0001010,4,0.0021,2
1101001,4,0.0021,4
1001001,3,0.0016,3
1100000,2,0.001,2
0011110,2,0.001,4
1111101,2,0.001,6
1000110,2,0.001,3
0001011,2,0.001,3
0101010,2,0.001,3
1111000,2,0.001,4
1100100,1,0.0005,3
0010100,1,0.0005,2
0010010,1,0.0005,2
1000100,1,0.0005,2
