month,h0,h1,h2,h3,h4,h5,h6
1,0.0,0.8241,0.7781,1.0,0.5448,0.5643,0.9819
2,0.056,0.7427,0.4719,1.0,0.3564,0.5612,0.7304
3,0.284,0.2739,0.1271,0.9999,0.215,0.6763,0.2517
4,0.2092,0.0002,0.2051,1.0,0.9142,0.9833,0.6447
5,0.1317,0.002,0.0288,1.0,0.7677,0.4163,0.9756
6,0.9151,0.0,0.0,0.954,0.6705,0.0,0.5327
7,0.9999,0.0,0.0,0.2872,0.6929,0.0,0.0297
8,1.0,0.0,0.0,0.0279,0.6956,0.0,0.014
9,1.0,0.0,0.0,0.0001,0.3232,0.0,0.0006
10,1.0,0.0,0.0,0.0002,0.0169,0.0,0.1773
11,0.8695,0.3541,0.3687,0.3502,0.083,0.0168,0.7902
12,0.0294,0.9799,0.8394,0.9598,0.6073,0.2481,0.9963
