month,h0,h1,h2,h3,h4,h5
1,0.223,0.7436,0.777,0.9838,0.0315,1.0
2,0.1797,0.4138,0.7056,0.813,0.0007,1.0
3,0.3149,0.3309,0.7879,0.3018,0.0001,1.0
4,0.1307,0.8696,1.0,0.0207,0.002,1.0
5,0.0,0.9213,0.666,0.1062,0.0101,0.7775
6,0.0741,0.8194,0.0076,0.1436,0.0321,0.3848
7,0.0,0.9021,0.0062,0.052,0.4636,0.4022
8,0.0942,0.6932,0.0141,0.0001,0.6527,0.4541
9,0.1974,0.4749,0.0,0.0,0.6679,0.0757
10,0.1518,0.4914,0.0219,0.1558,0.7404,0.5774
11,0.2469,0.4689,0.3737,0.8117,0.3274,1.0
12,0.2481,0.7467,0.6446,0.9901,0.2025,1.0
